7,Kaggle（カグル）は企業や研究者がデータを投稿し、世界中の統計家やデータ分析家がその最適モデルを競い合う、予測モデリング及び分析手法関連プラットフォーム及びその運営会社である。モデル作成にクラウドソーシング手法が採用される理由としては、いかなる予測モデリング課題にも無数の戦略が適用可能であり、どの分析手法が最も効果的であるかを事前に把握することは不可能であることに拠る。,2023-08-03 15:30:45
8,Helm とは、Kubernetes 設定ファイルを 1 つの再利用可能なパッケージにまとめて、Kubernetes アプリケーションの作成、パッケージ化、構成、デプロイを自動化するツールです。 マイクロサービスアーキテクチャでは、アプリケーションが成長するほどマイクロサービスの数が増え、管理が難しくなっていきます。,2023-08-03 15:30:45
9,Solidityとは、ブロックチェーン上で実行されるスマート・コントラクトを記述するための手続き型プログラミング言語である。キャビン・ウッドによって作成された。JavaScriptやC++に似た構文を持つとされる。SolidityによってコンパイルしたプログラムはEthereum Virtual Machine上での実行が想定されている。,2023-08-03 15:30:45
10,機械学習とは、データを分析する方法の１つで、データから、「機械」（コンピューター）が自動で「学習」し、データの背景にあるルールやパターンを発見する方法。,2023-08-03 15:30:45
11,Amazonマシンイメージとは、米アマゾンドットコム（Amazon.com）のクラウドサービスAmazon EC2で、仮想マシンを起動するのに必要なオペレーティングシステム（OS）のディスクイメージを収めたデータ。,2023-08-03 15:30:45
12,"""Mind"" は英語で、「心」「精神」「意識」などの意味を持つ単語です。",2023-08-03 15:30:45
13,「Amazon CloudFront」とは、スピードと安全性の高さが魅力の「高速コンテンツ配信ネットワーク機能」です。 データ、動画、アプリケーションなど、静的・動的なさまざまなWebコンテンツをスムーズに配信できるコンテンツデリバリネットワーク（CDN）であるため、多くのサービスを支えることができます。,2023-08-03 15:30:45
14,「asdf」は、主にプログラミング言語のバージョン管理や開発環境の管理を支援するツールの1つです。具体的には、異なるバージョンのプログラミング言語やツールを簡単に切り替えて使用できるようにすることを目的としています。,2023-08-03 15:30:45
15,Nuxt（ナクスト）.jsとは、JavaScriptのフレームワークであるVue.jsを用いたフロントエンドのアプリケーションフレームワークです。 Vue.jsをより快適に使うための機能を有しており、サーバー機能もあるため、Vue.jsを動かす際に別にサーバーを用意する必要がありません,2023-08-03 15:30:45
16,ReVIEW（リビュー）は、日本の出版社オーム社が開発した軽量マークアップ言語を使用するテキストプロセッサです。技術文書や書籍の執筆に利用され、文章の記述と整形を容易に行えるよう設計されています。ReVIEWを用いることで、テキストファイルに簡潔なマークアップタグを追加することで、見出し、箇条書き、リンク、表などの要素を簡単に表現できます。,2023-08-03 15:30:45
17,Objective-C は、プログラミング言語の一種。CをベースにSmalltalk型のオブジェクト指向機能を持たせた上位互換言語である。,2023-08-03 15:30:45
18,プログラミングにおいて、様々な要素を組み合わせた複合的なデータや、コンピュータで実行中のプログラムがメインメモリ上に展開しているオブジェクトなどを、一定のデータ形式や変換規則に従って文字列やバイト列に変換することなどを意味する。,2023-08-03 15:30:45
19,Java（ジャバ、ジャヴァ）は、汎用プログラミング言語とソフトウェアプラットフォームの双方を指している総称ブランドである。オラクルおよびその関連会社の登録商標である。1996年にサン・マイクロシステムズによって市場リリースされ、2010年に同社がオラクルに吸収合併された事によりJavaの版権もそちらに移行した。,2023-08-03 15:30:45
20,"Firebase(ファイアベース)は、2011年にFirebase, Inc.が開発したモバイル・Webアプリケーション開発プラットフォームで、その後2014年にGoogleに買収された。 2020年3月現在、Firebaseプラットフォームには19の製品があり、9GAGを含む150万以上のアプリが利用されている。",2023-08-03 15:30:45
21,オープン・ソース・インテリジェンス とは、合法的に入手できる資料を調べて突き合わせる手法である。OSINT（オシント）と略す。オープン・ソース・インベスティゲーション と呼ばれる事もある。,2023-08-03 15:30:45
22,サーバー構築とはWebページの情報やファイルの保存、メールなどのインターネット回線を用いたサービスを提供するコンピュータを作ることである。 サーバーは単一では機能せず利用する側、つまりクライアントがいて初めて成立する。,2023-08-03 15:30:45
23,Google Cloud Platformとは、米グーグル（Google）社のクラウドサービス。同社の管理するコンピュータ資源やソフトウェアをインターネットを通じてサービスとして利用することができる。,2023-08-03 15:30:45
24,仮想機械 とは、アプリの使用を最適化する方法であり、コンピュータの動作を再現するソフトウェアである。すなわち、エミュレートされた仮想のコンピュータそのものも仮想機械という。仮想機械によって、1つのコンピュータ上で複数のコンピュータやOSを動作させたり、別のアーキテクチャ用のソフトウェアを動作させることができ、アプリケーションが互いに干渉するのを防げる。,2023-08-03 15:30:45
25,プログラムの作成、実行結果、グラフ、作業メモや関連するドキュメントなどを、ノートブックと呼ばれるファイル形式にまとめて、一元的に管理することを目的としたオープンソースツール。,2023-08-03 15:30:45
26,GitLab(ギットラブ)とはGitLab Inc.が開発したウェブ型のGitリポジトリマネージャーでオープンソースソフトウェアライセンスのウィキと問題追跡システムが使われている。,2023-08-03 15:30:45
27,歴史（れきし、 は、何らかの事物が時間的に変遷したありさま、あるいはそれに関する文書や記録のことをいう。主に国家や文明など人間の社会を対象とする。記述されたことを念頭に置いている。,2023-08-03 15:30:45
