id,followers_count,items_count
python,151278,73929
javascript,135088,53058
ruby,64021,39912
rails,46789,38224
aws,43247,37375
初心者,52713,28810
php,77581,28335
docker,30722,24820
java,81966,22739
ios,48373,21265
swift,10667,21182
android,56047,19373
linux,81483,18333
node.js,51441,16120
python3,14364,15960
git,71694,15597
c#,47872,15364
unity,12170,15143
react,23896,15121
laravel,11122,13547
mac,48751,13376
vue.js,9315,12750
css,64023,12562
typescript,21336,12524
mysql,52554,12424
html,84480,12338
go,7516,12316
機械学習,8803,11816
github,93223,11366
windows,7121,10771
c++,40218,10769
ubuntu,33435,9276
raspberrypi,4762,8905
xcode,32106,8484
vscode,15685,7690
azure,2564,7598
kotlin,3249,6737
sql,2956,6588
deeplearning,4586,6455
centos,29948,6197
kubernetes,2496,6171
jquery,44523,6108
firebase,2469,5772
bash,1567,5738
flutter,2762,5731
lambda,928,5477
django,2294,5433
wordpress,2264,5428
ポエム,2915,5338
atcoder,1199,5318
postgresql,1559,5289
c,34105,5043
ec2,459,4980
vim,31284,4965
docker-compose,642,4820
heroku,18537,4788
excel,1433,4787
macosx,38555,4753
security,1553,4743
gcp,1472,4650
windows10,495,4603
r,2491,4583
vagrant,1598,4574
shellscript,30180,4566
slack,2597,4563
arduino,1654,4434
salesforce,883,4423
api,773,4414
nginx,22599,4304
googleappsscript,2422,4231
nuxt,1427,4076
objective-c,23682,4052
tensorflow,3225,4027
springboot,1180,4027
rust,3447,3977
新人プログラマ応援,5410,3965
powershell,1574,3937
iot,1529,3891
初心者向け,435,3865
elixir,1296,3859
ssh,28519,3859
opencv,1771,3766
競技プログラミング,1371,3759
html5,66612,3712
#migrated,4,3706
ai,7034,3629
angular,2558,3616
s3,313,3539
oracle,862,3496
machinelearning,2240,3478
androidstudio,947,3421
centos7,330,3342
scala,15684,3316
json,659,3296
apache,30232,3296
pandas,929,3281
chrome,61128,3270
プログラミング,535,3221
ansible,1702,3208
vba,1520,3163
