word1,word2,jaccard_coef
asdf,helm,0.010050251256281407
ingress,kubernetes,0.0019168684422921712
kubernetes,lambda,0.001485194467650608
kubernetes,prometheus,0.0012888021504584453
ingress,lambda,0.0010641127959563714
elb,lambda,0.0007645259938837921
lambda,prometheus,0.000635275093366188
ingress,prometheus,0.0006263579244064279
elb,kubernetes,0.0005237658766531361
elb,ingress,0.0004570383912248629
prometheus,syslog,0.00035859431030360985
kubernetes,syslog,0.0003325573661456601
helm,kubernetes,0.0002944640753828033
helm,prometheus,0.00022929564546724199
elb,prometheus,0.00016385719845154946
httpd,prometheus,8.352125615969264e-05
issue,prometheus,8.351602463722727e-05
email,prometheus,6.2732633515955e-05
gcp,prometheus,4.177894758831025e-05
ntp,prometheus,4.167969157028238e-05
