word1,word2,jaccard_coef
email,input,0.05
email,mail,0.05
初心者,意識,0.03225806451612903
issue,パッチ,0.030612244897959183
アイコン,ブレ,0.030612244897959183
分析,残念,0.029850746268656716
初心者,高度,0.028985507246376812
email,応答,0.028985507246376812
promise,全量,0.02564102564102564
promise,並列,0.02564102564102564
アイコン,青,0.023809523809523808
アイコン,ゴミ箱,0.023809523809523808
アイコン,赤,0.022727272727272728
用語,設立,0.022222222222222223
分析,論文,0.021739130434782608
分析,追求,0.021739130434782608
分析,完璧,0.02127659574468085
プログラム,目線,0.02127659574468085
email,email,0.01818181818181818
email,記入,0.017699115044247787
xampp,状況,0.017241379310344827
promise,サムネ,0.01694915254237288
初心者,配慮,0.016260162601626018
物理,電子,0.015873015873015872
初心者,別枠,0.015625
初心者,品名,0.015625
初心者,追,0.015625
初心者,自然,0.015625
アイコン,ポリ,0.015228426395939087
アイコン,シ,0.015228426395939087
issue,報告,0.014705882352941176
issue,記憶,0.013157894736842105
アイコン,ソシャルアイコンヘッダ,0.012987012987012988
分析,改善,0.01282051282051282
分析,残り,0.01282051282051282
アイコン,コンポネントアイコン,0.0125
アイコン,正方形,0.0125
アイコン,三角形,0.0125
email,name,0.012422360248447204
学生,試み,0.012345679012345678
scheduler,workflows,0.012345679012345678
アイコン,改変,0.012345679012345678
アイコン,イマイチ,0.012345679012345678
issue,コントリビュトモジュル,0.012048192771084338
issue,scheduledupdates,0.012048192771084338
ビルド,放置,0.011904761904761904
oracle,ラボ,0.011494252873563218
学生,様子,0.011363636363636364
oracle,oracleautonomousdatabase,0.011111111111111112
学生,有料,0.01098901098901099
分析,課題,0.01092896174863388
学生,時代,0.010752688172043012
初心者,色々,0.010638297872340425
ビルド,ビルド,0.010351966873706004
初心者,初心者,0.01020408163265306
学生,年間,0.01020408163265306
アイコン,文言,0.01020408163265306
初心者,大量,0.010101010101010102
資格,鉛筆,0.010101010101010102
初心者,基本,0.010050251256281407
issue,ブロックベス,0.01
issue,ユニバサルテマ,0.01
issue,クラシックブロックテマ,0.01
学生,本稿,0.009900990099009901
アイコン,デザイナ,0.00980392156862745
コンパイル,ストア,0.009708737864077669
issue,双方,0.009523809523809525
アイコン,右側,0.009259259259259259
初心者,網羅,0.009259259259259259
ビルド,成功,0.008875739644970414
issue,ナビゲションブロック,0.008695652173913044
ビルド,経緯,0.00847457627118644
issue,配布,0.008264462809917356
scheduler,順番,0.00819672131147541
issue,ベタ,0.008130081300813009
issue,経験,0.008
ビルド,プリレンダリング,0.007894736842105263
issue,面倒,0.007874015748031496
プログラミング,自由,0.00784313725490196
プログラム,章,0.0078125
学生,文献,0.007751937984496124
ビルド,運用,0.0077279752704791345
初心者,最低限,0.007662835249042145
email,動作,0.007532956685499058
issue,解消,0.007352941176470588
xampp,追記,0.007142857142857143
アイコン,事前,0.0071174377224199285
issue,公式,0.0070921985815602835
コンパイル,サニタイズ,0.007042253521126761
アイコン,アイコン,0.006993006993006993
ビルド,容易,0.006711409395973154
物理,索引,0.006622516556291391
ビルド,面倒,0.006557377049180328
アイコン,統一,0.006535947712418301
コンパイル,ロケル,0.00625
クラスタリング,規格,0.006134969325153374
コンパイル,ルル,0.006109979633401222
issue,一時,0.0058823529411764705
アイコン,共有,0.005763688760806916
プログラム,要望,0.005714285714285714
ライブラリ,特徴,0.005698005698005698
ビルド,再,0.005657708628005658
クラスタリング,解像度,0.0056179775280898875
issue,タスク,0.00558659217877095
コンパイル,宣言,0.005555555555555556
scheduler,縦,0.005376344086021506
ビルド,当たり前,0.005333333333333333
学生,無料,0.005309734513274336
分析,成果,0.005291005291005291
アイコン,フッタ,0.005263157894736842
引数,物理,0.005128205128205128
ライブラリ,不要,0.0049382716049382715
アイコン,当たり前,0.004901960784313725
scheduler,ボド,0.004807692307692308
引数,最小,0.004754358161648178
コンパイル,保持,0.0047169811320754715
oracle,専用,0.0047169811320754715
promise,描画,0.004672897196261682
プログラミング,言語,0.004601226993865031
ビルド,描画,0.004576659038901602
issue,アップロド,0.0045662100456621
ライブラリ,目的,0.004555808656036446
email,起動,0.004545454545454545
プログラミング,分離,0.004524886877828055
ライブラリ,進行,0.004464285714285714
コンパイル,メイン,0.0044444444444444444
ライブラリ,人気,0.004329004329004329
ビルド,問題,0.004287245444801715
プログラミング,好き,0.00425531914893617
プログラミング,容易,0.004219409282700422
ライブラリ,同時,0.004219409282700422
ライブラリ,挑戦,0.004201680672268907
引数,限定,0.004098360655737705
scheduler,両方,0.004098360655737705
ライブラリ,本格,0.0040650406504065045
ライブラリ,広報,0.0040650406504065045
issue,存在,0.004032258064516129
ビルド,検知,0.004032258064516129
issue,今後,0.004032258064516129
oracle,完全,0.004032258064516129
プログラム,複雑,0.004
oracle,サビス,0.003964321110009911
ビルド,組み方,0.003952569169960474
email,注意,0.003937007874015748
ライブラリ,駆使,0.00392156862745098
ビルド,膨大,0.00390625
ビルド,要件,0.0038684719535783366
アイコン,ボタン,0.0038669760247486465
ビルド,念,0.003861003861003861
ライブラリ,頻繁,0.0038314176245210726
アイコン,エンジニア,0.003816793893129771
ビルド,失敗,0.0038022813688212928
ビルド,精神,0.0038022813688212928
ビルド,衛生,0.0038022813688212928
issue,完全,0.0038022813688212928
ライブラリ,無限,0.0038022813688212928
issue,受託,0.003745318352059925
初心者,簡単,0.003738317757009346
ビルド,現象,0.0037313432835820895
ライブラリ,様子,0.0037174721189591076
scheduler,タブ,0.0036900369003690036
アイコン,コンポネント,0.0036900369003690036
ライブラリ,方針,0.003676470588235294
issue,ケス,0.0036496350364963502
引数,提供,0.003590664272890485
引数,最大,0.0035714285714285713
ライブラリ,体験,0.0035587188612099642
クラスタリング,標準,0.0035587188612099642
ビルド,収益,0.003484320557491289
ビルド,マルチサイトマルチブログ,0.003484320557491289
ビルド,爆速,0.003484320557491289
ビルド,婚,0.003484320557491289
ビルド,活,0.003484320557491289
ビルド,想起,0.003484320557491289
ライブラリ,必須,0.003436426116838488
分析,手動,0.0034129692832764505
ビルド,障害,0.0034129692832764505
クラスタリング,パッケジマネジャ,0.003401360544217687
初心者,完全,0.003367003367003367
ビルド,ブログリスト,0.0033444816053511705
ビルド,先日,0.0033444816053511705
ビルド,発表,0.0033444816053511705
ビルド,事実,0.0033444816053511705
ライブラリ,搭載,0.0033333333333333335
アイコン,一部,0.0032679738562091504
ライブラリ,日時,0.003257328990228013
ビルド,状態,0.0032292787944025836
引数,引数,0.0032258064516129032
issue,org,0.0032258064516129032
ライブラリ,観点,0.0030864197530864196
引数,連想,0.003076923076923077
ライブラリ,最適,0.0030211480362537764
ビルド,直感,0.0029850746268656717
ビルド,実施,0.0029850746268656717
ライブラリ,企業,0.002898550724637681
ビルド,無駄,0.002881844380403458
物理,環境,0.002851033499643621
ビルド,期限,0.002849002849002849
ビルド,段階,0.0028328611898017
ビルド,メンテナンス,0.0028328611898017
ビルド,発生,0.002828854314002829
アイコン,色,0.0028169014084507044
ライブラリ,動作,0.002751031636863824
scheduler,一番,0.0027472527472527475
初心者,部分,0.0027397260273972603
ライブラリ,日付,0.0027397260273972603
ライブラリ,リソス,0.002717391304347826
ライブラリ,効率,0.002688172043010753
コンパイル,ピックアップ,0.002680965147453083
issue,既存,0.0026666666666666666
ライブラリ,自作,0.0026595744680851063
issue,仕様,0.0026560424966799467
初心者,向け,0.002652519893899204
初心者,項目,0.002635046113306983
ビルド,原因,0.002631578947368421
issue,依存,0.0026246719160104987
クラスタリング,デバイス,0.0026041666666666665
アイコン,削除,0.002600780234070221
