word1,word2,jaccard_coef
学生,復習,0.037037037037037035
研修,社員,0.02857142857142857
研修,転職,0.023809523809523808
研修,職,0.022222222222222223
クラスタリング,人手,0.014084507042253521
クラスタリング,セントロイド,0.014084507042253521
ssd,検知,0.01166407465007776
ssd,コピペ,0.01140142517814727
初心者,教材,0.01098901098901099
初心者,支援,0.01098901098901099
初心者,奮闘,0.010869565217391304
初心者,最低限,0.010869565217391304
プログラミング,無知,0.010869565217391304
初心者,労力,0.010526315789473684
プログラミング,言語,0.010238907849829351
プログラミング,集大成,0.009708737864077669
初心者,本題,0.009615384615384616
クラスタリング,基準,0.009009009009009009
プログラミング,転職,0.008928571428571428
プログラミング,回路,0.008849557522123894
プログラミング,日々,0.00847457627118644
ssd,笑,0.00831792975970425
初心者,思い付き,0.008264462809917356
プログラミング,思い付き,0.007874015748031496
プログラミング,一環,0.007874015748031496
プログラミング,実感,0.0078125
資格,身,0.006993006993006993
ssd,雰囲気,0.006837606837606838
ssd,tensorflowv,0.006837606837606838
ssd,マスク,0.006659267480577136
プログラミング,初心者,0.005917159763313609
ssd,ssd,0.005718370264474625
備忘録,資格,0.005025125628140704
備忘録,対策,0.00487012987012987
備忘録,幸い,0.004807692307692308
テスト,バス,0.004786450662739323
分析,電力,0.004522755111655517
分析,消費,0.004489337822671156
テスト,子供,0.004456633527596846
初心者,反省,0.0044444444444444444
備忘録,書籍,0.004431314623338257
引数,正規,0.004330566582461205
プログラミング,反省,0.004329004329004329
分析,表示,0.004143237644273453
初心者,成果,0.004081632653061225
初心者,講座,0.004032258064516129
プログラミング,成果,0.00398406374501992
分析,問題,0.0039376198124449514
プログラミング,講座,0.003937007874015748
コンパイル,プロット,0.00390625
ssd,クロ,0.003795066413662239
ssd,ブラ,0.003795066413662239
ssd,発覚,0.003795066413662239
ssd,悩み,0.003795066413662239
ssd,合併,0.003795066413662239
ssd,真似,0.003795066413662239
ssd,修理,0.003795066413662239
ssd,ミ,0.003795066413662239
ssd,格闘,0.003795066413662239
ssd,オライ,0.003795066413662239
ssd,沼,0.003795066413662239
ssd,こいつ,0.003795066413662239
ssd,カップル,0.003795066413662239
ssd,半減,0.003795066413662239
ssd,丁寧,0.003787878787878788
ssd,後々,0.003780718336483932
ssd,長方形,0.003778337531486146
ssd,ググ,0.003775959723096287
ssd,予定,0.003766478342749529
気象庁,電力,0.003743565746373421
ssd,僕,0.003740648379052369
ssd,やり方,0.0037290242386575512
ssd,全身,0.0037243947858473
ssd,けんご,0.0037174721189591076
ssd,屋敷,0.0037174721189591076
分析,量,0.003716930252897019
ssd,相手,0.0037105751391465678
ssd,アンケト,0.003703703703703704
ssd,tensorflow,0.0036991368680641184
ssd,ダメ,0.0036991368680641184
初心者,受講,0.003676470588235294
コンパイル,連結,0.003676470588235294
気象庁,消費,0.003675626005053986
ssd,ライン,0.003601440576230492
プログラミング,受講,0.0035971223021582736
ssd,コディング,0.0035885167464114833
ssd,タイプ,0.003582089552238806
テスト,車内,0.0035225048923679062
気象庁,湿度,0.003341129301703976
分析,湿度,0.003210616438356164
備忘録,記述,0.003125
気象庁,起点,0.003117692907248636
ssd,今後,0.0031088082901554403
コンパイル,ラベル付け,0.0030959752321981426
ssd,知識,0.0030120481927710845
コンパイル,実務,0.003003003003003003
分析,解答,0.0029498525073746312
ssd,応用,0.002812374447569305
分析,認識,0.0027888168444537404
引数,配列,0.0027147087857847976
model,追加,0.002690675773569285
分析,起点,0.0026902813585920862
ライブラリ,乱数,0.0026695141484249867
ssd,背景,0.00264783759929391
model,メソッド,0.00264331736329093
ssd,エラ,0.0026235242675994755
ssd,閾値,0.0026223776223776225
気象庁,解答,0.002618486514794449
ライブラリ,可視,0.002613809627532128
テスト,正解,0.002598870056497175
テスト,テスト,0.0025647003963627886
ライブラリ,設計,0.0025329280648429585
model,px,0.002513089005235602
気象庁,表示,0.002505916747876932
ライブラリ,固定,0.0024044883783061713
pandas,原理,0.002380952380952381
ssd,サイト,0.0023464998044583495
model,プリング,0.0023405500292568754
気象庁,降水,0.002336448598130841
気象庁,温,0.002336448598130841
model,インスタンス,0.0023354254853306085
コンパイル,開始,0.0023148148148148147
気象庁,経過,0.0022688598979013048
ssd,機,0.002260738507912585
テスト,ラベル,0.002254098360655738
ssd,原因,0.0022205773501110288
segmentation,xtrain,0.002190580503833516
model,図,0.0021839359378791555
備忘録,文献,0.002172024326672459
model,オブジェクト,0.0021511985248924403
ssd,環境,0.0021386562110140795
テスト,マルチ,0.00211954217888936
ssd,公式,0.0020927799093128706
分析,分類,0.0020917767028369723
ssd,分け,0.002088409328228333
分析,気温,0.002078521939953811
コンパイル,完了,0.002074688796680498
model,縦,0.002072180970471421
model,横,0.002068252326783868
ライブラリ,根拠,0.0020659449632261795
ライブラリ,推論,0.0020522574832315546
分析,型,0.002050080538878313
ハンズオン,細胞,0.0020304568527918783
ライブラリ,判断,0.002029220779220779
引数,指定,0.002019910546818641
分析,各層,0.0020044543429844097
ssd,最初,0.002001668056713928
ライブラリ,実行,0.0019782749442486154
備忘録,役,0.001976284584980237
テスト,収集,0.001967051880993361
分析,向上,0.0019187719859290054
model,model,0.0019172211570993572
ssd,アスペクト,0.0019169329073482429
ssd,参加,0.001911436763300414
ライブラリ,評価,0.0018950269897783393
ssd,書籍,0.001893939393939394
model,実装,0.0018845207559022143
初心者,物,0.0018832391713747645
ライブラリ,指定,0.0018811994071371565
ssd,人物,0.0018744142455482662
プログラミング,物,0.00186219739292365
テスト,平均,0.0018564356435643563
大学生,志望,0.0018552875695732839
大学生,理系,0.0018552875695732839
ssd,コンペ,0.0018512804689910522
ssd,高速,0.0018359853121175031
segmentation,timm,0.0018248175182481751
segmentation,文法,0.0018248175182481751
ライブラリ,使用,0.0018234979721444965
ssd,文献,0.0018145527127563057
ライブラリ,半分,0.0018101185627658611
ライブラリ,定義,0.00180659235777346
分析,局所,0.0018044619422572178
ライブラリ,数字,0.0017967984318850048
ハンズオン,考案,0.0017873100983020554
分析,訓練,0.0017808558001484046
ライブラリ,保存,0.001770981815040387
引数,方向,0.001745962461807071
model,コンパイル,0.0017379969585053225
分析,顔,0.0017376681614349775
分析,分析,0.001732141619898843
ライブラリ,学習,0.0017236740322200922
ssd,挑戦,0.0017211703958691911
分析,推定,0.001701484072218546
ハンズオン,ルル,0.001692047377326565
ssd,システム,0.0016703786191536749
ライブラリ,最適,0.0016324480442016702
ライブラリ,済み,0.0016288767266093302
備忘録,文法,0.0016260162601626016
ssd,推薦,0.0016211834639286678
ライブラリ,関数,0.001617742220130596
分析,追加,0.0016056518946692357
model,デタセット,0.001558846453624318
気象庁,温度,0.0015564202334630351
気象庁,除算,0.0015564202334630351
プログラム,ロド,0.0015519917227108122
プログラム,信頼,0.0015503875968992248
ライブラリ,生成,0.0015479876160990713
分析,精度,0.0015472799521749833
segmentation,train,0.0015432098765432098
model,クラス,0.0015382924953301835
分析,計算,0.0015324104816876948
ライブラリ,損失,0.001530170979974719
分析,娘,0.0015292712066905616
分析,軸,0.0015278838808250573
テスト,検証,0.0015220700152207
ライブラリ,作成,0.001514100056778752
分析,解決,0.001511144692104269
ライブラリ,手書き,0.0015105740181268882
model,バッチ,0.0015050907481186366
テスト,改善,0.0015020653398422831
分析,猫,0.0014907295257616695
分析,気象庁,0.0014860681114551083
分析,降水,0.0014860681114551083
分析,温,0.0014860681114551083
分析,時刻,0.0014847809948032665
気象庁,英語,0.001483679525222552
分析,経過,0.0014767413241447206
model,手書き,0.0014732965009208103
気象庁,自由,0.001463057790782736
分析,差分,0.0014610982588579083
初心者,状態,0.001455604075691412
分析,導入,0.0014417531718569781
ライブラリ,実装,0.001437914560044529
分析,構造,0.0014353259034110097
model,管理,0.0014298480786416443
model,数字,0.0014284256708499133
ssd,切り抜き,0.0014255167498218105
気象庁,統計,0.0014214641080312722
ライブラリ,全,0.0014198782961460446
model,ライブラリ,0.0014135524339605973
ライブラリ,結合,0.001400373432915444
コンパイル,モノクロ,0.001392757660167131
model,tensorflow,0.00139099645928174
ssd,最近,0.001379310344827586
気象庁,移転,0.0013764624913971094
テスト,ビュ,0.001374885426214482
ssd,比,0.0013717421124828531
ハンズオン,応用,0.0013708019191226869
テスト,凡例,0.0013704888076747374
テスト,観察,0.0013704888076747374
ssd,変更,0.0013689253935660506
segmentation,ガクッ,0.0013679890560875513
segmentation,めちゃくちゃ,0.0013679890560875513
