word1,word2,jaccard_coef
model,mvc,0.06666666666666667
crud,部品,0.043478260869565216
ビルド,残念,0.03225806451612903
引数,束縛,0.028169014084507043
crud,教科書,0.023809523809523808
哲学,西洋,0.016290726817042606
備忘録,原因,0.015625
stripe,税金,0.015384615384615385
読書,趣味,0.015384615384615385
stripe,支払い,0.013513513513513514
備忘録,課程,0.013513513513513514
哲学,哲学,0.013313609467455622
引数,都度,0.013157894736842105
ビルド,界隈,0.012345679012345678
引数,昇順,0.011904761904761904
備忘録,浪費,0.011235955056179775
哲学,階層,0.010699588477366255
solidity,プログラミング,0.010050251256281407
crud,各々,0.009900990099009901
solidity,言語,0.009771986970684038
物理,自転車,0.009671179883945842
哲学,対応,0.009551098376313277
コンパイル,配信,0.009259259259259259
stripe,誰か,0.008403361344537815
初心者,明日,0.00823045267489712
備忘録,全,0.00819672131147541
初心者,書籍,0.00816326530612245
stripe,用意,0.008
infrastructure,モド,0.008
バイナリ,ファイル,0.007696536558548653
哲学,科学,0.007501875468867217
分析,現象,0.007451564828614009
初心者,開設,0.007434944237918215
プルリクエスト,ワイ,0.007373271889400922
プログラム,予防,0.007207207207207207
プルリクエスト,金庫,0.007194244604316547
プルリクエスト,公庫,0.007194244604316547
プルリクエスト,ワラワラワイワイワイ,0.007194244604316547
プルリクエスト,地味,0.007194244604316547
哲学,発達,0.007168458781362007
哲学,順応,0.006934812760055479
哲学,集積,0.006934812760055479
哲学,無意識,0.006896551724137931
プログラミング,言語,0.006880733944954129
初心者,初心者,0.006864988558352402
哲学,展開,0.006557377049180328
crud,操作,0.006369426751592357
プログラム,仲間,0.006201550387596899
学生,教育,0.0061614294516327784
用語,舞踊,0.006153846153846154
crud,アクション,0.005988023952095809
物理,順序,0.005917159763313609
哲学,思想,0.00591016548463357
歴史,科学,0.005843071786310518
哲学,観念論,0.005706134094151213
哲学,集合,0.0056947608200455585
プルリクエスト,太郎,0.0056772100567721
テスト,社員,0.005603378268637323
備忘録,用意,0.00558659217877095
哲学,資本,0.00554016620498615
プログラム,段階,0.005471956224350205
哲学,改変,0.005427408412483039
学生,学生,0.005420054200542005
プログラム,自動的,0.005405405405405406
哲学,学,0.005356407086938607
分析,枠組み,0.005298013245033113
テスト,ネット,0.005209625403125776
テスト,送金,0.005203816131830009
哲学,普及,0.005170630816959669
バイナリ,不可,0.005154639175257732
学生,教職員,0.005154639175257732
学生,用務員,0.005154639175257732
学生,看護,0.005154639175257732
学生,師,0.005154639175257732
学生,納税,0.005154639175257732
プルリクエスト,試し,0.005154639175257732
初心者,紹介,0.005148005148005148
歴史,階級,0.005134788189987163
哲学,策定,0.005115089514066497
歴史,過去,0.005115089514066497
solidity,thirdweb,0.005107252298263534
哲学,変革,0.005045408678102927
solidity,厄介,0.004975124378109453
solidity,仕様,0.0049504950495049506
solidity,ライク,0.0049261083743842365
学生,秘書,0.004901960784313725
学生,改善,0.004884004884004884
学生,緩和,0.004838709677419355
哲学,適応,0.0048216007714561235
model,分類,0.004761904761904762
プルリクエスト,プロダクト,0.004739336492890996
学生,習得,0.004705882352941176
solidity,スマコン,0.004688546550569324
初心者,和,0.004640371229698376
初心者,組,0.004640371229698376
プルリクエスト,毎月,0.004608294930875576
プルリクエスト,棒,0.004608294930875576
学生,拒否,0.0045351473922902496
プログラム,家族,0.004511278195488722
初心者,気兼ね,0.004484304932735426
プログラム,樋口,0.004464285714285714
プログラム,優,0.004464285714285714
備忘録,発見,0.0044444444444444444
学生,探求,0.004424778761061947
哲学,発生,0.0043975373790677225
テスト,代,0.004396678065461651
学生,教師,0.004366812227074236
プログラム,付加,0.004366812227074236
哲学,都市,0.004347826086956522
solidity,記述,0.004344048653344918
プログラム,親子,0.004319654427645789
プログラム,子育て,0.004319654427645789
学生,目標,0.004301075268817204
初心者,架け橋,0.004273504273504274
プルリクエスト,給料,0.004273504273504274
学生,課題,0.00425531914893617
哲学,存在,0.004227053140096618
solidity,スマ,0.004219409282700422
solidity,コン,0.004219409282700422
分析,正義,0.004213483146067416
分析,空間,0.004207573632538569
学生,理事,0.004166666666666667
プログラム,解決,0.004162330905306972
プログラム,メンタリング,0.004158004158004158
哲学,変化,0.004149377593360996
