word1,word2,jaccard_coef
gcp,クラウドサビスプロバイダ,0.09090909090909091
プログラミング,競技,0.06258890469416785
ハンズオン,座,0.05263157894736842
大学生,自称,0.02857142857142857
大学生,牛乳,0.02857142857142857
大学生,野球,0.02857142857142857
プログラミング,経験,0.022026431718061675
歴史,浅学,0.021739130434782608
プログラミング,プログラミング,0.020833333333333332
コンパイル,訂正,0.0196078431372549
用語,若手,0.018518518518518517
用語,社員,0.018518518518518517
用語,育成,0.018518518518518517
langchain,オプン,0.017804154302670624
プログラミング,実用,0.01727447216890595
初心者,助言,0.01694915254237288
初心者,笑,0.01694915254237288
歴史,誤り,0.01694915254237288
歴史,連絡,0.01639344262295082
tool,該当,0.016
プログラミング,出題,0.015968063872255488
tool,叩き,0.014492753623188406
未経験,本気,0.014492753623188406
コンパイル,課金,0.014084507042253521
初心者,努力,0.0136986301369863
初心者,素直,0.013333333333333334
tool,tools,0.01282051282051282
langchain,openaiapi,0.011811023622047244
tool,tool,0.011583011583011582
初心者,当たり前,0.011494252873563218
ハンズオン,体験,0.011494252873563218
tool,制御,0.010526315789473684
プログラミング,正確,0.009202453987730062
gcp,プロセス,0.009174311926605505
クラスタリング,重心,0.009093163594279573
クラスタリング,サブ,0.009020860740462319
lightgbm,lightgbm,0.009009009009009009
初心者,成果,0.009009009009009009
プログラミング,目次,0.008880994671403197
プログラミング,問,0.008771929824561403
プログラミング,週末,0.008771929824561403
プログラミング,習慣,0.008771929824561403
tool,ユザ,0.008714596949891068
初心者,本気,0.008695652173913044
langchain,reasoningandact,0.00847457627118644
langchain,デモ,0.008438818565400843
lightgbm,tabnet,0.008298755186721992
学生,専用,0.007782101167315175
歴史,配信,0.007751937984496124
学生,就活,0.007741935483870968
学生,長期,0.007481296758104738
tool,親玉,0.007462686567164179
初心者,短時間,0.007462686567164179
tool,鍵,0.007407407407407408
tool,肝,0.007407407407407408
tool,ユザカスタム,0.007352941176470588
学生,特長,0.007233273056057866
tool,プロンプトエンジニアリング,0.007142857142857143
langchain,transformers,0.006993006993006993
langchain,パイプライン,0.006711409395973154
tool,カスタマイズ,0.006578947368421052
langchain,転送,0.00641025641025641
用語,管理,0.006329113924050633
バイナリ,合算,0.00625
