word1,word2,jaccard_coef
model,作例,0.05263157894736842
model,レシピ,0.05263157894736842
学生,拡大,0.029411764705882353
学生,覚え,0.029411764705882353
lightgbm,lineartree,0.028169014084507043
lightgbm,sliqcloudsoblivioustree,0.02247191011235955
lightgbm,xgboost,0.02
学生,講義,0.0196078431372549
読書,高木,0.017543859649122806
学生,微小,0.013888888888888888
lightgbm,厳密,0.013245033112582781
lightgbm,デファクトスタンダド,0.01282051282051282
lightgbm,量子,0.012048192771084338
lightgbm,多分,0.011904761904761904
lightgbm,カテゴリ,0.01020408163265306
物理,生物,0.008771929824561403
lightgbm,推論,0.00847457627118644
物理,生命,0.008403361344537815
物理,高次,0.008333333333333333
lightgbm,lightgbm,0.008
物理,社会,0.008
物理,補完,0.007633587786259542
物理,風上,0.007042253521126761
初心者,編,0.006578947368421052
引数,要素,0.006162732523764042
引数,関数,0.005515924282424311
引数,配列,0.005365226190999982
引数,検査,0.005305498688042444
物理,登録,0.005208333333333333
lightgbm,scikitlearn,0.0051813471502590676
初心者,初稿,0.004901960784313725
初心者,目次,0.004901960784313725
テスト,ファイル,0.004850060229506118
初心者,履歴,0.004807692307692308
物理,統計,0.004761904761904762
lightgbm,風,0.004484304932735426
初心者,製,0.004464285714285714
引数,条件,0.004430573745367403
引数,演算,0.004359923970764015
ライブラリ,行列,0.004295356923706279
引数,次元,0.004248494738619098
引数,指定,0.004193081748428427
引数,比較,0.003836020229959318
ビルド,メモリ,0.003768600178717122
ビルド,性能,0.0036915400086560248
プログラム,並列,0.0035633217696689366
ビルド,幅,0.003522736895588111
引数,形状,0.003477942522423577
プログラム,実行,0.0034737949043130985
ビルド,番号,0.0034041090002578872
プログラム,処理,0.0033988321961172315
引数,機能,0.0032370124743407547
初心者,関連,0.003236245954692557
プログラム,配列,0.003234339929869018
引数,手続,0.003141546064242852
プログラム,高速,0.0031410840857621835
引数,論理,0.0031239388794567064
ビルド,失敗,0.00311058482529471
テスト,出力,0.0031059992846789526
テスト,削除,0.003032261271561366
ビルド,装置,0.0029812368406342583
プログラム,結果,0.00292794499596977
テスト,メモリ,0.0029044391892964275
テスト,バンド,0.002902174398356923
テスト,幅,0.002901461890414016
引数,引数,0.002889909652298239
引数,生成,0.0028703402197378103
プログラム,利用,0.0028605081608615176
テスト,性能,0.002828370734133151
lightgbm,デフォルト,0.0028169014084507044
テスト,失敗,0.0028119092627599245
テスト,ビルド,0.00276827318213862
テスト,番号,0.002731929425156517
コンパイル,配列,0.0027293662008687916
引数,評価,0.0027062516013323084
ビルド,出力,0.0026547228854909752
プログラミング,章,0.0026370314560180824
ビルド,取得,0.002610223374884966
プログラム,ルプ,0.0025877563394616603
プログラム,変更,0.0025845644501358653
コンパイル,実行,0.0025780306949474046
引数,非常,0.0025547497054941313
プログラム,手続,0.0025508703441268483
テスト,装置,0.0025373626652457435
ライブラリ,確保,0.0025370718691220856
ビルド,依存,0.002450400513739142
ビルド,ベンチマク,0.002447231569287244
引数,等価,0.0024426508071367886
プログラム,性能,0.0024292615596963425
プログラム,計算,0.0024150183956479355
コンパイル,手続,0.0023960886128163443
ビルド,ベクトル,0.0023177320991409904
プログラム,出力,0.002308355219960604
コンパイル,添字,0.002290559622128798
プログラム,メモリ,0.002282169271755128
ライブラリ,基本,0.0022802850356294538
引数,簡単,0.0022770453523618906
コンパイル,処理,0.0022702065714681825
プログラム,ベクトル,0.0022207865622224016
コンパイル,次元,0.0021938135914404827
ビルド,実行,0.002176589177713154
テスト,取得,0.002175632911392405
ライブラリ,記述,0.002158495220474869
プログラム,次元,0.0021582824087435534
プログラム,変数,0.0021551572843614207
コンパイル,ポインタ,0.002145127327502583
コンパイル,高速,0.00213516398870255
テスト,ベンチマク,0.0021033811852552977
ライブラリ,ルチン,0.0020943115795162815
ビルド,問題,0.002094101783561812
引数,整数,0.0020905803930976576
テスト,プログラム,0.0020855293730944044
コンパイル,バッファリング,0.002084177618248133
コンパイル,ダブル,0.002069832195746988
コンパイル,変数,0.002061804244988901
引数,必要,0.0020546945076034126
プログラム,導入,0.0020470133977511956
ライブラリ,指定,0.002045695838692136
ビルド,開発,0.002044169341280758
引数,結果,0.0020411661135262315
テスト,依存,0.0020262747717657535
プログラム,方程式,0.0020197357031565585
引数,複数,0.0020143745769813388
コンパイル,利用,0.002001184817003569
ビルド,利用,0.0019912843017867946
コンパイル,結果,0.0019901224940702474
ビルド,資料,0.0019886014186723524
コンパイル,指定,0.001985070614751556
ビルド,演算,0.001973049931615883
コンパイル,値,0.0019690952174348363
プログラミング,検査,0.001958464237626994
ライブラリ,使用,0.001951304753028891
ビルド,機,0.0019442515623450056
ライブラリ,試作,0.0019355143275267904
ビルド,プログラム,0.0019311232700354038
コンパイル,計算,0.0019284149013878743
プログラム,移流,0.001910129359255617
ビルド,環境,0.001903681801612054
コンパイル,プログラム,0.0018933560415270053
プログラム,ポインタ,0.0018924396365442174
引数,添字,0.001884968915148981
プログラム,記述,0.0018746560264171711
プログラム,最適,0.0018694970449885419
テスト,テスト,0.0018670309653916212
ビルド,ビルド,0.0018619919175758245
コンパイル,性能,0.0018601319422781417
プログラム,比較,0.0018591360181782189
ポエム,乗算,0.0018390804597701149
コンパイル,問題,0.0018341511378355125
テスト,ベクトル,0.0018256503879507074
プログラム,指定,0.0018231704036678602
コンパイル,引数,0.0017973873690742385
プログラミング,形状,0.0017878426698450535
ビルド,提供,0.0017798932064076154
ビルド,搭載,0.0017766328366164027
プログラム,添字,0.0017748027144041515
プログラム,演算,0.0017692733401532812
コンパイル,最適,0.0017678381256656017
ビルド,表示,0.0017656237168432291
コンパイル,比較,0.0017551511025540108
ビルド,プロ,0.0017530020159523183
ビルド,ファイリング,0.0017530020159523183
プログラム,ルチン,0.001752437368875725
コンパイル,積分,0.0017510363814727693
プログラム,問題,0.0017504649672569275
プログラム,幅,0.001749114230613984
コンパイル,型,0.0017481999466650864
プログラム,転送,0.001747989811716526
ライブラリ,ライブラリ,0.0017475467132679124
テスト,資料,0.0017392816766675363
ポエム,加算,0.0017376194613379669
テスト,一時,0.0017366471133065762
コンパイル,変更,0.0017360128313991885
プログラミング,論理,0.0017282350399654353
用語,画像,0.0017152658662092624
ビルド,モデル,0.001714640889898622
ポエム,任意,0.0017145306472353193
ビルド,診断,0.0017050298380221654
ライブラリ,言語,0.0016985451591462965
