word1,word2,jaccard_coef
paper,さい,0.06666666666666667
paper,基調,0.06666666666666667
debug,inject,0.045454545454545456
prometheus,サドパティ,0.04
nosql,postgresql,0.029411764705882353
ntp,配下,0.028169014084507043
初心者,心構え,0.02564102564102564
prometheus,チム,0.022727272727272728
プログラミング,言語,0.022004889975550123
初心者,大事,0.02
ntp,時刻,0.015625
lambda,マルチメジャレコド,0.015384615384615385
gcp,ドレス,0.015151515151515152
nosql,rdbms,0.014705882352941176
気象庁,連動,0.014705882352941176
lambda,試し,0.012738853503184714
obniz,赤信号,0.012658227848101266
ntp,スレッド,0.012345679012345678
マネジメント,過去,0.012048192771084338
分析,収集,0.01202928870292887
初心者,専門,0.011904761904761904
分析,蓄積,0.011627906976744186
プログラミング,全,0.011554621848739496
初心者,困難,0.011235955056179775
lambda,timestream,0.011023622047244094
プログラミング,絶対,0.010903426791277258
obniz,正解,0.010416666666666666
obniz,ブ,0.010380622837370242
アイコン,不透明,0.0103359173126615
コンパイル,待ち時間,0.010309278350515464
ntp,同期,0.010256410256410256
アイコン,警告,0.00975609756097561
obniz,不,0.009230769230769232
ビルド,掃除,0.008849557522123894
ビルド,最善,0.008849557522123894
マネジメント,規模,0.00881057268722467
マネジメント,評価,0.008695652173913044
プログラミング,移動,0.008385744234800839
obniz,反射,0.008361204013377926
obniz,君,0.008333333333333333
obniz,神経,0.008305647840531562
アイコン,モデルシェダ,0.008298755186721992
lambda,スタンダド,0.008264462809917356
研修,顔,0.00819672131147541
プログラミング,講座,0.008158508158508158
ハンズオン,実施,0.008064516129032258
obniz,音,0.008021390374331552
プログラミング,実践,0.007936507936507936
obniz,プロダクト,0.007936507936507936
gcp,トップ,0.007936507936507936
バイナリ,縮小,0.007936507936507936
ntp,流れ,0.007751937984496124
物理,群,0.007633587786259542
バイナリ,プレゼンテション,0.007633587786259542
プログラミング,プログラミング,0.0076045627376425855
バイナリ,直列,0.007518796992481203
lambda,クエリ,0.00749063670411985
ビルド,重大,0.007462686567164179
クラスタリング,分散,0.007462686567164179
分析,活用,0.007434944237918215
初心者,概念,0.007407407407407408
gcp,仮想,0.007380073800738007
バイナリ,フレム,0.007380073800738007
ビルド,固有,0.0072992700729927005
分析,膨大,0.007272727272727273
プログラミング,ラジコンカ,0.00723589001447178
プログラミング,方向,0.007209062821833162
初心者,適切,0.007194244604316547
物理,生,0.0071174377224199285
gcp,マシン,0.0070921985815602835
テスト,排水,0.007033997655334115
アイコン,タグ,0.006993006993006993
アイコン,ステトメント,0.006993006993006993
obniz,スイッチ,0.0069269521410579345
バイナリ,意味,0.006920415224913495
ビルド,下位,0.00684931506849315
ビルド,限り,0.006756756756756757
分析,手法,0.006749156355455568
obniz,obniz,0.006741573033707865
ビルド,遷移,0.006622516556291391
プログラム,起動,0.006523157208088715
アイコン,鉛筆,0.006493506493506494
prometheus,容易,0.0064516129032258064
ビルド,依存,0.00631578947368421
obniz,信号,0.006269592476489028
分析,学習,0.006253908692933083
obniz,新米,0.00625
obniz,se,0.00625
obniz,ぃ,0.00625
obniz,新婚,0.00625
バイナリ,明確,0.006211180124223602
debug,シンプル,0.006172839506172839
プログラミング,マイコン,0.006157635467980296
アイコン,リスト,0.006134969325153374
ntp,ステタス,0.006097560975609756
gcp,クレジット,0.005988023952095809
バイナリ,大幅,0.005988023952095809
アイコン,適用,0.005952380952380952
アイコン,歯車,0.005952380952380952
プログラミング,製作,0.005937234944868533
nosql,一般,0.0058823529411764705
バイナリ,法人,0.005780346820809248
lambda,現状,0.005681818181818182
gcp,クラウドアプリケション,0.0056179775280898875
obniz,黄,0.005555555555555556
バイナリ,是非,0.0055248618784530384
アイコン,ルル,0.0055147058823529415
lambda,quicksight,0.005376344086021506
プログラム,作成,0.005128205128205128
アイコン,タグコンポネント,0.00510204081632653
アイコン,タグプロパティ,0.00510204081632653
obniz,以外,0.00505902192242833
分析,可視,0.0050062578222778474
マネジメント,複雑,0.005
obniz,olderwoman,0.004987531172069825
プログラミング,入門,0.0049261083743842365
obniz,挑戦,0.0049261083743842365
serial,パレット,0.004884004884004884
lambda,lambda,0.004878048780487805
プログラム,実行,0.004877255730775484
テスト,ブロカ,0.004869411243913236
lambda,付与,0.004830917874396135
分析,記述,0.004804392587508579
アイコン,アイコンエラ,0.004761904761904762
アイコン,中央,0.004739336492890996
分析,機械,0.00473260766682442
アイコン,見た目,0.0047169811320754715
コンパイル,サンプル,0.0047169811320754715
serial,パネル,0.004667444574095682
分析,分析,0.004596191726854892
プログラム,ペジ,0.004589787722317842
ビルド,フレムワク,0.0045871559633027525
serial,shift,0.0045662100456621
バイナリ,ワンス,0.004545454545454545
ハンズオン,記載,0.004514672686230248
マネジメント,効果,0.004484304932735426
気象庁,色,0.004484304932735426
lambda,ロル,0.004470938897168405
バイナリ,構造,0.0044444444444444444
気象庁,防災,0.0044444444444444444
テスト,無料,0.004424778761061947
アイコン,数字,0.004405286343612335
obniz,つまり,0.004405286343612335
アイコン,エンティティ,0.004366812227074236
テスト,反射,0.004363001745200698
テスト,神経,0.004347826086956522
ハンズオン,模擬,0.004347826086956522
ハンズオン,レス,0.004329004329004329
gcp,コンソル,0.004301075268817204
ハンズオン,知見,0.004291845493562232
テスト,水位,0.004276114844227245
プログラミング,勉強,0.004273504273504274
nosql,選定,0.00425531914893617
ハンズオン,パブリック,0.004201680672268907
obniz,緑,0.0041265474552957355
obniz,蓋,0.004098360655737705
obniz,ブチギレ,0.004098360655737705
obniz,圧電,0.004098360655737705
obniz,感銘,0.004098360655737705
obniz,インスパイア,0.004098360655737705
プログラム,設定,0.004092769440654843
obniz,爪痕,0.004081632653061225
プログラム,プログラム,0.0040517075053058075
obniz,トイレ,0.004048582995951417
serial,ts,0.00404040404040404
serial,三角,0.00404040404040404
lambda,ペジ,0.004004004004004004
lambda,プロビジョニング,0.004
lambda,先ほど,0.004
serial,サイド,0.00398406374501992
研修,範囲,0.00398406374501992
プログラミング,ポンプ,0.003911342894393742
obniz,protooutobnizpic,0.00390625
テスト,君,0.0038910505836575876
ハンズオン,用意,0.003883495145631068
バイナリ,形式,0.003835091083413231
バイナリ,層,0.0038314176245210726
分析,規則,0.003821656050955414
ビルド,互換,0.003816793893129771
ビルド,ラン,0.003787878787878788
プログラム,表示,0.003787226717163023
serial,ui,0.0037641154328732747
serial,アイコ,0.0037593984962406013
serial,おき,0.00375234521575985
obniz,プロトタイプ,0.003745318352059925
ビルド,押下,0.003745318352059925
serial,ン,0.003738317757009346
obniz,思い,0.0037313432835820895
ntp,影響,0.0037174721189591076
テスト,結果,0.003711952487008166
プログラミング,意欲,0.0036968576709796672
プログラミング,第一歩,0.0036968576709796672
プログラミング,近日,0.0036968576709796672
obniz,twitter,0.0036900369003690036
プログラム,書き込み,0.0036879432624113474
プログラム,最新,0.003676470588235294
プログラミング,ベス,0.0036452004860267314
obniz,方正,0.0036231884057971015
obniz,直,0.0036231884057971015
obniz,usbtypec,0.0036231884057971015
obniz,windowsmaclinux,0.0036231884057971015
obniz,ライク,0.0036231884057971015
ビルド,画面,0.0036023054755043226
テスト,プログラム,0.003569303985722784
分析,車両,0.0035398230088495575
プログラミング,多,0.0034782608695652175
obniz,protooutobniz,0.003472222222222222
obniz,ohi,0.003472222222222222
obniz,raisedhands,0.003472222222222222
obniz,被験者,0.003472222222222222
テスト,公開,0.0034562211981566822
gcp,外部,0.0034482758620689655
プログラミング,目次,0.0034423407917383822
プログラミング,修了,0.0034423407917383822
プログラミング,付録,0.0034423407917383822
プログラム,ポト,0.003440063508864779
初心者,知識,0.003436426116838488
lambda,複数,0.0033975084937712344
gcp,用意,0.003389830508474576
プログラミング,ラジ,0.003355704697986577
プログラム,選択,0.0033243628304574957
アイコン,アイコン,0.0033222591362126247
プログラム,全,0.003305785123966942
obniz,pic,0.003289473684210526
obniz,感想,0.003289473684210526
obniz,棒,0.003278688524590164
ビルド,固定,0.003246753246753247
gcp,ip,0.003246753246753247
分析,複雑,0.003236245954692557
obniz,高齢,0.003236245954692557
バイナリ,節約,0.003236245954692557
ハンズオン,リリス,0.003215434083601286
ビルド,名称,0.003215434083601286
serial,タミナル,0.003205128205128205
email,アドレス,0.003194888178913738
nosql,デタベス,0.003179650238473768
分析,大量,0.003161222339304531
テスト,挑戦,0.0031479538300104933
obniz,スピカ,0.003134796238244514
obniz,フィドバック,0.003134796238244514
用語,自身,0.003115264797507788
テスト,学習,0.0031036623215394167
物理,発熱,0.0030959752321981426
物理,筐,0.0030959752321981426
lambda,sdk,0.0030959752321981426
プログラム,マウント,0.003091721058055651
研修,部屋,0.0030864197530864196
ハンズオン,許可,0.0030581039755351682
分析,検出,0.003054989816700611
プログラミング,経験,0.003048780487804878
アイコン,修正,0.003048780487804878
ライブラリ,検索,0.003022974607013301
serial,サイドバ,0.003003003003003003
serial,田中,0.003003003003003003
serial,みそ,0.003003003003003003
serial,stop,0.0029850746268656717
プログラム,移動,0.0029752066115702478
プログラム,方向,0.00295955277869122
プログラミング,大変,0.0029411764705882353
プログラミング,水中,0.002936857562408223
serial,ラン,0.002932551319648094
obniz,読者,0.0029154518950437317
プログラム,値,0.0028996469994957137
ハンズオン,内容,0.0028929604628736743
研修,興味,0.002890173410404624
gcp,予定,0.002886002886002886
gcp,nodered,0.002881844380403458
obniz,フレムワク,0.0028735632183908046
テスト,起動,0.002866356144750985
ハンズオン,学習,0.002859866539561487
物理,相場,0.002840909090909091
プログラミング,ロボット,0.0028328611898017
初心者,関連,0.0028328611898017
引数,関数,0.002828854314002829
プログラム,操作,0.00282849061455387
serial,コピペ,0.002824858757062147
分析,記事,0.0028157683024939663
プログラミング,大丈夫,0.0028129395218002813
プログラム,メモリ,0.0028058361391694723
物理,高性能,0.002793296089385475
引数,起動,0.0027829313543599257
テスト,マウント,0.0027598896044158236
lambda,格納,0.0027548209366391185
プログラミング,操作,0.0027427317608337905
serial,vscode,0.002728512960436562
obniz,ん,0.002717391304347826
ハンズオン,若干,0.0027100271002710027
プログラミング,筆者,0.0026954177897574125
物理,開閉,0.002680965147453083
プログラム,モド,0.002678810608090008
テスト,必須,0.002657218777679362
obniz,ばあちゃん,0.0026455026455026454
コンパイル,画像,0.0026455026455026454
物理,組み合わせ,0.002638522427440633
ビルド,確保,0.0026246719160104987
バイナリ,解析,0.002617801047120419
obniz,実験,0.0025974025974025974
アイコン,アセット,0.0025906735751295338
gcp,アカウント,0.00258732212160414
分析,大別,0.00258732212160414
分析,集計,0.002583979328165375
プログラミング,動画,0.0025673940949935813
obniz,改善,0.002564102564102564
serial,右側,0.0025477707006369425
物理,簡単,0.00253592561284869
分析,策定,0.002531645569620253
テスト,希望,0.002512562814070352
lambda,コンポネント,0.0025031289111389237
プログラミング,理解,0.0025
分析,知能,0.0024937655860349127
obniz,一定,0.0024937655860349127
テスト,上昇,0.002484472049689441
ビルド,配信,0.0024813895781637717
serial,ソス,0.0024752475247524753
分析,無数,0.0024691358024691358
テスト,給水,0.002466091245376079
分析,統計,0.0024600246002460025
プログラム,測定,0.002455795677799607
ntp,全体,0.0024509803921568627
分析,発見,0.0024479804161566705
serial,コマンド,0.0024473813020068525
