word1,word2,jaccard_coef
バイナリ,無理,0.06666666666666667
歴史,老舗,0.03125
テスト,テスト,0.026969850598669347
クラスタリング,プロセッサ,0.024390243902439025
学生,時代,0.022727272727272728
クラスタリング,機器,0.021739130434782608
テスト,欠陥,0.015427364107817402
ビルド,即時,0.015151515151515152
学生,思い,0.015151515151515152
クラスタリング,即座,0.0136986301369863
テスト,開発,0.012915720546365955
初心者,記,0.01282051282051282
初心者,重み,0.0125
クラスタリング,ディスク,0.012195121951219513
歴史,経緯,0.011904761904761904
ビルド,自動的,0.011450381679389313
文系,新人,0.011363636363636364
テスト,設計,0.011167580394630448
テスト,品質,0.010011090129784492
プログラミング,競技,0.01
テスト,実行,0.00992375346955155
テスト,活動,0.008981572436620948
ビルド,ビルド,0.008695652173913044
テスト,担当,0.008177076794905447
テスト,技法,0.007925909475038288
テスト,計画,0.0076700601573345675
歴史,研究,0.007633587786259542
テスト,確認,0.007496976341995501
テスト,結果,0.0074270512033971624
ビルド,ビルドツルコンポネントテストツル,0.007042253521126761
用語,用語,0.007034632034632035
テスト,目的,0.006900012905261045
研修,試行,0.006896551724137931
用語,説明,0.006800408024481469
ビルド,ペトリネット,0.006756756756756757
テスト,必要,0.00674888465800915
テスト,テストケス,0.006746982374521172
テスト,対象,0.006737020228327717
テスト,リスク,0.0066214465706519125
物理,誤字,0.00625
物理,脱字,0.00625
物理,衍字,0.00625
文系,配属,0.006134969325153374
テスト,レベル,0.006123243243243243
テスト,分析,0.0060669696795351245
ビルド,モデルベスドテスト,0.006024096385542169
資格,資格,0.005883089247715609
テスト,機能,0.005873883918949598
物理,試作,0.005865102639296188
テスト,プロセス,0.005852470049040348
テスト,故障,0.0058352357150583236
テスト,要件,0.005814655345861334
テスト,作業,0.0058026914973153
ビルド,回帰,0.005434782608695652
プログラミング,大好き,0.005291005291005291
プログラミング,偏見,0.005291005291005291
プログラミング,週末,0.005291005291005291
テスト,条件,0.0050232552687031265
プログラミング,リアルタイム,0.004966887417218543
分析,開発,0.0049337345911221716
ビルド,プログラマ,0.004901960784313725
初心者,専用,0.004807692307692308
分析,欠陥,0.0047944210373383695
プログラミング,言語,0.004784688995215311
研修,費用,0.00477326968973747
分析,実行,0.00475315977098412
テスト,評価,0.004733045234927729
分析,設計,0.0046103144830487676
分析,結果,0.00460466525295365
マネジメント,欠陥,0.004552755201854916
分析,活動,0.004550030978934324
ビルド,調査,0.004434589800443459
分析,条件,0.004395057633302927
テスト,可能,0.004388590249329156
物理,組み込み,0.004366812227074236
初心者,無事,0.004291845493562232
物理,量産,0.004219409282700422
物理,生,0.004219409282700422
テスト,仕様,0.004169992487557517
分析,品質,0.0041056821387156425
マネジメント,レポト,0.004068456197762349
テスト,情報,0.004054318521050033
テスト,物,0.004045790465149978
テスト,成果,0.004016250590838309
マネジメント,品質,0.003956167069285439
分析,確認,0.0038797869132576137
テスト,修正,0.00384047959159778
マネジメント,ライフサイクル,0.003833013915507041
テスト,実施,0.003805935721974473
分析,故障,0.003777067193166942
テスト,使用,0.0037756187091229554
テスト,基準,0.0037605014001866914
分析,計画,0.00374414976599064
研修,長所,0.0037174721189591076
マネジメント,改善,0.003674889557840416
マネジメント,リスク,0.00367249945992655
分析,必要,0.0036616161616161618
ビルド,通常,0.003616636528028933
テスト,終了,0.0035617302696949234
分析,目的,0.003539783103735937
テスト,マネジメント,0.0034931584998727366
分析,要件,0.0034493136097414174
マネジメント,活動,0.003444138298817883
テスト,戦略,0.0034103466043968154
テスト,プロジェクト,0.0034020963789010753
テスト,検出,0.0033833859637816587
分析,担当,0.0033253239509139277
プログラミング,大丈夫,0.0032948929159802307
プログラミング,ベテラン,0.003289473684210526
テスト,環境,0.003244811558160879
テスト,組織,0.0032344567206629747
歴史,進化,0.003215434083601286
ビルド,量,0.003194888178913738
分析,情報,0.0031866054550364568
マネジメント,支援,0.0031833387288227044
テスト,ユザ,0.003161494289954191
テスト,自動,0.0031172644147477216
分析,評価,0.0031047347204486843
マネジメント,情報,0.0030992416749093307
マネジメント,マネジメント,0.003074428190141559
分析,対象,0.0030625739542005986
分析,戦略,0.003012646494074025
テスト,内容,0.0029754862524253465
プログラミング,ルプ,0.0029717682020802376
テスト,モデル,0.002971185443568275
ライブラリ,ルプ,0.0029229082937522835
プログラム,技法,0.0029201817001946787
分析,機能,0.00286308012006465
用語,記憶,0.002859866539561487
テスト,独立,0.00285262249496596
テスト,実装,0.00283669385412733
マネジメント,開発,0.0028294647995396123
プログラミング,記事,0.0028222013170272815
分析,基準,0.0028087257747401928
分析,成果,0.0027824855184276427
プログラミング,入社,0.002777777777777778
研修,選定,0.002777777777777778
テスト,適切,0.0027759907643227903
分析,物,0.0027676437287709145
テスト,作成,0.0027525347241706215
分析,原因,0.002745905658527018
マネジメント,実行,0.0027171137306175814
分析,境界,0.002713647559804617
クラスタリング,サバ,0.0027100271002710027
テスト,期待,0.002706824811573601
プログラミング,プログラミング,0.0027002700270027003
テスト,発生,0.0026979003168774245
マネジメント,作業,0.0026836632002683663
プログラム,貢献,0.0026641800985746636
分析,終了,0.0026418118673751075
テスト,テストベス,0.002639288289878838
テスト,利用,0.0026084577084832875
分析,発生,0.0026013100573541855
ビルド,非常,0.002570694087403599
分析,識別,0.0025633242267867383
テスト,検証,0.0025186155318575234
クラスタリング,分散,0.002506265664160401
テスト,経験,0.0025053077288295523
用語,知識,0.0025049203793165147
クラスタリング,予防,0.0024937655860349127
テスト,レビュ,0.002490395847984145
テスト,標準,0.0024727875059157595
テスト,デタ,0.0024546276951546886
マネジメント,結果,0.002423395083304206
プログラム,保証,0.0024154589371980675
歴史,設置,0.0024154589371980675
テスト,構造,0.0023685287344649307
分析,期待,0.0023501394416068685
マネジメント,故障,0.0023275603163479828
テスト,動作,0.0023183603411386783
マネジメント,評価,0.0023149540015633455
テスト,識別,0.0023067157017601374
テスト,ベス,0.002306162545524248
分析,可能,0.0023053210025465757
クラスタリング,冗長,0.002304147465437788
分析,提供,0.0022934276915012124
テスト,提供,0.0022799153429087795
プログラム,ワイルドポインタ,0.00224782242202866
テスト,問題,0.0022299487992019132
テスト,ライフサイクル,0.002224796530624369
プログラミング,推奨,0.0022222222222222222
テスト,通り,0.0022075120862774266
ライブラリ,自動,0.0022039671408535366
テスト,手順,0.002197302167964891
プログラミング,変数,0.0021958717610891525
分析,実装,0.0021893278436754568
分析,定義,0.0021618788692718397
テスト,定義,0.002160738752715784
テスト,原因,0.002160225115068387
