word1,word2,jaccard_coef
gcp,googlecloudconsole,0.1111111111111111
アイコン,アバタ,0.043478260869565216
備忘録,苦戦,0.038461538461538464
model,small,0.03571428571428571
sqlalchemy,馴染み,0.034482758620689655
model,predictions,0.03125
lambda,レイヤ,0.027777777777777776
アイコン,ペン,0.027777777777777776
model,ランダムウォク,0.02702702702702703
stripe,元帳,0.02564102564102564
stripe,前期,0.02564102564102564
stripe,実績,0.02564102564102564
アイコン,写真,0.025
初心者,熟練,0.022988505747126436
oracle,是非,0.021739130434782608
バイナリ,ボラティリティ,0.02112676056338028
tool,tool,0.018957345971563982
lightgbm,ベイジアン,0.01808785529715762
アイコン,キカガク,0.017857142857142856
kubernetes,オンデマンド,0.01694915254237288
kubernetes,ノド,0.016666666666666666
stripe,交差,0.016129032258064516
lambda,リアルタイムコンピュティングレイヤ,0.015625
lambda,即事,0.015384615384615385
lambda,サポトオンラインオフライン,0.015151515151515152
lambda,スキュ,0.015151515151515152
tool,指示,0.01509433962264151
lambda,側面,0.014492753623188406
kubernetes,spark,0.013605442176870748
物理,配慮,0.013333333333333334
バイナリ,ライセンス,0.013333333333333334
初心者,軌跡,0.013333333333333334
バイナリ,ヒストリカルベタ,0.013157894736842105
バイナリ,配当,0.013157894736842105
バイナリ,過度,0.013157894736842105
バイナリ,バリュエション,0.013157894736842105
kubernetes,フルマネジド,0.013157894736842105
tool,列挙,0.012987012987012988
kubernetes,マネジド,0.012987012987012988
バイナリ,株式,0.012903225806451613
kubernetes,ワクロド,0.0125
物理,運転,0.012048192771084338
kubernetes,互換,0.011764705882352941
ビルド,ビルドソリュション,0.011627906976744186
初心者,届け,0.011627906976744186
lambda,動向,0.011494252873563218
lambda,パイプライン,0.011299435028248588
pandas,seaborn,0.010869565217391304
lightgbm,パラメタチュニング,0.010752688172043012
lightgbm,randomforest,0.010526315789473684
pandas,ダウンロト,0.010526315789473684
email,コネクタ,0.00980392156862745
初心者,大手,0.009708737864077669
langchain,llm,0.009517335146159076
物理,視野,0.009259259259259259
lambda,lambda,0.009009009009009009
用語,誤訳,0.008620689655172414
tool,一行,0.008583690987124463
用語,英語,0.008583690987124463
分析,章,0.008459571119417668
テキストエディタ,解凍,0.008403361344537815
tool,否,0.008130081300813009
pandas,デタフレム,0.008
langchain,クエリ,0.00796812749003984
ビルド,モデルアティファクト,0.007874015748031496
ビルド,公正,0.007874015748031496
ビルド,マニュアルバリデション,0.007874015748031496
初心者,気軽,0.0078125
pandas,読み込み,0.007751937984496124
lightgbm,verbosity,0.007712082262210797
バイナリ,水平,0.007692307692307693
langchain,文章,0.0076384468491406746
pandas,省略,0.007633587786259542
tool,対話,0.007194244604316547
クラスタリング,グルプ,0.007142857142857143
kubernetes,柔軟,0.006896551724137931
アイコン,グラフ,0.006802721088435374
テキストエディタ,圧縮,0.006756756756756757
物理,膨大,0.006711409395973154
langchain,rdb,0.006674082313681869
pandas,陸上,0.0064516129032258064
pandas,競技,0.0064516129032258064
pandas,男子,0.0064516129032258064
pandas,傑,0.0064516129032258064
lightgbm,lightgbm,0.00641025641025641
分析,変数,0.006392929432619656
バイナリ,リポジトリ,0.006329113924050633
kubernetes,リソス,0.00625
lightgbm,スポンサ,0.006172839506172839
oracle,興味,0.006134969325153374
kubernetes,スケル,0.006134969325153374
lambda,サポト,0.006097560975609756
lightgbm,openmp,0.0060790273556231
バイナリ,フレムワク,0.006024096385542169
クラスタリング,商品,0.005843071786310518
langchain,履歴,0.005826656955571741
langchain,openai,0.005747126436781609
アイコン,便利,0.005747126436781609
lambda,移行,0.005681818181818182
tool,回答,0.0056634304207119745
kubernetes,ソリュション,0.005649717514124294
langchain,有名,0.00558659217877095
stripe,容易,0.00558659217877095
分析,関数,0.005530040935790829
ビルド,長期,0.0055248618784530384
テキストエディタ,適当,0.00546448087431694
分析,統計,0.005462392194199857
lightgbm,microsoft,0.005449591280653951
分析,学習,0.005434541747917036
kubernetes,スケリング,0.005376344086021506
pandas,歴代,0.005376344086021506
物理,能力,0.0053475935828877
stripe,分野,0.005319148936170213
tool,判断,0.005305039787798408
初心者,参加,0.005263157894736842
lambda,反映,0.0051813471502590676
備忘録,終了,0.0051813471502590676
stripe,ソス,0.005154639175257732
pandas,ヒト,0.005076142131979695
分析,検定,0.005049415217297484
langchain,langchain,0.005025125628140704
lightgbm,インストル,0.004918032786885246
langchain,ストリミング,0.004807692307692308
pandas,マップ,0.004807692307692308
クラスタリング,検出,0.004790419161676647
バイナリ,容易,0.004761904761904762
クラスタリング,スピド,0.004705882352941176
lightgbm,optuna,0.004618937644341801
langchain,レスポンス,0.004602991944764097
用語,用語,0.0045662100456621
lambda,parameterstore,0.0045662100456621
model,テストデタ,0.0045662100456621
pandas,サンプルデタ,0.004545454545454545
lambda,リアルタイム,0.004531722054380665
stripe,迅速,0.004524886877828055
