word1,word2,jaccard_coef
issue,pullrequest,0.05128205128205128
issue,サイドバ,0.03389830508474576
初心者,前田,0.03278688524590164
prometheus,最先端,0.023255813953488372
prometheus,新鮮,0.023255813953488372
研修,編,0.022988505747126436
テスト,比較,0.02210759027266028
issue,コア,0.021505376344086023
issue,mokuren,0.02127659574468085
prometheus,ランキング,0.02
プログラム,単独,0.0196078431372549
プログラム,ロイヤリティ,0.019230769230769232
プログラム,ボナス,0.019230769230769232
歴史,馬力,0.018518518518518517
prometheus,インデックス,0.01818181818181818
学生,開催,0.017391304347826087
issue,最大限,0.01694915254237288
初心者,用品,0.01639344262295082
prometheus,シリズ,0.016129032258064516
prometheus,組み合わせ,0.015873015873015872
初心者,誘導,0.015503875968992248
初心者,魅了,0.015384615384615385
プログラム,表彰,0.015151515151515152
プログラム,遊び,0.015151515151515152
学生,研究,0.014760147601476014
issue,直後,0.014492753623188406
学生,頁,0.014285714285714285
プログラム,割引,0.013888888888888888
テスト,大手,0.013437849944008958
プログラム,プロモション,0.013333333333333334
物理,解像度,0.013280212483399735
マネジメント,妨害,0.01282051282051282
引数,暴れ,0.012658227848101266
マネジメント,実務,0.012345679012345678
テスト,テスト,0.012265978050355068
prometheus,包括,0.012048192771084338
マネジメント,レベル,0.011811023622047244
マネジメント,膨大,0.011764705882352941
学生,所属,0.011299435028248588
issue,コピ,0.01098901098901099
マネジメント,不足,0.010309278350515464
研修,網羅,0.00980392156862745
プログラム,適応,0.009615384615384616
マネジメント,直面,0.009523809523809525
ライブラリ,定義,0.00941858358992936
分析,曲線,0.009337068160597572
プログラム,有益,0.009259259259259259
物理,社会,0.009237875288683603
初心者,初心者,0.009174311926605505
テスト,テストケス,0.009164969450101833
ライブラリ,巻,0.008908685968819599
学生,検察,0.008771929824561403
マネジメント,ルプ,0.008695652173913044
プログラム,昨日,0.008695652173913044
プログラム,統合,0.00847457627118644
テスト,ユザテスト,0.008438818565400843
歴史,色々,0.008403361344537815
プログラム,報告,0.008403361344537815
歴史,雑誌,0.008264462809917356
初心者,皆さん,0.008130081300813009
プログラム,マイクロインタラクション,0.007936507936507936
分析,曲,0.0079155672823219
ライブラリ,入門,0.007774538386783284
テスト,概念,0.007420091324200913
物理,環境,0.007389162561576354
読書,頻度,0.0072992700729927005
分析,率,0.007154213036565978
学生,鉄人,0.007142857142857143
歴史,質,0.00684931506849315
プログラム,笑,0.006779661016949152
買い物,退屈,0.006726457399103139
物理,精神,0.006622516556291391
issue,インストル,0.006578947368421052
テスト,問,0.006543075245365322
prometheus,独自,0.006535947712418301
歴史,登場,0.0064516129032258064
物理,特性,0.00644468313641246
物理,状態,0.006440281030444965
テスト,自社,0.006423982869379015
テスト,ハニカム,0.0062836624775583485
分析,対数,0.006172839506172839
初心者,教育,0.006172839506172839
ライブラリ,総合,0.006111535523300229
テスト,想定,0.006102877070619006
テスト,ペルソナ,0.006042296072507553
ライブラリ,側面,0.006010518407212622
テスト,見本,0.006
プログラム,モバイルアプリ,0.005917159763313609
プログラム,電子,0.005917159763313609
ライブラリ,協会,0.0058997050147492625
ライブラリ,構造,0.005896805896805897
マネジメント,役割,0.0058823529411764705
issue,オンボディング,0.0058823529411764705
買い物,限定,0.005865102639296188
テスト,作成,0.00584339696143358
テスト,像,0.005741626794258373
テスト,自身,0.005719733079122974
ライブラリ,中心,0.005667729365922777
プログラム,リリス,0.0056179775280898875
引数,方向,0.00554016620498615
ライブラリ,反応,0.005513439007580979
ライブラリ,人間,0.005496392992098935
学生,知見,0.005376344086021506
分析,施策,0.0053404539385847796
買い物,買い物,0.005319148936170213
学生,学生,0.005291005291005291
テスト,図,0.005287009063444109
初心者,大体,0.005263157894736842
issue,url,0.005076142131979695
学生,就活,0.0049504950495049506
テスト,採用,0.0047694753577106515
テスト,再,0.004752851711026616
学生,生活,0.004705882352941176
ライブラリ,全体,0.004676539360872954
物理,種類,0.004548900682335102
分析,立案,0.004434589800443459
分析,明らか,0.004424778761061947
テスト,合格,0.0044014084507042256
学生,成長,0.0043859649122807015
歴史,身,0.00423728813559322
分析,着目,0.00408997955010225
物理,荷物,0.004073319755600814
物理,除去,0.004073319755600814
ライブラリ,会社,0.004038364462392731
分析,部署,0.004024144869215292
初心者,答え,0.004016064257028112
分析,型,0.003964321110009911
読書,非常,0.003952569169960474
物理,適合,0.003913894324853229
プログラム,非常,0.00390625
テスト,整理,0.0039032006245121
物理,視,0.003898635477582846
テスト,観点,0.003852080123266564
学生,計画,0.0038461538461538464
マネジメント,職種,0.0038461538461538464
読書,集中,0.0037593984962406013
アイコン,ルル,0.003740648379052369
テスト,万が一,0.0037313432835820895
初心者,注意,0.0037174721189591076
分析,工程,0.003669724770642202
物理,物理,0.0036540803897685747
マネジメント,集中,0.0036496350364963502
ライブラリ,予想,0.0036133694670280035
ライブラリ,作用,0.0036101083032490976
ライブラリ,製品,0.0035822540644805732
ライブラリ,相互,0.0035746201966041107
ライブラリ,余談,0.0035714285714285713
分析,半径,0.0035650623885918
テスト,小,0.0035587188612099642
issue,為,0.0035460992907801418
ライブラリ,ライブラリ,0.0035294117647058825
分析,研究,0.0035252643948296123
初心者,発見,0.0035087719298245615
歴史,洗練,0.0034965034965034965
ライブラリ,表,0.0034812880765883376
プログラミング,ワイ,0.00345383375546857
テスト,プロトタイプ,0.0034423407917383822
