word1,word2,jaccard_coef
文系,理,0.05
文系,転,0.05
文系,青二才,0.05
webserver,非対称,0.030303030303030304
issue,tauri,0.027777777777777776
mamp,内蔵,0.027777777777777776
mamp,mysql,0.02702702702702703
mamp,予想,0.025
mamp,本編,0.023255813953488372
mamp,port,0.023255813953488372
email,インジェクション,0.021739130434782608
bug,webkit,0.02127659574468085
bug,electron,0.02127659574468085
bug,嫌い,0.02127659574468085
webserver,仕掛け,0.02127659574468085
webserver,担保,0.02127659574468085
mamp,sock,0.020833333333333332
テスト,版,0.0205761316872428
bug,image,0.019230769230769232
mamp,正直,0.017857142857142856
bug,相談,0.017241379310344827
webserver,秘密,0.015873015873015872
issue,tauriwry,0.014925373134328358
issue,発見,0.014925373134328358
issue,wry,0.014388489208633094
issue,とこ,0.013333333333333334
初心者,脱,0.013333333333333334
mamp,事前,0.012987012987012988
bug,webview,0.012987012987012988
issue,runcodesnipet,0.012903225806451613
mamp,チャットアプリ,0.01282051282051282
ビルド,手順,0.012582932967284374
issue,メモリリク,0.012578616352201259
issue,初め,0.0125
買い物,購入,0.011976047904191617
email,sql,0.011834319526627219
issue,メモリ,0.0113314447592068
マネジメント,編,0.01120896717373899
webserver,身元,0.010752688172043012
issue,調査,0.010638297872340425
webserver,宛先,0.010416666666666666
テスト,テスト,0.010299166257969592
初心者,教材,0.010101010101010102
テスト,ベタ,0.010075566750629723
issue,open,0.009708737864077669
mamp,完成,0.009523809523809525
資格,開花,0.009523809523809525
マネジメント,基礎,0.009507962918944617
issue,根本,0.009433962264150943
ビルド,外部,0.009113504556752278
ビルド,ビルド,0.009077405512460801
ntp,udp,0.008869179600886918
用語,言葉,0.008849557522123894
初心者,現役,0.008333333333333333
初心者,資格,0.008333333333333333
初心者,開花,0.008333333333333333
初心者,年収,0.008333333333333333
初心者,動向,0.008333333333333333
bug,回答,0.008333333333333333
issue,過去,0.008264462809917356
issue,お気づき,0.008264462809917356
issue,残念,0.00819672131147541
exception,ppexceptionstestexception,0.00816326530612245
issue,直後,0.00816326530612245
ビルド,一部,0.008128137700215157
用語,身近,0.007692307692307693
用語,解説,0.0076726342710997444
初心者,独学,0.007575757575757576
issue,safari,0.007462686567164179
issue,気軽,0.007462686567164179
テスト,統合,0.007259528130671506
テスト,プロトタイプ,0.007120253164556962
初心者,現実,0.007042253521126761
用語,記録,0.006896551724137931
テスト,マスタ,0.006589785831960461
引数,解除,0.006396588486140725
issue,バグ,0.006369426751592357
テスト,障害,0.006334841628959276
ビルド,ペジ,0.006229439350458459
テスト,完了,0.006198347107438017
テスト,非常,0.006134969325153374
ビルド,従来,0.006129841181387573
ビルド,モジュル,0.005958549222797927
初心者,解説,0.005934718100890208
ビルド,変数,0.005880848887752493
テスト,ロカル,0.005775577557755775
ビルド,表示,0.005732418876036442
issue,大量,0.005714285714285714
初心者,業界,0.0056179775280898875
ビルド,部品,0.0055936943808797355
ntp,push,0.0055248618784530384
ntp,settingpages,0.0055248618784530384
ntp,source,0.0055248618784530384
初心者,現状,0.005494505494505495
プログラミング,基礎,0.005362505362505363
issue,描画,0.005291005291005291
用語,索引,0.0051813471502590676
用語,著作,0.0051813471502590676
用語,節,0.0051813471502590676
用語,附属,0.0051813471502590676
issue,フッタ,0.005154639175257732
bug,報告,0.005128205128205128
issue,タスク,0.005050505050505051
issue,issue,0.005025125628140704
テスト,フェズ,0.0049301561216105174
テスト,基礎,0.004895960832313341
ntp,telnet,0.004830917874396135
ビルド,出力,0.00477326968973747
ntp,pop,0.004694835680751174
テスト,信頼,0.004620123203285421
ビルド,公開,0.004596795376937221
プログラミング,未,0.0045871559633027525
用語,翻訳,0.004545454545454545
ビルド,ファイル,0.004459997255386304
テスト,ペネトレションテスト,0.004448398576512456
ライブラリ,便利,0.004317789291882556
ビルド,導入,0.004256416870888688
初心者,日本,0.00425531914893617
プログラミング,学習,0.00424757281553398
プログラミング,経験,0.004081632653061225
プログラミング,週間,0.004077471967380225
初心者,最適,0.0040650406504065045
email,追記,0.004
ntp,ssh,0.003968253968253968
ntp,友人,0.003952569169960474
exception,handler,0.003952569169960474
ntp,smtp,0.0038910505836575876
マネジメント,レジ,0.003883495145631068
マネジメント,ロジカルシンキング,0.003883495145631068
マネジメント,爆発,0.003883495145631068
テスト,レイヤ,0.0038119440914866584
テスト,マニュアル,0.0038022813688212928
exception,クロス,0.0037914691943127963
テスト,繋ぎ,0.003787878787878788
テスト,込み,0.003787878787878788
bug,追記,0.003745318352059925
プログラミング,入口,0.0037313432835820895
exception,handle,0.0037313432835820895
マネジメント,モデリング,0.0036968576709796672
プログラム,分散,0.0036225429063483578
プログラミング,開始,0.003616636528028933
テスト,デプロイ,0.0035790980672870437
bug,メモリ,0.0035714285714285713
プログラミング,思い,0.0035555555555555557
テスト,途中,0.003527336860670194
issue,幸い,0.0035211267605633804
テスト,品質,0.0035026269702276708
issue,バック,0.0034904013961605585
プログラミング,入門,0.0034542314335060447
exception,メンバ,0.0034285714285714284
ビルド,プラグ,0.003424657534246575
ビルド,意外,0.0033353547604608852
ビルド,準備,0.0032855436081242534
ビルド,思い,0.0032505910165484633
ビルド,軽量,0.0032144944476914087
マネジメント,要件,0.003205128205128205
exception,例外,0.003194888178913738
exception,集合,0.0031496062992125984
exception,jsonp,0.0031496062992125984
マネジメント,目次,0.003129890453834116
ビルド,確認,0.003117879841707639
ビルド,ポイント,0.003099974166881943
ビルド,型,0.0030831099195710457
ビルド,経由,0.003082959641255605
ビルド,作成,0.002995363341676583
ビルド,概要,0.0029721696838692245
exception,ドメイン,0.0029615004935834156
issue,エンド,0.0029455081001472753
プログラミング,編,0.002944640753828033
ビルド,初期,0.0029123643102991793
プログラミング,採用,0.002898550724637681
テスト,バックエンドサビス,0.0028763183125599234
テスト,フロントエンドフレムワク,0.0028763183125599234
テスト,マスタアップ,0.0028708133971291866
プログラム,属性,0.002859866539561487
テスト,視点,0.002857142857142857
テスト,遭遇,0.002849002849002849
テスト,単体テスト,0.002838221381267739
テスト,静的,0.0028213166144200625
プログラム,リンク,0.002811066725847019
プログラム,検索,0.002800746865830888
テスト,本番,0.0027881040892193307
ビルド,ライブラリ,0.002780586450960566
引数,書き込み,0.0027472527472527475
issue,新規,0.0027472527472527475
テスト,体験,0.0027100271002710027
マネジメント,日々,0.0027100271002710027
プログラム,要素,0.002706613784971594
テスト,作用,0.002702702702702703
ビルド,側,0.0026991854243987082
ビルド,高速,0.002677702044790652
用語,筆者,0.0026595744680851063
ntp,パタン,0.002652519893899204
ビルド,動作,0.0026189436927106066
exception,php,0.002583979328165375
テスト,編,0.002581311306143521
ビルド,追加,0.0025774551575403716
プログラミング,メッセジボディ,0.0025657472738935213
マネジメント,文章,0.0025412960609911056
プログラミング,障壁,0.0025031289111389237
プログラム,状態,0.0024955436720142605
ビルド,参考,0.0024730215827338128
プログラミング,挫折,0.002472187886279357
テスト,大事,0.002471169686985173
用語,目次,0.0024271844660194173
テスト,手動,0.002421307506053269
プログラミング,今週,0.002403846153846154
アイコン,ウィンドウ,0.002403846153846154
プログラム,統一,0.0023987452717040315
プログラミング,掃除,0.0023923444976076554
プログラミング,困難,0.002380952380952381
プログラミング,機,0.0023781212841854932
ライブラリ,リスト,0.0023752969121140144
プログラミング,ロボット,0.002369668246445498
テスト,攻撃,0.002364066193853428
プログラミング,動き,0.002364066193853428
プログラミング,期,0.002364066193853428
issue,セクション,0.002364066193853428
プログラミング,初学,0.00234192037470726
マネジメント,分野,0.00234192037470726
プログラミング,平日,0.0023391812865497076
プログラミング,隙間,0.0023391812865497076
webserver,前提,0.002331002331002331
ビルド,利用,0.002328951454300797
引数,間隔,0.0022988505747126436
exception,javascriptobjectnotation,0.0022935779816513763
exception,進,0.0022935779816513763
exception,浮動,0.0022935779816513763
exception,ブリ,0.0022935779816513763
exception,アン,0.0022935779816513763
exception,tostring,0.0022935779816513763
exception,タイムゾン,0.0022935779816513763
exception,jsonwithpadding,0.0022935779816513763
exception,xmlhttprequest,0.0022935779816513763
exception,オリジナル,0.0022935779816513763
exception,コル,0.0022935779816513763
exception,ラップ,0.0022935779816513763
exception,jsonjson,0.0022935779816513763
プログラム,表現,0.0022749310061907957
exception,小数点,0.002257336343115124
テスト,実行,0.0022557283628160986
exception,絶対,0.0022271714922048997
exception,配列,0.002207505518763797
exception,unix,0.0022026431718061676
引数,日記,0.0022026431718061676
引数,推論,0.0022026431718061676
ライブラリ,手順,0.0021987686895338612
プログラム,情報,0.0021970593206016562
プログラミング,動画,0.002186588921282799
exception,無難,0.002178649237472767
mamp,ディレクトリ,0.002178649237472767
ライブラリ,簡素,0.002173913043478261
プログラム,記述,0.002165982672138623
プログラム,プロトコル,0.0021561291140845965
ライブラリ,単体テスト,0.0021321961620469083
exception,重,0.002127659574468085
exception,符,0.002127659574468085
テスト,自動的,0.0021216407355021216
テスト,自動,0.0021159542953872196
exception,馴染み,0.0021141649048625794
exception,exception,0.0021141649048625794
テスト,プロジェクト,0.002109704641350211
テスト,開始,0.002105263157894737
引数,経由,0.002105263157894737
exception,相性,0.002105263157894737
exception,null,0.0020964360587002098
プログラム,参照,0.002095742333995147
crud,エントリ,0.002089104863981107
テスト,想定,0.002074688796680498
crud,フィド,0.00206548812344329
ビルド,内部,0.0020572283523471106
ビルド,画面,0.002052238805970149
ビルド,具体,0.0020472734040573237
プログラム,仕様,0.002043634355150511
引数,数値,0.0020435967302452314
テスト,段階,0.002028397565922921
プログラム,互換,0.0020173492031470646
プログラミング,代表,0.002
引数,普段,0.002
プログラミング,ヘッダフィルド,0.001998001998001998
issue,量,0.0019940179461615153
exception,特別,0.0019880715705765406
プログラム,問題,0.0019595412368163217
crud,属性,0.001954397394136808
引数,文法,0.001941747572815534
テスト,手軽,0.001937984496124031
ライブラリ,一部,0.001936108422071636
プログラミング,仕事,0.0019342359767891683
テスト,低,0.0019305019305019305
