word1,word2,jaccard_coef
初心者,覚書,0.14285714285714285
アイコン,歯車,0.09090909090909091
アイコン,タブ,0.09090909090909091
アイコン,全般,0.05555555555555555
email,keyspace,0.05263157894736842
コンパイル,太刀打ち,0.05263157894736842
helm,チャト,0.047058823529411764
helm,kubernetes,0.032520325203252036
テキストエディタ,下部,0.03225806451612903
framework,ナビゲタ,0.03225806451612903
framework,ドラッグ,0.03225806451612903
kubernetes,チャト,0.030864197530864196
helm,パッケジマネジャ,0.02631578947368421
framework,viewdidload,0.02564102564102564
研修,経歴,0.02564102564102564
debug,transactioncleanupattempt,0.025
framework,viewcontroller,0.023809523809523808
helm,helm,0.022222222222222223
debug,warn,0.022222222222222223
apollo,awsappsync,0.02127659574468085
apollo,オフラインユザ,0.02127659574468085
テキストエディタ,マッピングテンプレト,0.02127659574468085
哲学,哲学,0.02
helm,メカニズム,0.019417475728155338
apollo,apollographos,0.018518518518518517
ビルド,担当,0.01818181818181818
lambda,アキテクチャ,0.017873941674506115
哲学,適合,0.017777777777777778
用語,過言,0.017699115044247787
apollo,oss,0.017241379310344827
ビルド,プラットフォムプロジェクト,0.01694915254237288
framework,編集,0.01652892561983471
物理,配置,0.016286644951140065
プログラミング,世代,0.016260162601626018
framework,xcode,0.015625
哲学,理論,0.015503875968992248
kubernetes,パッケジマネジャ,0.015151515151515152
プログラミング,言語,0.014939309056956116
oracle,高価,0.014925373134328358
プログラム,備え付け,0.014563106796116505
研修,苦労,0.014084507042253521
framework,ソスコド,0.013888888888888888
コンパイル,ミドル,0.0136986301369863
lambda,関数,0.013620071684587814
nosql,デタベス,0.013473721781029714
ssd,仮想,0.013333333333333334
プログラム,指示,0.013215859030837005
apollo,有償,0.01282051282051282
kubernetes,リリス,0.012195121951219513
歴史,追求,0.011904761904761904
framework,セクション,0.011904761904761904
バイナリ,リソス,0.01179245283018868
歴史,誕生,0.011494252873563218
ssd,マシン,0.011494252873563218
helm,簡素,0.011363636363636364
バイナリ,添付,0.011278195488721804
哲学,時代,0.011049723756906077
物理,資源,0.01098901098901099
email,insert,0.01098901098901099
備忘録,機会,0.010752688172043012
ssd,リアルタイムマルチモデル,0.010638297872340425
apollo,graphql,0.01020408163265306
用語,用語,0.01
ssd,ディスクストレジ,0.01
備忘録,最高,0.00980392156862745
ssd,社,0.00980392156862745
