word1,word2,jaccard_coef
nosql,redis,0.1111111111111111
学生,輪講,0.0625
備忘録,番,0.05263157894736842
学生,求職,0.05
学生,支給,0.05
webserver,リソスオナ,0.045454545454545456
大学生,苦悩,0.04
actor,主体,0.031578947368421054
大学生,短期,0.030303030303030304
paper,typewriter,0.02857142857142857
paper,ribbon,0.02857142857142857
paper,インクリボン,0.02857142857142857
paper,椅子,0.02857142857142857
paper,table,0.02631578947368421
プログラミング,総,0.02631578947368421
actor,クレムトクン,0.024096385542168676
プログラミング,怠惰,0.022727272727272728
exception,implementation,0.022222222222222223
大学生,病,0.022222222222222223
大学生,症状,0.022222222222222223
actor,委任,0.021052631578947368
actor,代理,0.02040816326530612
大学生,悩み,0.0196078431372549
プログラミング,生産,0.017543859649122806
大学生,長期,0.015873015873015872
actor,clientid,0.015151515151515152
syslog,ログ,0.014925373134328358
actor,権限,0.0136986301369863
ビルド,安心,0.013422818791946308
actor,mayact,0.0125
oracle,最低,0.010869565217391304
ポエム,説得,0.010309278350515464
actor,scope,0.010101010101010102
ライブラリ,量子,0.009933774834437087
ポエム,周年,0.009900990099009901
プログラミング,推定,0.009523809523809525
actor,クレム,0.00847457627118644
ビルド,ビルド,0.008403361344537815
exception,ただ,0.007662835249042145
ライブラリ,整備,0.007575757575757576
ライブラリ,弦,0.0072992700729927005
ライブラリ,昨年,0.007194244604316547
コンパイル,ミス,0.007142857142857143
プログラミング,論理,0.006622516556291391
ライブラリ,設置,0.006535947712418301
コンパイル,解答,0.006369426751592357
コンパイル,黒,0.006369426751592357
コンパイル,後者,0.006097560975609756
ライブラリ,大変,0.0056179775280898875
プログラミング,浪費,0.00558659217877095
actor,json,0.0055248618784530384
actor,oauth,0.005405405405405406
ビルド,レイアウト,0.005089058524173028
コンパイル,冗長,0.004987531172069825
コンパイル,定数,0.004909983633387889
ライブラリ,本体,0.004878048780487805
ポエム,記念,0.004597701149425287
ライブラリ,履歴,0.004484304932735426
ライブラリ,皆様,0.004366812227074236
ライブラリ,次元,0.004149377593360996
ライブラリ,親,0.003968253968253968
コンパイル,親,0.0036363636363636364
rfc,発行,0.0035870987606804712
コンパイル,コンパイル,0.0035335689045936395
rfc,訳,0.003412082019952556
ライブラリ,家族,0.003389830508474576
nosql,ドライバ,0.0033003300330033004
コンパイル,変数,0.0032552083333333335
コンパイル,ロカル,0.0032258064516129032
rfc,日本語,0.003216187100903967
ntp,陰,0.0029455081001472753
ntp,恋,0.0029455081001472753
ntp,狂騒,0.0029455081001472753
ntp,曲,0.0029455081001472753
ntp,場面,0.002936857562408223
大学生,毛,0.0029154518950437317
ntp,ウィジャボド,0.0029069767441860465
exception,感想,0.002890173410404624
ntp,背,0.0028653295128939827
コンパイル,統一,0.0028089887640449437
ライブラリ,便利,0.0028089887640449437
コンパイル,正規,0.002793296089385475
ntp,映画,0.002699055330634278
performance,sedhardwareandosplatforms,0.0026666666666666666
ポエム,開催,0.0026490066225165563
ライブラリ,配列,0.002577319587628866
performance,対称,0.002544529262086514
コンパイル,チェック,0.0025380710659898475
nat,somestatisticsasofmarch,0.002421307506053269
nat,packetrate,0.002421307506053269
nat,統計,0.002421307506053269
nat,パケットレト,0.002421307506053269
コンパイル,魔術,0.0024154589371980675
nat,カウンタ,0.0023391812865497076
ntp,ロンドン,0.002317497103128621
ntp,pps,0.00228310502283105
oracle,調整,0.002277904328018223
分析,待ち,0.0022624434389140274
分析,行列,0.0022471910112359553
nat,ロカル,0.0020964360587002098
ライブラリ,自動,0.0020920502092050207
ビルド,程度,0.002028397565922921
ntp,占い,0.001990049751243781
actor,スコプ,0.00196078431372549
引数,端,0.001953125
ライブラリ,調整,0.001949317738791423
プログラミング,国内,0.0019267822736030828
paper,アイテム,0.0018832391713747645
プログラム,会話,0.0018701576275714667
哲学,間接,0.0018656716417910447
大学生,男性,0.001851851851851852
コンパイル,疑問,0.0018450184501845018
テスト,現状,0.0018105009052504525
引数,省略,0.0016913319238900633
ライブラリ,乱数,0.0016501650165016502
コンパイル,違反,0.0016474464579901153
分析,本紙,0.0016339869281045752
rfc,rfc,0.0015391973564068003
分析,実施,0.0015313935681470138
paper,紙,0.0014970059880239522
テスト,ビルド,0.0014858841010401188
引数,無理,0.0014858841010401188
ライブラリ,意見,0.0014461315979754157
読書,読者,0.001379310344827586
読書,限界,0.0013531799729364006
プログラム,準拠,0.001339200306102927
分析,概説,0.001326259946949602
哲学,擁護,0.001287001287001287
nat,nat,0.001272264631043257
nat,アンチスプフィング,0.0012658227848101266
nat,レトリミッタ,0.0012658227848101266
rfc,文書,0.001256871147992792
nat,暴露,0.0012515644555694619
nat,イグレスフィルタリング,0.0012515644555694619
分析,判明,0.0012307692307692308
promise,レスポンス,0.0012292395104895105
promise,リクエスト,0.0012269553530920702
分析,序章,0.0012224938875305623
promise,接続,0.0012181586854714275
promise,フレム,0.0012150623547908437
ライブラリ,理論,0.0012121212121212121
分析,透明,0.0011985617259288853
promise,ヘッダフィルド,0.001196200866049427
promise,リム,0.0011938028368292596
promise,サバ,0.0011886328152607604
promise,スト,0.001188003801612165
nat,vicecanalsohappenatthenat,0.001184834123222749
コンパイル,理論,0.0011792452830188679
プログラミング,実践,0.0011695906432748538
promise,プッシュ,0.0011650652129923168
プログラム,ホッチキス,0.0011570726063060456
promise,クライアント,0.0011560305639564587
nat,ファイアウォル,0.0011542012927054479
promise,quic,0.001153554596091098
promise,章,0.0011418814944509996
promise,送信,0.0011190050947643727
nat,tstotheinnocentclienthost,0.0011086474501108647
ntp,ntp,0.0011025358324145535
promise,pseudo,0.0010985630794920244
performance,プラットフォム,0.0010964912280701754
promise,オリジン,0.0010909785168147063
nat,ブロック,0.0010887316276537834
ライブラリ,連絡,0.001088139281828074
アイコン,クリップ,0.0010845986984815619
actor,スペス,0.0010834236186348862
promise,不正,0.0010828792459695235
promise,エンド,0.0010817624261579561
promise,ポイント,0.0010747060912472198
promise,フィルド,0.0010738752082947603
引数,引数,0.001053740779768177
プログラム,著,0.001034928848641656
コンパイル,型,0.001027221366204417
引数,許容,0.0010209290454313426
nat,パケットフラッディング,0.0010183299389002036
rfc,エディタ,0.0010152622205948439
プログラム,赤ちゃん,0.0010141987829614604
アイコン,取り外し,0.0010030090270812437
アイコン,視覚,0.00099601593625498
アイコン,カスタム,0.0009940357852882703
promise,tcp,0.0009935419771485345
ntp,同期,0.0009925558312655087
引数,昔,0.0009900990099009901
promise,uri,0.0009876738305941845
読書,警告,0.0009861932938856016
promise,利用,0.0009819140778424074
promise,キシ,0.0009810846872302017
テスト,例示,0.0009810333551340746
promise,プロ,0.00098102052294934
哲学,機械,0.000975609756097561
アイコン,ルック,0.0009737098344693282
promise,デタ,0.0009736986803519062
promise,スキム,0.0009713767646677892
promise,pushpromise,0.0009712374953172478
promise,メッセジ,0.0009692082537774892
rfc,公開,0.0009682956529393641
actor,区切り,0.000968054211035818
引数,数値,0.0009615384615384616
promise,受信,0.0009528293426598511
promise,キャンセル,0.0009519485654867386
rfc,リム,0.000951708354262105
promise,確立,0.000949693384707223
プログラム,日付,0.0009486847779215179
rfc,スト,0.0009477567875558029
プログラム,出力,0.0009476427386875149
テスト,ネット,0.0009395552771688068
promise,制御,0.0009378282398839594
promise,説明,0.0009340794646875505
promise,処理,0.0009319085487077535
promise,リクエストストリム,0.0009303912295120098
バイナリ,移動,0.0009272137227630969
