word1,word2,jaccard_coef
assembly,命令,0.028037383177570093
用語,雰囲気,0.02631578947368421
テスト,ネット,0.024307900067521943
分析,速報,0.021739130434782608
プログラム,文法,0.02
備忘録,定型,0.02
初心者,正当,0.017241379310344827
assembly,マシン,0.016129032258064516
初心者,速報,0.015873015873015872
promise,非同期,0.014084507042253521
分析,初心者,0.013888888888888888
プログラミング,主要,0.013157894736842105
promise,signer,0.012345679012345678
プログラミング,ペア,0.012096774193548387
assembly,let,0.011764705882352941
テスト,テスト,0.011592958351223702
プログラミング,主流,0.011560693641618497
物理,用途,0.011235955056179775
初心者,筆者,0.010526315789473684
ハンズオン,日本,0.009174311926605505
テスト,実行,0.00914419695193435
promise,sign,0.00909090909090909
promise,メッセジハッシュ,0.00909090909090909
promise,thsignedmessagehashsigner,0.00909090909090909
promise,signature,0.00909090909090909
assembly,inlineassembly,0.008928571428571428
資格,資格,0.008771929824561403
assembly,mload,0.008771929824561403
プログラム,破壊,0.008771929824561403
プログラム,追跡,0.008583690987124463
分析,市場,0.008403361344537815
ハンズオン,中心,0.008333333333333333
テスト,起動,0.008288928359976317
assembly,低,0.00819672131147541
promise,verify,0.0078125
promise,seealso,0.007751937984496124
プログラミング,言語,0.007611798287345386
プログラム,指示,0.007575757575757576
テスト,デプロイ,0.007556675062972292
promise,メッセジ,0.0075046904315197
promise,後述,0.007407407407407408
初心者,市場,0.007352941176470588
assembly,ロド,0.007246376811594203
テスト,環境,0.007010515773660491
プログラム,改ざん,0.006993006993006993
solidity,スマトコントラクト,0.006852996506315507
ビルド,完了,0.006711409395973154
assembly,レベル,0.006622516556291391
分析,向け,0.006578947368421052
プログラミング,入門,0.006493506493506494
プログラム,リクエスト,0.006329113924050633
テスト,確認,0.006230529595015576
assembly,assembly,0.006211180124223602
プログラミング,做,0.006134969325153374
プログラミング,指向,0.006134969325153374
物理,資格,0.006097560975609756
プログラミング,敵,0.006097560975609756
プログラミング,味方,0.006024096385542169
プログラミング,前書き,0.005952380952380952
ライブラリ,レベルアップ,0.005917159763313609
初心者,向け,0.005917159763313609
プログラミング,初学,0.0058823529411764705
プログラミング,文法,0.005780346820809248
備忘録,本,0.005747126436781609
プログラム,中央,0.005649717514124294
プログラミング,綺麗,0.00558659217877095
