word1,word2,jaccard_coef
テキストエディタ,権限,0.07692307692307693
ライブラリ,深層,0.047619047619047616
文系,新卒,0.04
文系,興奮,0.04
文系,皆さん,0.04
kubernetes,コンテナ,0.037037037037037035
kubernetes,pod,0.037037037037037035
solidity,デプロイ,0.022727272727272728
プログラミング,絶望,0.02127659574468085
プログラミング,芸,0.020833333333333332
学生,無線,0.02040816326530612
学生,家庭,0.019230769230769232
用語,製造元,0.01904761904761905
学生,調子,0.018867924528301886
プログラミング,体験,0.016666666666666666
引数,引数,0.01639344262295082
テスト,全体,0.015832805573147563
rsync,直下,0.015384615384615385
テスト,テスト,0.014712861888941622
学生,時代,0.014388489208633094
引数,構造,0.013806706114398421
ライブラリ,学習,0.013157894736842105
歴史,醸成,0.01282051282051282
mount,パテ,0.012195121951219513
mount,xxxxssd,0.011627906976744186
mount,ション,0.011494252873563218
tool,westerndigitalwdblacksn,0.008547008547008548
tool,westerndigitalwdbluesn,0.008547008547008548
学生,昔,0.008130081300813009
備忘録,筆者,0.007751937984496124
テスト,内容,0.007727272727272728
分析,白書,0.007159904534606206
用語,読み込み,0.007067137809187279
テスト,一部,0.006928406466512702
ビルド,番号,0.00684931506849315
rsync,ディレクトリ,0.006802721088435374
mount,mount,0.006711409395973154
物理,論理,0.00625
kubernetes,パッケジ,0.006211180124223602
ビルド,展開,0.0058823529411764705
ssd,ssd,0.005668865621658698
分析,教訓,0.005649717514124294
ssd,デタ,0.005604767891589969
プログラム,方程式,0.0055309734513274336
ビルド,今度,0.0055248618784530384
バイナリ,ビルド,0.005405405405405406
ビルド,プロジェクト,0.005405405405405406
pandas,読み込み,0.005291005291005291
備忘録,途中,0.005235602094240838
ssd,メモリ,0.005217658192234897
備忘録,故障,0.005076142131979695
分析,発覚,0.005012531328320802
用語,用語,0.004975124378109453
テスト,外部,0.004878048780487805
mount,パテション,0.0047169811320754715
テスト,範囲,0.0046210720887245845
文系,機械,0.004524886877828055
ssd,性能,0.004380973359276528
テスト,製品,0.004365808823529412
テキストエディタ,無効,0.00423728813559322
テスト,依存,0.004224757076468103
歴史,証明,0.004219409282700422
テスト,条件,0.004194128220491312
ビルド,活動,0.004166666666666667
テスト,健康,0.0041592394533571005
テスト,検出,0.004153686396677051
ライブラリ,画像,0.004132231404958678
分析,言及,0.00411522633744856
テスト,公称,0.004071661237785016
ssd,フラッシュ,0.003975196677021221
テスト,所要,0.00397456279809221
ssd,容量,0.003964002571244911
mount,参照,0.00390625
アイコン,真っ黒,0.0038461538461538464
アイコン,ロゴ,0.0038461538461538464
mount,自動的,0.0038461538461538464
分析,追随,0.0037593984962406013
mount,毎回,0.0037174721189591076
分析,現状,0.0037174721189591076
引数,節,0.003703703703703704
テスト,取得,0.0036776997659645604
分析,重視,0.003676470588235294
用語,鍵,0.0036496350364963502
ssd,接続,0.003630614276512268
分析,次回,0.003436426116838488
テスト,個性,0.0034158838599487617
テスト,ドライブ,0.003411638561263281
用語,速度,0.0033370411568409346
ssd,の,0.0033235581622678397
ssd,実行,0.0033182439810446637
分析,選定,0.003215434083601286
テスト,メカ,0.0031894013738959764
ssd,選択,0.0031644796324805124
ビルド,ビルド,0.003076923076923077
pandas,ん,0.003067484662576687
ssd,寿命,0.003059923501912452
用語,画像,0.00303951367781155
ssd,usb,0.0030109868990038117
プログラム,稼働,0.003010752688172043
分析,報告,0.0029585798816568047
ssd,必要,0.0029492703570919536
テスト,活用,0.00293470286133529
ssd,表示,0.002899545147688664
テスト,定義,0.002888086642599278
アイコン,知恵,0.002881844380403458
アイコン,内包,0.002881844380403458
アイコン,肝心,0.002881844380403458
ssd,使用,0.0028770622925769406
ssd,消去,0.0028704378538991983
mount,swap,0.0028694404591104736
アイコン,ファン,0.0028653295128939827
テスト,引用,0.002863278453829635
ssd,作成,0.0028573081149864074
ssd,書き込み,0.0028382558069015708
ssd,ディスク,0.002793139421405095
アイコン,一瞬,0.0027624309392265192
アイコン,結末,0.0027548209366391185
テスト,所定,0.0027522935779816515
テスト,能動,0.0027522935779816515
物理,隣接,0.0027417746759720836
mount,ボリュム,0.0027397260273972603
分析,設計,0.002717391304347826
アイコン,解凍,0.002717391304347826
ssd,確認,0.002691897959884993
テスト,最近,0.0026507620941020544
テスト,定期,0.0026362038664323375
アイコン,共存,0.002631578947368421
テスト,風,0.002617801047120419
テスト,有無,0.0026136957658128594
分析,意識,0.002531645569620253
ssd,状態,0.0025309269815739052
アイコン,挿入,0.0025252525252525255
ssd,記事,0.0024913737645476343
ビルド,修正,0.0024752475247524753
アイコン,フル,0.0024390243902439024
テスト,事前,0.0024291497975708503
分析,記述,0.0024154589371980675
rsync,コピ,0.002380952380952381
用語,連続,0.002336448598130841
テスト,履歴,0.0023346303501945525
ssd,windows,0.002323482535476314
テスト,結果,0.00232258064516129
テスト,状況,0.0023062730627306273
テスト,調整,0.0023006134969325155
ssd,起動,0.002299843563940321
分析,運用,0.00228310502283105
プログラミング,ログデタ,0.0022727272727272726
テスト,マスタトレス,0.002271006813020439
ビルド,判断,0.002257336343115124
ssd,機能,0.0022507551108467737
用語,統一,0.002250562640660165
ssd,領域,0.0022314119744357803
テスト,同期,0.002161383285302594
用語,運用,0.0021551724137931034
テスト,把握,0.002130681818181818
プログラム,ベタ,0.0021231422505307855
ssd,画面,0.0020882569931600205
ssd,換装,0.002086381273455887
ssd,対応,0.0020859862955551513
物理,近接,0.002079002079002079
引数,詳細,0.002044989775051125
ssd,向け,0.0020320895615423933
ssd,設定,0.0020032098215854643
物理,読み書き,0.0019937694704049843
ssd,搭載,0.001984679244369683
ssd,処理,0.0019627208060906853
用語,難読,0.0019305019305019305
ssd,キャッシュ,0.0019215652022010656
プログラム,終了,0.0019193857965451055
ssd,可能,0.0019063214106778438
テスト,種類,0.0018987341772151898
プログラム,公開,0.0018593120545398203
アイコン,入手,0.0018552875695732839
テスト,プリコンディショニング,0.001851851851851852
アイコン,回転,0.0018484288354898336
分析,廃棄,0.001838235294117647
ssd,セル,0.001802704056084126
ssd,回復,0.0017997835225413447
プログラム,全体,0.001788109074653554
テスト,残高,0.001771479185119575
物理,破壊,0.0017672304973491543
ssd,ケブル,0.0017452006980802793
ssd,図,0.0017302463541237537
solidity,十分,0.0017271157167530224
テスト,議論,0.001725625539257981
学生,資料,0.0017211703958691911
プログラム,梱,0.0017201834862385322
rsync,マウント,0.0017133066818960593
用語,章,0.0017123287671232876
テスト,意図,0.001694915254237288
テスト,紹介,0.0016778523489932886
ssd,説明,0.0016582081302447113
テスト,前者,0.0016570008285004142
ssd,ドライブ,0.0016455605637833584
ssd,ブト,0.00163100462117976
物理,符号,0.0016263940520446097
テスト,実,0.0016224986479177934
tool,スペック,0.0016129032258064516
プログラム,開始,0.001610305958132045
プログラム,枯渇,0.0015991471215351812
分析,資料,0.0015873015873015873
プログラム,直後,0.0015856236786469344
テスト,番目,0.0015735641227380016
プログラム,メイン,0.0015552099533437014
ssd,変化,0.0015542833458539493
テスト,分類,0.0015517623586787852
引数,指定,0.0015503875968992248
solidity,移行,0.0015384615384615385
テスト,程度,0.001536688436419516
備忘録,移行,0.0015220700152207
kubernetes,残り,0.001519756838905775
ssd,現在,0.0015087886941433852
ssd,電源,0.0015081452306465082
学生,移行,0.0015015015015015015
ssd,使い,0.0014955006059355904
ssd,バックアップ,0.0014913667862331418
物理,連続,0.0014691478942213516
物理,物理,0.0014641288433382138
テスト,想定,0.0014587892049598833
ssd,エラ,0.0014525614681499327
ssd,パティション,0.0014474004431863305
ssd,作業,0.0014433574715337833
ssd,付け,0.0014253886879237237
ssd,ツル,0.0014125744811999178
ssd,かた,0.0014084143063882572
ssd,内部,0.0014002214895810791
プログラム,同,0.0013850415512465374
用語,稼働,0.0013774104683195593
プログラム,正常,0.0013751375137513752
ssd,解除,0.0013580582236598433
kubernetes,側,0.0013477088948787063
ssd,コマンド,0.0013474760736620253
ssd,コンシュマ,0.0013366005791935842
分析,機関,0.0013089005235602095
テスト,残,0.0013080444735120995
ssd,仕組み,0.001291652694462039
用語,通知,0.0012903225806451613
テスト,完了,0.0012861736334405145
ssd,コントロラ,0.0012857436741411231
ssd,記憶,0.0012817258883248731
mount,自動,0.0012594458438287153
アイコン,経由,0.0012515644555694619
ssd,環境,0.0012507366117064137
プログラム,動作,0.0012395962457942271
ssd,手順,0.0012217235303951955
テスト,可能,0.0012087513598452798
ssd,製品,0.0012053909185335266
ssd,入り,0.00119336385923495
アイコン,各種,0.001177856301531213
ssd,tb,0.0011775698542117322
ssd,完了,0.0011751932043175576
プログラム,プログラム,0.0011737089201877935
テスト,中身,0.0011527377521613833
ssd,システム,0.001152486810428725
ssd,パスワド,0.0011482775836245632
ssd,ファイル,0.0011393558841401661
分析,関連,0.0011376564277588168
プログラム,流用,0.001129305477131564
ビルド,開発,0.0011198208286674132
テスト,表,0.0011168192986374804
プログラム,メル,0.0011129660545353367
プログラム,達成,0.00110803324099723
プログラム,結果,0.0011071744906997344
テスト,仕様,0.0010962726729120988
アイコン,画面,0.0010847947929849937
アイコン,スティック,0.001083815028901734
ssd,方式,0.001073143919069244
物理,解放,0.0010587612493382743
ssd,準備,0.0010571369636963696
ssd,管理,0.0010514168483138865
プログラム,記録,0.0010441527446300716
物理,訂正,0.0010425716768027802
プログラム,多数,0.0010384215991692627
プログラム,簡単,0.0010362694300518134
ssd,キ,0.0010353306587291317
ssd,回数,0.0010317993088187762
ssd,クロン,0.0010300138204386033
ssd,値,0.0010291323622545914
テスト,ログ,0.0010162601626016261
テスト,実行,0.0010041600918089227
テスト,異常,0.0010035122930255895
物理,規格,0.0010028078620136383
プログラム,水量,0.0010025062656641604
プログラム,開放,0.001002004008016032
プログラミング,未,0.001002004008016032
ssd,ホスト,0.0009930233742425014
ssd,メカ,0.0009907614709591087
ssd,特性,0.0009890544639324806
テスト,情報,0.0009832841691248771
ssd,まとめ,0.0009801898472967395
アイコン,起動,0.0009783865516321266
ssd,用意,0.0009779122225988994
ssd,価格,0.0009753433208489388
ビルド,動作,0.0009739469198928658
プログラム,相当,0.000970873786407767
プログラム,確認,0.0009687910871219985
テスト,具体,0.0009652509652509653
ビルド,取得,0.0009551098376313276
ssd,発生,0.000954087750286871
ssd,動作,0.0009536161122978334
ssd,完全,0.0009517887282833538
ssd,温度,0.0009497150854743577
ssd,ブロック,0.0009472806729481901
ビルド,問題,0.000944733112895607
