word1,word2,jaccard_coef
debug,コンソルデバッグ,0.1
debug,多用,0.1
大学生,経営,0.05263157894736842
学生,教育,0.043478260869565216
debug,log,0.043478260869565216
大学生,経済学部,0.041666666666666664
ビルド,定期,0.03076923076923077
ハンズオン,手軽,0.024691358024691357
アイコン,ビュメニュ,0.020942408376963352
ハンズオン,ハンズオン,0.0196078431372549
ビルド,ヨシッ,0.017857142857142856
分析,合致,0.016666666666666666
ビルド,諸々,0.016042780748663103
アイコン,中央,0.015945330296127564
備忘録,知見,0.014925373134328358
テスト,テスト,0.014349332013854528
アイコン,十字,0.0136986301369863
アイコン,関口,0.013513513513513514
アイコン,メンディ,0.013513513513513514
アイコン,活躍,0.013157894736842105
アイコン,チャレンジ,0.0125
アイコン,爆発,0.012345679012345678
大学生,学,0.011363636363636364
分析,記録,0.010638297872340425
ビルド,ビルド,0.010101010101010102
ビルド,通り,0.00997506234413965
テスト,区別,0.009431420102398275
アイコン,丸,0.009009009009009009
ビルド,挙動,0.008902077151335312
バイナリ,時刻,0.008226691042047532
アイコン,アイコン,0.007751937984496124
マネジメント,下旬,0.007692307692307693
学生,習得,0.007518796992481203
資格,資格,0.007407407407407408
アイコン,ン,0.007263922518159807
ビルド,想定,0.007042253521126761
バイナリ,完結,0.007042253521126761
ビルド,最新,0.007042253521126761
分析,重宝,0.007042253521126761
バイナリ,仮説,0.007009345794392523
テスト,重要,0.006970260223048327
分析,無,0.006896551724137931
バイナリ,攻撃,0.006816632583503749
ハンズオン,ルル,0.006644518272425249
マネジメント,投票,0.006622516556291391
マネジメント,専任,0.006622516556291391
テスト,メカニクス,0.006573050492978787
分析,頻度,0.00641025641025641
用語,留意,0.006369426751592357
ビルド,家庭,0.006329113924050633
ビルド,ロカルサバ,0.006329113924050633
マネジメント,兼任,0.006289308176100629
引数,最,0.00625
マネジメント,リダ,0.006172839506172839
ssd,モド,0.00613591041570793
マネジメント,中旬,0.006097560975609756
分析,想定,0.0060790273556231
テスト,メタメカニクス,0.005980861244019139
引数,書式,0.005970149253731343
用語,語,0.005952380952380952
歴史,洗練,0.005917159763313609
ビルド,微,0.005917159763313609
ハンズオン,章,0.005865102639296188
プログラム,作成,0.005863910822108686
ssd,パフォマンスモド,0.005781460782424359
マネジメント,案,0.0057306590257879654
物理,良書,0.005659709939865582
