word1,word2,jaccard_coef
bug,阻害,0.14285714285714285
issue,同意,0.058823529411764705
学生,通用,0.041666666666666664
tool,名称,0.020833333333333332
issue,視,0.02040816326530612
初心者,記事,0.01988472622478386
初心者,初心者,0.01818181818181818
学生,視,0.01818181818181818
初心者,大丈夫,0.013468013468013467
email,ドライバ,0.013071895424836602
初心者,気持ち,0.013062409288824383
初心者,表記,0.012016021361815754
ライブラリ,リファクタリング,0.011494252873563218
備忘録,勢い,0.011235955056179775
minio,ロカル,0.01020408163265306
email,ビジネスメル,0.010101010101010102
email,題材,0.010101010101010102
email,誤字,0.010101010101010102
email,アラム,0.010101010101010102
ライブラリ,組み込み,0.01
email,本文,0.009708737864077669
email,スイッチング,0.009523809523809525
分析,自発,0.008888888888888889
歴史,立候補,0.008403361344537815
学生,時代,0.008368200836820083
備忘録,現,0.008
歴史,適宜,0.007936507936507936
研修,認定,0.007869589657110737
初心者,本,0.007514088916718848
備忘録,年明け,0.007462686567164179
研修,研修,0.0071790540540540545
email,文章,0.007042253521126761
学生,転職,0.006896551724137931
プログラミング,ポット,0.006872852233676976
プログラミング,防御,0.006872852233676976
分析,施策,0.006839945280437756
プログラミング,和田,0.006666666666666667
哲学,文化,0.006666666666666667
初心者,小,0.006659267480577136
研修,試験,0.006325110689437065
プログラミング,久々,0.00625
初心者,目的,0.006018054162487462
分析,分析,0.005952380952380952
email,タイマ,0.0058823529411764705
歴史,経緯,0.005847953216374269
分析,高度,0.005813953488372093
初心者,次回,0.005802707930367505
プログラミング,卓,0.005780346820809248
email,交換,0.005681818181818182
tool,確定,0.0056179775280898875
備忘録,某,0.00558659217877095
ビルド,付箋,0.005581395348837209
ポエム,駄文,0.005555555555555556
ポエム,推敲,0.005555555555555556
ポエム,題名,0.005555555555555556
ポエム,主観,0.005494505494505495
bug,要因,0.00546448087431694
分析,短時間,0.005449591280653951
資格,資格,0.0054107230693556324
備忘録,談,0.005405405405405406
分析,変容,0.005333333333333333
分析,発達,0.005333333333333333
歴史,背後,0.005263157894736842
物理,製品,0.005249343832020997
初心者,幸い,0.005240174672489083
備忘録,将来,0.0051813471502590676
分析,文脈,0.005128205128205128
分析,生成,0.005119453924914676
tool,いずれ,0.00510204081632653
分析,助言,0.005076142131979695
分析,手助け,0.004962779156327543
分析,還元,0.0049261083743842365
ビルド,投票,0.004901960784313725
email,ナビゲタ,0.004842615012106538
テスト,品質,0.004814305364511692
プログラミング,最近,0.004608294930875576
初心者,文面,0.004531722054380665
プログラミング,契約,0.004464285714285714
マネジメント,派,0.004347826086956522
ビルド,リファインメントプロダクトバックログ,0.004329004329004329
ビルド,ビルドタイム,0.004329004329004329
ビルド,回分,0.004329004329004329
ビルド,双六,0.004329004329004329
ビルド,ランチメニュ,0.004329004329004329
ビルド,レトロスペクティブスプリント,0.004329004329004329
ビルド,手軽,0.004329004329004329
備忘録,指摘,0.004329004329004329
ビルド,代わり,0.004267425320056899
ビルド,小規模,0.004189944134078212
研修,費用,0.004135079255685734
研修,費,0.004127115146512587
物理,目安,0.004081632653061225
プログラム,平均,0.003989361702127659
email,mobtimer,0.00398406374501992
ビルド,メイン,0.0038022813688212928
研修,講師,0.003667889296432144
分析,解説,0.0036496350364963502
備忘録,本来,0.0036101083032490976
minio,便利,0.0035587188612099642
研修,資格,0.0035346097201767305
備忘録,編,0.0035335689045936395
ビルド,レトロスペクティブ,0.0035252643948296123
プログラミング,省力,0.003472222222222222
ビルド,出し,0.0034602076124567475
プログラミング,未熟,0.0034602076124567475
プログラミング,経歴,0.0034482758620689655
ビルド,休憩,0.0034403669724770644
ビルド,レビュ,0.0034383954154727794
プログラミング,レビュレトロスペクティブスクラムチムスクラム,0.003389830508474576
プログラミング,要点,0.003355704697986577
ビルド,終了,0.0033463469046291134
備忘録,現実,0.0033444816053511705
マネジメント,批判,0.0033333333333333335
プログラミング,多岐,0.0033333333333333335
プログラミング,等々,0.0033112582781456954
備忘録,気軽,0.0033003300330033004
プログラミング,殆ど,0.003289473684210526
プログラミング,泊,0.003289473684210526
email,モブ,0.0032733224222585926
備忘録,幸い,0.0032733224222585926
初心者,過去,0.0032637075718015664
ビルド,見直し,0.0031779661016949155
テスト,設計,0.0031510240828269186
ビルド,全員,0.0031201248049922
研修,英語,0.0031036623215394167
プログラミング,氏,0.00303951367781155
プログラミング,動機,0.0030211480362537764
初心者,飲酒,0.0030075187969924814
初心者,居酒屋,0.0030075187969924814
初心者,蔵,0.0030075187969924814
初心者,経験,0.0029947591714499623
ポエム,点数,0.0029940119760479044
ポエム,読み物,0.0029940119760479044
ポエム,定価,0.0029940119760479044
哲学,構造,0.0029411764705882353
プログラミング,半,0.0029411764705882353
ポエム,原文,0.0029411764705882353
ポエム,英文,0.0029411764705882353
ポエム,真剣,0.002932551319648094
分析,職業,0.0029069767441860465
分析,柄,0.0029069767441860465
ポエム,試し,0.0029069767441860465
マネジメント,リンスタトアップ,0.002904865649963689
プログラミング,適正,0.002898550724637681
分析,表出,0.002890173410404624
ビルド,ビルド,0.002881844380403458
分析,裏打ち,0.002881844380403458
ビルド,リファインメント,0.0028708133971291866
ポエム,外注,0.002857142857142857
プログラミング,プロジェクトリダ,0.002849002849002849
