word1,word2,jaccard_coef
ポエム,容赦,0.125
ポエム,理念,0.09090909090909091
linebot,ヤルキッカケ,0.04
備忘録,対戦,0.037037037037037035
アイコン,隙間,0.03389830508474576
linebot,restfulapi,0.03333333333333333
kubernetes,オペレタ,0.028169014084507043
crud,必然,0.027777777777777776
kubernetes,rust,0.0273972602739726
プログラム,改修,0.025031289111389236
歴史,道筋,0.025
買い物,邁進,0.024390243902439025
ビルド,解析,0.023952095808383235
ビルド,静的,0.022099447513812154
ポエム,割愛,0.02127659574468085
文系,画期的,0.020833333333333332
ビルド,機械,0.018518518518518517
kubernetes,弊害,0.017241379310344827
kubernetes,既知,0.017241379310344827
linebot,レンタル,0.017241379310344827
kubernetes,paas,0.01639344262295082
kubernetes,スタック,0.016216216216216217
アイコン,右側,0.015873015873015872
アイコン,サイドバ,0.014285714285714285
大学生,小学生,0.013333333333333334
プログラム,マジ,0.013023255813953489
kubernetes,未知,0.01282051282051282
歴史,考古,0.012345679012345678
歴史,遺物,0.012345679012345678
歴史,記録,0.011799410029498525
大学生,筑波大学,0.011695906432748537
kubernetes,オバヘッド,0.011627906976744186
プルリクエスト,プルリクエスト,0.011583011583011582
テスト,自動,0.01115702479338843
プルリクエスト,自戒,0.011111111111111112
ビルド,ビルドエラ,0.011111111111111112
langchain,チャットボット,0.010752688172043012
買い物,部署,0.010752688172043012
物理,男児,0.010638297872340425
物理,精密,0.010638297872340425
物理,素朴,0.010638297872340425
アイコン,カド,0.010416666666666666
crud,大体,0.010309278350515464
ビルド,リリスタイミング,0.010101010101010102
大学生,枠,0.010050251256281407
ami,爆速,0.009708737864077669
ami,機密,0.009708737864077669
ami,今時,0.009708737864077669
ami,不安定,0.009708737864077669
ビルド,警告,0.009433962264150943
アイコン,カルセル,0.009259259259259259
アイコン,サイドバモダル,0.009259259259259259
大学生,視,0.00909090909090909
初心者,戦術,0.008955223880597015
ビルド,番号,0.008928571428571428
学生,通報,0.008797653958944282
大学生,志望,0.008695652173913044
ami,クラッシュ,0.008695652173913044
初心者,概略,0.008438818565400843
物理,集まり,0.008333333333333333
ライブラリ,記述,0.008156606851549755
プログラム,プログラム,0.008144796380090498
プルリクエスト,レビュ,0.008133755083596927
ビルド,制御,0.008130081300813009
kubernetes,typescript,0.008097165991902834
ビルド,製,0.008064516129032258
学生,重複,0.007849293563579277
crud,php,0.0078125
物理,魅力,0.0078125
プログラミング,理由,0.007751937984496124
初心者,創業,0.007751937984496124
初心者,解釈,0.007692307692307693
大学生,現地,0.007692307692307693
プログラミング,紹介,0.007656967840735069
用語,界隈,0.007575757575757576
初心者,歩,0.007575757575757576
ビルド,勝手,0.007575757575757576
プルリクエスト,無限,0.007547169811320755
物理,職種,0.007547169811320755
大学生,面倒,0.007462686567164179
ami,ポト,0.0072992700729927005
pandas,指定,0.007194244604316547
テスト,原則,0.007142857142857143
テスト,リリス,0.007118771075309105
学生,時代,0.007112375533428165
研修,著名,0.0070921985815602835
大学生,極端,0.006993006993006993
研修,門出,0.006993006993006993
ami,ネット,0.006896551724137931
ビルド,事情,0.006896551724137931
プルリクエスト,解消,0.00681044267877412
ライブラリ,ライブラリ,0.0067842605156037995
用語,辺,0.006779661016949152
大学生,文系,0.006756756756756757
プログラミング,目次,0.0066844919786096255
歴史,歴史,0.006622516556291391
歴史,経緯,0.006600660066006601
ami,手元,0.006557377049180328
研修,退屈,0.006535947712418301
歴史,直接的,0.006493506493506494
物理,術,0.006493506493506494
分析,求職,0.006472491909385114
アイコン,数字,0.0064516129032258064
プログラム,変更,0.006446188340807175
プログラミング,ペア,0.00641025641025641
プログラミング,大学生,0.00641025641025641
プログラミング,制作,0.006375227686703097
初心者,昔,0.006349206349206349
プログラミング,授業,0.006289308176100629
研修,都内,0.00625
ami,ssh,0.006172839506172839
学生,請求,0.0061633281972265025
文系,発展,0.006134969325153374
テスト,要件,0.006100660904931368
pandas,インストル,0.006097560975609756
ビルド,ビルド,0.006060606060606061
プルリクエスト,目次,0.006048387096774193
プログラム,本人,0.006024096385542169
アイコン,クリック,0.006006006006006006
プルリクエスト,日記,0.006006006006006006
大学生,特定,0.006006006006006006
学生,金額,0.005952380952380952
linebot,学期,0.005934718100890208
大学生,理系,0.005917159763313609
プログラミング,プログラミング,0.005847953216374269
物理,超,0.005847953216374269
テスト,バグ,0.005829596412556054
プルリクエスト,単体テスト,0.005780346820809248
テスト,テスト,0.005753739930955121
ビルド,無効,0.005714285714285714
アイコン,モダル,0.005681818181818182
学生,展,0.005614035087719298
プログラミング,興味,0.005549389567147614
ライブラリ,便利,0.005484460694698354
ami,コピ,0.00546448087431694
プログラミング,学部,0.005415162454873646
プログラミング,回生,0.005415162454873646
研修,計画,0.005405405405405406
買い物,転職,0.005405405405405406
テスト,担当,0.00539568345323741
ami,後述,0.005376344086021506
プログラミング,趣味,0.005319148936170213
ライブラリ,部品,0.005305039787798408
ライブラリ,唯一,0.005305039787798408
テスト,策定,0.00530035335689046
プログラミング,文法,0.005291005291005291
初心者,年代,0.005263157894736842
プログラミング,理系,0.005253940455341506
プログラミング,ペアプロモブプロ,0.005252100840336135
プログラミング,自己,0.005205320994794679
学生,連続,0.005194805194805195
ライブラリ,ロカルファイル,0.0051813471502590676
アイコン,視聴,0.0051813471502590676
ライブラリ,四角形,0.00516795865633075
ライブラリ,リポジトリパッケジ,0.00516795865633075
model,クライアント,0.005154639175257732
ビルド,強制,0.005128205128205128
学生,育,0.005095541401273885
プログラム,作業,0.005085529357374018
ライブラリ,層,0.005080440304826418
crud,it,0.005076142131979695
学生,掲載,0.005063291139240506
プログラミング,モブプログラミング,0.005050505050505051
ami,オフライン,0.005050505050505051
linebot,やる気,0.005050505050505051
ライブラリ,公式,0.005042016806722689
学生,技,0.005031446540880503
分析,計画,0.004975124378109453
ビルド,自動,0.00494641384995878
文系,発想,0.0048543689320388345
用語,言葉,0.004838709677419355
ライブラリ,外部,0.004830917874396135
テスト,決定,0.00482315112540193
初心者,初心者,0.004807692307692308
プログラム,ユスケス,0.004792332268370607
ライブラリ,諸,0.004784688995215311
歴史,無視,0.004784688995215311
プログラミング,学習,0.0047562425683709865
ライブラリ,指定,0.004724409448818898
ami,最小限,0.0047169811320754715
初心者,極み,0.004651162790697674
テスト,ルル,0.004634397528321318
ライブラリ,事情,0.004629629629629629
プルリクエスト,送受信,0.004608294930875576
初心者,平気,0.0045871559633027525
プログラム,直前,0.004573170731707317
プログラム,手順,0.004555808656036446
大学生,学習,0.004555808656036446
プログラミング,身,0.004552352048558422
初心者,需要,0.004545454545454545
ライブラリ,抽象,0.0045351473922902496
プルリクエスト,発行,0.004514672686230248
文系,楽しみ,0.0045045045045045045
大学生,大学生,0.004484304932735426
分析,自己,0.004481792717086834
初心者,片手,0.004405286343612335
初心者,片手間,0.004405286343612335
分析,分析,0.0043975373790677225
初心者,確立,0.0043859649122807015
ami,ディレクトリ,0.0043859649122807015
プログラム,修正,0.004383561643835616
プログラム,実行,0.004381161007667032
プルリクエスト,メソッド,0.00437636761487965
プルリクエスト,意識,0.004375303840544483
kubernetes,分担,0.004357298474945534
学生,表示,0.0043559427504667085
研修,配属,0.004347826086956522
初心者,毛,0.004347826086956522
用語,辞典,0.004310344827586207
ビルド,単純,0.004310344827586207
テスト,環境,0.004294013639808032
テスト,修正,0.004270186335403727
ライブラリ,圧縮,0.00423728813559322
初心者,社外,0.004219409282700422
ビルド,人間,0.0041841004184100415
ami,一部,0.004166666666666667
初心者,社長,0.004149377593360996
分析,転職,0.00411522633744856
備忘録,登録,0.004098360655737705
初心者,最盛,0.004098360655737705
kubernetes,調整,0.004081632653061225
テスト,報告,0.004071246819338422
アイコン,ボタン,0.004048582995951417
大学生,検証,0.00404040404040404
初心者,某,0.004032258064516129
用語,製作,0.004032258064516129
大学生,興味,0.004
crud,用語,0.00398406374501992
pandas,最新,0.003968253968253968
初心者,申し訳,0.003968253968253968
プログラム,図,0.003929273084479371
ビルド,番,0.0038910505836575876
プログラミング,僕,0.003875968992248062
ami,接続,0.003875968992248062
プログラミング,笑,0.0038510911424903724
学生,目次,0.0038363171355498722
用語,適切,0.0038314176245210726
ライブラリ,独自,0.0038240917782026767
初心者,初頭,0.003816793893129771
ビルド,書き方,0.0038022813688212928
初心者,思想,0.003787878787878788
初心者,最悪,0.0037593984962406013
プルリクエスト,平均,0.003745318352059925
ビルド,規約,0.003745318352059925
初心者,大変,0.0037313432835820895
crud,掲載,0.0037313432835820895
初心者,短期間,0.0037174721189591076
プログラミング,初学,0.0037105751391465678
初心者,前述,0.003703703703703704
引数,比較,0.0036900369003690036
プルリクエスト,悪化,0.0036900369003690036
テスト,処理,0.0036839950880065493
プログラミング,競,0.003676470588235294
プルリクエスト,厳格,0.003663003663003663
初心者,指導,0.003663003663003663
テスト,設計,0.0036598493003229277
プルリクエスト,軽微,0.0036363636363636364
大学生,読者,0.0036363636363636364
プルリクエスト,リマインド,0.0036363636363636364
テスト,動作,0.0036133694670280035
ライブラリ,図,0.003601440576230492
プルリクエスト,出戻り,0.0035971223021582736
テスト,解析,0.003586800573888092
プルリクエスト,心情,0.0035714285714285713
テスト,静的,0.0035511363636363635
初心者,歓迎,0.0035460992907801418
プログラミング,モチベション,0.0035335689045936395
プルリクエスト,忘れ,0.0035211267605633804
プログラミング,背景,0.0035161744022503515
プログラミング,本稿,0.0034965034965034965
テスト,テストケス,0.0034940600978336828
プルリクエスト,小出し,0.0034602076124567475
linebot,使い方,0.0034602076124567475
初心者,術,0.003436426116838488
初心者,生,0.0034129692832764505
テスト,モック,0.0034083162917518746
文系,比較,0.003401360544217687
物理,特定,0.003401360544217687
プルリクエスト,挙動,0.003401360544217687
テスト,運用,0.003391472868217054
プログラム,別々,0.0033613445378151263
ライブラリ,更新,0.003355704697986577
テスト,不具合,0.0033333333333333335
分析,著書,0.0033333333333333335
プルリクエスト,巨大,0.0033222591362126247
プログラム,確認,0.0033192516596258297
学生,選び,0.0032948929159802307
学生,開催,0.0032921810699588477
ライブラリ,最新,0.003284072249589491
分析,箱,0.0032679738562091504
プルリクエスト,修正,0.0032615786040443573
プログラミング,向上,0.0032537960954446853
linebot,習得,0.003246753246753247
ami,pc,0.0032310177705977385
プログラム,統合,0.003215434083601286
