word1,word2,jaccard_coef
oracle,クラウドデタベス,0.09090909090909091
oracle,sap,0.09090909090909091
oracle,ネイティブデタコネクタ,0.09090909090909091
model,predict,0.07692307692307693
備忘録,入り,0.047619047619047616
model,xtestcopy,0.047619047619047616
linebot,コン,0.02564102564102564
linebot,サル,0.02564102564102564
kubernetes,spark,0.023255813953488372
linebot,pdf,0.02127659574468085
gcp,クラウドコンピュティングプラットフォム,0.02127659574468085
備忘録,編,0.020942408376963352
マネジメント,醸成,0.020833333333333332
マネジメント,立案,0.020833333333333332
linebot,應,0.02040816326530612
linebot,慶,0.0196078431372549
マネジメント,責務,0.018018018018018018
gcp,コンテナ,0.01694915254237288
バイナリ,ボラティリティ,0.016666666666666666
lightgbm,verbosity,0.015873015873015872
stripe,俊敏,0.015873015873015872
stripe,前期,0.015873015873015872
lambda,ww,0.015384615384615385
pandas,インポト,0.015015015015015015
kubernetes,オンデマンド,0.014925373134328358
gcp,駆動,0.014925373134328358
マネジメント,長,0.014492753623188406
物理,私立,0.014285714285714285
用語,肥大,0.013793103448275862
lambda,rwithpessimisticshrinkage,0.0136986301369863
マネジメント,採用,0.0136986301369863
備忘録,履修,0.0136986301369863
kubernetes,クラウドコンピュティングプラットフォム,0.013513513513513514
gcp,kubernetes,0.013513513513513514
stripe,デタアクセス,0.01282051282051282
kubernetes,マネジド,0.01282051282051282
lambda,lambda,0.01276595744680851
マネジメント,文化,0.012738853503184714
備忘録,出身,0.0125
kubernetes,ジョブ,0.012345679012345678
kubernetes,コンテナ,0.011627906976744186
備忘録,復習,0.01098901098901099
pandas,デタフレム,0.010964912280701754
lambda,suetal,0.010810810810810811
lambda,指数,0.010810810810810811
kubernetes,駆動,0.010638297872340425
lambda,マスキング,0.010416666666666666
バイナリ,株式,0.010362694300518135
備忘録,超,0.010050251256281407
大学生,民間,0.009950248756218905
ハンズオン,形式,0.009933774834437087
stripe,レポティング,0.00980392156862745
備忘録,記録,0.00975609756097561
lambda,アイデア,0.00975609756097561
stripe,スピディ,0.009433962264150943
kubernetes,スケリング,0.009259259259259259
物理,通信,0.009216589861751152
pandas,インストル,0.009153318077803204
備忘録,就職,0.009009009009009009
