word1,word2,jaccard_coef
学生,漠然,0.046153846153846156
備忘録,感情,0.03896103896103896
備忘録,入り,0.03896103896103896
oracle,デタソスモジュル,0.037037037037037035
学生,料,0.036585365853658534
学生,学生,0.02857142857142857
oracle,日常,0.02702702702702703
gcp,フルマネジド,0.024390243902439025
gcp,苦戦,0.024390243902439025
tool,tool,0.023255813953488372
oracle,vividatadesktop,0.022727272727272728
クラスタリング,クラスタリング,0.019830028328611898
langchain,tool,0.019801980198019802
lambda,マスキング,0.019230769230769232
ハンズオン,即座,0.018867924528301886
ハンズオン,ワクショップ,0.018867924528301886
gcp,terraform,0.01652892561983471
stripe,俊敏,0.015873015873015872
stripe,前期,0.015873015873015872
学生,配色,0.015384615384615385
プログラム,入力,0.014497909810548786
lambda,保護,0.014492753623188406
stripe,最大限,0.0136986301369863
stripe,迅速,0.013333333333333334
資格,資格,0.013157894736842105
pandas,命令,0.012987012987012988
stripe,スピディ,0.012987012987012988
stripe,デタアクセス,0.01282051282051282
備忘録,編,0.012711864406779662
gcp,余談,0.0125
プログラム,プログラム,0.012490912695790099
分析,勉強,0.012464817048652996
バイナリ,層,0.012396694214876033
学生,笑,0.011904761904761904
ハンズオン,外客,0.011764705882352941
分析,教科書,0.011307357240885494
stripe,容易,0.010869565217391304
備忘録,超,0.010830324909747292
学生,資格,0.010638297872340425
langchain,ブレインパッド,0.00980392156862745
ライブラリ,命令,0.009631849315068493
lambda,リソス,0.009523809523809525
langchain,インタネットグルプ,0.009523809523809525
ハンズオン,訪日,0.009433962264150943
プログラム,削除,0.009369333064678622
クラスタリング,流,0.00909090909090909
ハンズオン,演習,0.008968609865470852
tool,用意,0.008888888888888889
langchain,本格,0.008771929824561403
クラスタリング,直感,0.008695652173913044
分析,統計,0.008684546615581098
oracle,独自,0.008547008547008548
バイナリ,ブロック,0.008547008547008548
プログラム,値,0.008477652182930622
クラスタリング,居住,0.008438818565400843
クラスタリング,食料,0.008368200836820083
クラスタリング,変動,0.008298755186721992
クラスタリング,職場,0.00816326530612245
分析,実装,0.008156239804700245
プログラム,表示,0.007994933903269216
model,ダイヤモンド,0.007936507936507936
プログラム,欠損,0.007879571915794425
大学生,民間,0.007874015748031496
プログラム,命令,0.007856460346108929
分析,分析,0.007631817358217068
資格,選,0.0072992700729927005
資格,足がかり,0.0072992700729927005
大学生,級,0.007168458781362007
pandas,show,0.007162534435261708
lambda,独自,0.006944444444444444
stripe,レポティング,0.006756756756756757
クラスタリング,チャト,0.006666666666666667
langchain,ブログ,0.006666666666666667
分析,本,0.006572659153932386
分析,紹介,0.006558512658934996
stripe,財務,0.006299212598425197
langchain,サクッ,0.006211180124223602
コンパイル,メトリクス,0.006211180124223602
model,predictions,0.006097560975609756
ハンズオン,体験,0.005988023952095809
lightgbm,同士,0.005970149253731343
langchain,ツル,0.005943536404160475
model,smin,0.0058823529411764705
model,ディレクトリ,0.005865102639296188
プログラム,平均,0.0057768774851826845
分析,解析,0.005757504690431519
model,validdata,0.0057273768613974796
プログラム,出力,0.005714285714285714
model,pklgo,0.005689900426742532
model,traindata,0.005668934240362812
分析,科学,0.0055157469651079755
用語,用語,0.0054869684499314125
model,ルトディレクトリ,0.00547645125958379
物理,結論,0.005434782608695652
クラスタリング,セグメンテション,0.005405405405405406
lambda,アタッチ,0.005291005291005291
大学生,認定,0.005277044854881266
model,pickle,0.005235602094240838
大学生,身分,0.005208333333333333
大学生,起業,0.005208333333333333
大学生,応援,0.005208333333333333
pandas,ヒストグラム,0.005165289256198347
引数,描写,0.005154639175257732
クラスタリング,要望,0.005154639175257732
lightgbm,xgbclassifier,0.00510204081632653
stripe,ソス,0.00510204081632653
大学生,記,0.00510204081632653
大学生,発,0.00510204081632653
model,}.,0.005063291139240506
langchain,llm,0.005063291139240506
分析,数学,0.00501380000241048
クラスタリング,トレニングデタセット,0.004975124378109453
分析,書籍,0.004963624419085623
クラスタリング,諸国,0.0049261083743842365
大学生,従事,0.0049261083743842365
バイナリ,ロジット,0.004878048780487805
クラスタリング,推移,0.004830917874396135
ハンズオン,不要,0.004830917874396135
大学生,準,0.004784688995215311
クラスタリング,料,0.004761904761904762
pandas,seaborn,0.004739336492890996
pandas,デタフレム,0.004694835680751174
クラスタリング,ヨロッパ,0.004651162790697674
model,terms,0.004574565416285453
lambda,ロル,0.0045662100456621
pandas,プログラム,0.00456366874443455
pandas,入力,0.004520440251572327
分析,空間,0.004518926805544297
lightgbm,scw,0.0045045045045045045
pandas,ライブラリ,0.004491725768321513
ハンズオン,編,0.004484304932735426
lightgbm,都度,0.004484304932735426
pandas,インデックス,0.004453441295546558
分析,議論,0.004451152439180374
分析,社会,0.004444673477538295
大学生,得点,0.0044444444444444444
用語,配列,0.004435346298191744
未経験,認識,0.004395604395604396
分析,結果,0.0043886566541993305
pandas,表示,0.004367493370768991
クラスタリング,トレニングセット,0.004347826086956522
分析,因果,0.004340938291316876
ハンズオン,最高,0.004310344827586207
ハンズオン,課金,0.004273504273504274
物理,連続,0.0042643923240938165
クラスタリング,大都市,0.00423728813559322
pandas,出力,0.004137296965982225
プログラム,個数,0.004123969007748063
分析,理論,0.004070711169727097
gcp,通信,0.004032258064516129
未経験,田村,0.004016064257028112
未経験,臣,0.004016064257028112
未経験,規格,0.004016064257028112
未経験,永田,0.004016064257028112
未経験,靖,0.004016064257028112
未経験,職,0.004016064257028112
未経験,駆け出し,0.004016064257028112
未経験,語尾,0.004016064257028112
分析,系列,0.004015654679193809
プログラム,ライブラリ,0.003999238240335174
未経験,盛ん,0.00398406374501992
未経験,結構,0.003968253968253968
プログラム,最,0.003964916496455605
文系,統計,0.003955390334572491
stripe,強化,0.00392156862745098
未経験,著,0.00390625
分析,確率,0.0039018691588785046
stripe,充実,0.0038910505836575876
文系,書籍,0.0038700130897501564
pandas,デタファイル,0.003854389721627409
分析,説明,0.0038032985182255927
引数,整数,0.0038022813688212928
プログラム,文字,0.0037934668071654375
model,ont,0.0037117228580266005
分析,記事,0.0036909911604288133
テスト,科学,0.003681392235609103
プログラム,図,0.0036730945821854912
分析,状態,0.00365902025254916
バイナリ,ベスライン,0.0036363636363636364
文系,解析,0.00361811954266969
pandas,pickle,0.0035932446999640674
pandas,plot,0.003592814371257485
テスト,社会,0.0035817121988903715
pandas,sns,0.0035460992907801418
model,testdatablast,0.0035211267605633804
model,savegraph,0.0035211267605633804
プログラム,散布,0.0035145751498862933
langchain,用意,0.0035087719298245615
分析,学,0.0034949594357596174
プログラム,抽出,0.003471533425907558
クラスタリング,各国,0.0034602076124567475
model,pkl,0.0034548281223009156
model,ontgo,0.0034482758620689655
分析,回帰,0.003445522461524999
テスト,議論,0.003445247584948997
分析,業務,0.0034378973041695854
物理,生化学,0.003424657534246575
プログラム,重複,0.0034145441122185307
model,testdiamond,0.0034129692832764505
pandas,グラフ,0.0034114168751421424
クラスタリング,小売,0.003401360544217687
プログラム,比較,0.0033980050422010304
分析,必要,0.0033943074378533166
テスト,本,0.003386999489630214
model,トレニングデタ,0.003386960203217612
クラスタリング,付近,0.003355704697986577
文系,章,0.003339827442248817
分析,理解,0.003327063099031313
model,コンポネント,0.0033222591362126247
用語,領域,0.003309692671394799
プログラム,追加,0.0033034450212364322
大学生,職業,0.0033003300330033004
ライブラリ,表示,0.0032778618255168935
分析,実験,0.003270784467031535
大学生,年間,0.0032679738562091504
model,py,0.0032615786040443573
分析,組成,0.003244646333549643
資格,間違い,0.003236245954692557
pandas,散布,0.003233392122281011
大学生,編,0.003205128205128205
文系,程度,0.0032022771748799147
プログラム,中央,0.0031854648419065595
未経験,紐,0.0031746031746031746
分析,考え方,0.0031472500257971312
ライブラリ,必要,0.0031470205924608334
テスト,教科書,0.003140173105340933
物理,簡易,0.003134796238244514
pandas,形式,0.00311318656882366
model,グラフデタ,0.0031007751937984496
model,res,0.0030911901081916537
model,用語,0.0030737704918032786
未経験,閾値,0.003048780487804878
分析,学習,0.0030257746600634793
テスト,実装,0.0030162412993039443
lightgbm,plrefsr,0.0029940119760479044
lightgbm,sprefixkagglee,0.0029940119760479044
ライブラリ,出力,0.002982107355864811
分析,変数,0.002957685664939551
pandas,ばらつき,0.0029465930018416206
oracle,以外,0.002932551319648094
分析,参考,0.002924014947879106
stripe,チム,0.0029239766081871343
テスト,状態,0.0029192124915139173
lambda,付与,0.002898550724637681
プログラム,表,0.0028972587474927567
プログラム,代表,0.0028968713789107765
クラスタリング,ベスライン,0.002890173410404624
テスト,ビジネス,0.0028671846096929338
テスト,因果,0.002858674289798106
テスト,勉強,0.0028557936632861865
pandas,相互,0.002843601895734597
pandas,作用,0.002843601895734597
引数,積分,0.002824858757062147
プログラム,実行,0.002817157397310069
プログラム,確認,0.002810567734682406
model,バリデションデタ,0.0028089887640449437
lightgbm,ラベルエンコディング,0.0028089887640449437
lambda,pythonsdk,0.0028089887640449437
プログラム,指定,0.0028011204481792717
物理,現象,0.0027829313543599257
lightgbm,交差,0.002777777777777778
文系,業務,0.0027539283978616556
テスト,概要,0.002745492815960465
プログラム,度数,0.0027157141093692135
分析,概要,0.0027139229622066075
分析,検証,0.002702773623028681
分析,効果,0.002692287388481233
プログラム,形式,0.0026909158392873713
ライブラリ,自然,0.0026642984014209592
物理,精算,0.0026595744680851063
物理,薬剤師,0.0026595744680851063
物理,都市,0.0026595744680851063
物理,知的,0.0026595744680851063
物理,財産,0.0026595744680851063
物理,理学,0.0026595744680851063
物理,美術,0.0026595744680851063
物理,療法,0.0026595744680851063
物理,税理士,0.0026595744680851063
物理,知識工学,0.0026595744680851063
分析,解説,0.002616444743795658
文系,社内,0.0026133542401672546
テスト,客観,0.0026041666666666665
分析,程度,0.0026036530040632767
pandas,uni,0.002602472348731295
model,フラグ,0.0026019080659150044
テスト,系列,0.0025925679718141327
分析,変換,0.002575826667816956
ライブラリ,入力,0.002570694087403599
文系,機械,0.0025697154278100315
テスト,分析,0.0025678894077888212
分析,章,0.0025665449542255385
テスト,結果,0.002564882841368517
model,owl,0.002560819462227913
物理,犯罪,0.002544529262086514
物理,購読,0.002544529262086514
分析,機械,0.002536183773735228
pandas,デフォルト,0.002531645569620253
文系,紹介,0.0025140668023464624
引数,順番,0.0024937655860349127
テスト,実験,0.002484565577473272
クラスタリング,移動,0.0024783147459727386
物理,限定,0.0024752475247524753
model,スコア,0.0024706609017912293
pandas,配列,0.002468265162200282
物理,管理,0.0024630541871921183
langchain,以外,0.0024509803921568627
プログラミング,教科書,0.00243708909544321
プログラミング,勉強,0.0024369848285748417
分析,実務,0.002435394398592883
分析,興味,0.002433950206001931
model,ファイル,0.0024304021210782146
分析,最初,0.0024193223209365467
文系,論文,0.0023988659906226148
文系,確率,0.00239040015298561
引数,済み,0.002369668246445498
クラスタリング,回答,0.0023584905660377358
テスト,決定,0.0023578489162963635
model,デタフレム,0.0023553162853297443
文系,部分,0.002336968617849989
