word1,word2,jaccard_coef
rfc,一行,0.06666666666666667
rfc,ダブルクォト,0.05263157894736842
マネジメント,経済,0.05263157894736842
クラスタリング,クラスタリング,0.037037037037037035
用語,記号,0.035211267605633804
rfc,改行,0.03125
哲学,道のり,0.030303030303030304
哲学,樹,0.030303030303030304
哲学,条項,0.030303030303030304
哲学,思索,0.030303030303030304
rfc,各行,0.027777777777777776
大学生,好き,0.02564102564102564
哲学,状,0.024390243902439025
rfc,コンマ,0.022222222222222223
テキストエディタ,後入れ先出し,0.02127659574468085
テキストエディタ,プッシュ,0.02127659574468085
テキストエディタ,ポップ,0.02127659574468085
テキストエディタ,ボタン,0.02127659574468085
model,serviceidcomponentid,0.0196078431372549
model,servicecomponent,0.0196078431372549
model,title,0.0196078431372549
model,serviceidnextid,0.0196078431372549
哲学,疑問,0.019230769230769232
nosql,スケラビリティ,0.017937219730941704
哲学,問い,0.01639344262295082
分析,提唱,0.015873015873015872
テキストエディタ,反対,0.015384615384615385
分析,覚書,0.015151515151515152
テキストエディタ,物,0.015151515151515152
歴史,短波,0.013636363636363636
歴史,長波,0.013636363636363636
分析,定式,0.012987012987012988
nosql,恩恵,0.012738853503184714
クラスタリング,集まり,0.012269938650306749
model,serviceid,0.012048192771084338
分析,明確,0.01098901098901099
歴史,表層,0.010810810810810811
歴史,深層,0.010810810810810811
歴史,社会,0.010582010582010581
分析,副作用,0.01020408163265306
nosql,耐,0.009900990099009901
コンパイル,原因,0.009708737864077669
歴史,長期,0.009523809523809525
分析,疑問,0.009523809523809525
nosql,享受,0.009478672985781991
コンパイル,手軽,0.009433962264150943
nosql,rdbsql,0.008888888888888889
nosql,周辺,0.008695652173913044
テキストエディタ,ブラウザ,0.008695652173913044
分析,実施,0.008695652173913044
分析,歴史,0.008620689655172414
用語,用語,0.008264462809917356
バイナリ,ファイル,0.007674597083653108
分析,学者,0.007462686567164179
nosql,キバリュ,0.0072992700729927005
model,カラム,0.007246376811594203
nosql,スキマ,0.007211538461538462
nosql,xml,0.006688963210702341
コンパイル,可変,0.006666666666666667
歴史,歴史,0.006134969325153374
マネジメント,数理,0.006060606060606061
