word1,word2,jaccard_coef
nosql,デタベスサビス,0.06060606060606061
kubernetes,クベ,0.058823529411764705
kubernetes,我,0.058823529411764705
nosql,フルマネジド,0.05714285714285714
mecab,word,0.043478260869565216
axios,jsonwebtoken,0.043478260869565216
mecab,分かち書き,0.041666666666666664
mecab,vec,0.039473684210526314
アイコン,ステタスバ,0.038461538461538464
mecab,カレ,0.03571428571428571
mecab,長文,0.03571428571428571
物理,補習,0.03571428571428571
linebot,デモンストレション,0.034482758620689655
linebot,メッセジデタ,0.034482758620689655
crud,gomigration,0.034482758620689655
mecab,食材,0.03278688524590164
promise,同期,0.030303030303030304
linebot,設置,0.030303030303030304
備忘録,波,0.028985507246376812
備忘録,自信,0.028985507246376812
学生,寮,0.026785714285714284
lambda,関数,0.026121128062875636
crud,gopg,0.02564102564102564
framework,ベスアプリ,0.025423728813559324
物理,誤り,0.023255813953488372
nosql,依頼,0.022727272727272728
備忘録,普段,0.022222222222222223
mecab,実践,0.02197802197802198
テキストエディタ,自,0.02197802197802198
framework,laymic,0.02185792349726776
mecab,自然,0.02127659574468085
引数,引数,0.020560747663551402
mecab,抽出,0.02040816326530612
ライブラリ,標準,0.02018348623853211
学生,番号,0.019867549668874173
物理,逆,0.018867924528301886
framework,ncmbsdkframework,0.01834862385321101
プルリクエスト,プルリクエスト,0.01818181818181818
テキストエディタ,端末,0.01818181818181818
学生,配達員,0.01818181818181818
学生,部屋,0.01818181818181818
framework,邪魔,0.018018018018018018
framework,後ろ,0.017094017094017096
framework,段階,0.01702127659574468
winget,素直,0.01694915254237288
crud,tbl,0.01694915254237288
コンパイル,指向,0.016666666666666666
langchain,openai,0.016556291390728478
email,ユザプルユザプル,0.01639344262295082
framework,ビュワ,0.016260162601626018
lambda,ステトマシン,0.016061676839061997
pandas,デタフレム,0.016042780748663103
nat,ネット,0.01596174150673871
nat,サブ,0.01587105539430618
ライブラリ,ライブラリ,0.01576872536136662
研修,開催,0.015625
framework,monaca,0.015503875968992248
email,ここら,0.015384615384615385
引数,順序,0.015105740181268883
