word1,word2,jaccard_coef
steam,レスゲム,0.2857142857142857
steam,アカウント,0.1111111111111111
steam,steam,0.09090909090909091
分析,取捨選択,0.04878048780487805
分析,多角,0.04878048780487805
分析,基,0.038461538461538464
資格,資格,0.03389830508474576
gcp,一線,0.030303030303030304
学生,過ち,0.030303030303030304
segmentation,対義語,0.02702702702702703
学生,有力,0.02631578947368421
segmentation,人達,0.023809523809523808
gcp,ionq,0.022727272727272728
分析,読み方,0.022222222222222223
バイナリ,体験,0.01818181818181818
複素数,複素数,0.01818181818181818
バイナリ,無理,0.017543859649122806
マネジメント,戦略,0.017241379310344827
kubernetes,利点,0.015873015873015872
kubernetes,コンテナ,0.015432098765432098
segmentation,表題,0.014184397163120567
分析,分析,0.014084507042253521
segmentation,キャッシュ,0.013761467889908258
バイナリ,意識,0.01282051282051282
バイナリ,中古,0.012658227848101266
マネジメント,マネジメントサビスマネジメントストラテジ,0.012658227848101266
マネジメント,経営,0.012658227848101266
マネジメント,法務,0.012658227848101266
kubernetes,ギリシャ,0.012048192771084338
kubernetes,道標,0.012048192771084338
kubernetes,クバネティスクバネテスクベネティス,0.012048192771084338
kubernetes,スケリング,0.011764705882352941
ハンズオン,塩基,0.011235955056179775
kubernetes,人生,0.011111111111111112
segmentation,限り,0.010869565217391304
ハンズオン,配列,0.010752688172043012
kubernetes,pod,0.010638297872340425
kubernetes,集まり,0.010638297872340425
マネジメント,理論,0.010416666666666666
歴史,歴史,0.009630818619582664
ビルド,レポジトリ,0.009615384615384616
ハンズオン,一覧,0.009615384615384616
ハンズオン,解析,0.008968609865470852
segmentation,segmentation,0.008928571428571428
歴史,迷,0.00861656294877932
歴史,豆腐,0.00861656294877932
歴史,黎明,0.008579599618684462
segmentation,なぞなぞ,0.007874015748031496
segmentation,目当て,0.007874015748031496
segmentation,大型,0.007407407407407408
segmentation,取得,0.007211538461538462
マネジメント,分類,0.007142857142857143
kubernetes,台数,0.006993006993006993
segmentation,彼ら,0.006711409395973154
segmentation,立場,0.006622516556291391
ハンズオン,統計,0.006535947712418301
segmentation,疑問,0.006493506493506494
kubernetes,kubernetes,0.0064516129032258064
用語,自然,0.006329113924050633
ssd,マウンタ,0.005689900426742532
kubernetes,一元,0.005649717514124294
segmentation,無事,0.005235602094240838
ビルド,個別,0.005141388174807198
ビルド,手順,0.005076142131979695
ビルド,ビルド,0.005050505050505051
kubernetes,管理,0.005008347245409015
プログラム,命令,0.00496254299737597
segmentation,レイヤ,0.004739336492890996
ビルド,フォマッタ,0.004672897196261682
歴史,現存,0.004527162977867203
歴史,論争,0.004527162977867203
歴史,訴訟,0.004527162977867203
歴史,独占,0.004527162977867203
歴史,迷走,0.004527162977867203
歴史,誕生,0.004482071713147411
歴史,脳,0.004482071713147411
ビルド,構文,0.0043859649122807015
ssd,内蔵,0.004381161007667032
segmentation,プログラマ,0.004347826086956522
ssd,無事,0.004070556309362279
ssd,ssd,0.0037965072133637054
プログラム,自作,0.0036161451474676534
プログラム,レジスタ,0.0035460992907801418
引数,編,0.003538217282830574
マネジメント,表現,0.003395585738539898
ssd,¥,0.003392385978137957
ssd,認識,0.003355704697986577
ssd,コントロラ,0.0033349213911386373
歴史,版,0.0033136966126656848
ssd,ディスク,0.0032967032967032967
プログラム,機能,0.003200714103545014
kubernetes,解決,0.0031645569620253164
ライブラリ,命令,0.0030129904341669824
ssd,開封,0.0030120481927710845
ssd,一時期,0.0029895366218236174
ビルド,実施,0.0029850746268656717
ssd,市場,0.0029498525073746312
ssd,tb×,0.0029282576866764276
プログラム,通信,0.002927463948823593
引数,誤差,0.002903761061946903
ssd,検討,0.002844950213371266
ssd,シャット,0.0028328611898017
引数,符号,0.0028310789556464295
ssd,後ろ,0.002824858757062147
ssd,パティション,0.0028129395218002813
ssd,確実,0.002805049088359046
ssd,ダウン,0.0027548209366391185
ssd,ミニ,0.002717391304347826
マネジメント,企業,0.002717391304347826
ssd,tb,0.002688172043010753
プログラム,形式,0.002664201826881253
初心者,部屋,0.0026535863621743325
ssd,背面,0.0026490066225165563
ssd,異常,0.0026455026455026454
プログラム,定義,0.0026339804214368674
プログラム,図,0.0026014678200545673
プログラム,汎用,0.0025877707822004057
ssd,高騰,0.0025806451612903226
プログラム,使用,0.0025485267420751294
ssd,容量,0.0025348542458808617
初心者,英,0.0025162507863283707
用語,考え方,0.0025
用語,自動的,0.0024630541871921183
ssd,スト,0.0024615384615384616
ssd,レジ,0.0024615384615384616
プログラム,マイコン,0.002461043202388728
ssd,ノトパソコン,0.002442002442002442
ssd,取り付け,0.0024390243902439024
引数,結果,0.0024094626168224297
ライブラリ,自作,0.002404534264613271
ssd,圧縮,0.002386634844868735
ライブラリ,レジスタ,0.0023816612086930635
ssd,手順,0.002336448598130841
初心者,解説,0.0023206984197148856
プログラム,回路,0.0022749668487451187
初心者,署名,0.002271580010095911
ssd,選定,0.0022598870056497176
物理,自作,0.0022410039697784608
ssd,ドライブ,0.002197802197802198
kubernetes,資源,0.0021645021645021645
引数,正答,0.002156721782890007
引数,排他,0.002156721782890007
ssd,バックアップ,0.0020833333333333333
用語,記憶,0.002066115702479339
