word1,word2,jaccard_coef
steam,プリンタ,0.06666666666666667
steam,マルチメディア,0.06666666666666667
アイコン,付,0.06451612903225806
crud,題材,0.058823529411764705
kubernetes,キャッチアップ,0.058823529411764705
email,テキ,0.05263157894736842
email,トウ,0.05263157894736842
email,冗長,0.04938271604938271
email,email,0.04918032786885246
steam,プリント,0.045454545454545456
引数,注目,0.037383177570093455
研修,配属,0.036637931034482756
ssd,usb,0.034482758620689655
バイナリ,偶数,0.03389830508474576
email,if,0.031496062992125984
物理,皿洗い,0.030303030303030304
プルリクエスト,厳格,0.030303030303030304
steam,需要,0.029411764705882353
コンパイル,祈祷,0.02857142857142857
コンパイル,スピリチュアルエンジニア,0.02857142857142857
コンパイル,サバルム,0.02857142857142857
コンパイル,筐,0.02857142857142857
コンパイル,御札,0.02857142857142857
コンパイル,文字通り,0.02857142857142857
lambda,セキュリティグルプ,0.02564102564102564
lambda,ヒアリングシト,0.02564102564102564
lambda,送付,0.02564102564102564
lambda,ファンクション,0.02564102564102564
買い物,野外,0.024390243902439025
コンパイル,内側,0.024096385542168676
アイコン,アイコン,0.023255813953488372
ssd,フラッシュ,0.023255813953488372
oracle,plsql,0.022988505747126436
ssd,実機,0.022727272727272728
大学生,文豪,0.02127659574468085
lambda,サブ,0.02127659574468085
プルリクエスト,大幅,0.02040816326530612
大学生,当方,0.0196078431372549
ハンズオン,上限,0.01935483870967742
アイコン,搭載,0.019230769230769232
ssd,ベアメタルインストル,0.019230769230769232
大学生,専攻,0.018518518518518517
コンパイル,掛け算,0.01809954751131222
oracle,帳票,0.017857142857142856
コンパイル,急,0.01652892561983471
分析,勉強,0.01619373955881815
ハンズオン,抵触,0.015873015873015872
分析,教科書,0.015438558343073033
哲学,心理,0.015
ハンズオン,事故,0.014925373134328358
引数,編集,0.014814814814814815
ビルド,要領,0.014388489208633094
ハンズオン,消し,0.014184397163120567
infrastructure,learning,0.014084507042253521
infrastructure,testingspacephp,0.014084507042253521
email,当たり前,0.013937282229965157
研修,突破,0.013651877133105802
研修,研修,0.013539651837524178
ハンズオン,職場,0.013333333333333334
バイナリ,十分,0.013333333333333334
引数,空白,0.013333333333333334
ssd,レジ,0.013333333333333334
研修,職,0.013100436681222707
引数,戻り,0.0125
コンパイル,封印,0.012345679012345678
用語,落ち着き,0.012269938650306749
ssd,スト,0.012195121951219513
oracle,デザイナ,0.012048192771084338
大学生,就活,0.011904761904761904
アイコン,標準,0.011627906976744186
バイナリ,仮定,0.011494252873563218
分析,統計,0.01147791698206479
哲学,掛け算,0.011363636363636364
ビルド,差分,0.011278195488721804
分析,実装,0.011276816333040913
infrastructure,皆様,0.011235955056179775
ビルド,相似,0.010810810810810811
プルリクエスト,強化,0.010638297872340425
コンパイル,コンパイル,0.010526315789473684
ビルド,消去,0.010416666666666666
ビルド,近似,0.010416666666666666
哲学,知,0.010135135135135136
大学生,某,0.009900990099009901
プルリクエスト,文化,0.00980392156862745
研修,部署,0.00967741935483871
学生,弊社,0.009615384615384616
大学生,返事,0.009523809523809525
ビルド,求,0.009433962264150943
lambda,依頼,0.009433962264150943
ハンズオン,忘れ,0.009174311926605505
ハンズオン,死亡,0.009174311926605505
プルリクエスト,依頼,0.009174311926605505
分析,本,0.009132982561106517
用語,辞典,0.0091324200913242
プルリクエスト,修正,0.00911854103343465
ハンズオン,緩和,0.00909090909090909
ハンズオン,前編,0.00909090909090909
ハンズオン,マルチプラットフォムアプリ,0.00909090909090909
ビルド,フリエ,0.008849557522123894
分析,分析,0.008845548614753708
学生,露,0.008733624454148471
複素数,還元,0.008695652173913044
lambda,ネット,0.008695652173913044
ssd,アプロチ,0.008695652173913044
読書,読書,0.008547008547008548
infrastructure,先人,0.008403361344537815
分析,科学,0.008360214540665382
分析,紹介,0.008343770396373193
分析,解析,0.008334520586978202
ビルド,増,0.008333333333333333
備忘録,職業,0.0078125
学生,素直,0.007782101167315175
哲学,選択,0.007739938080495356
email,条件,0.007633587786259542
学生,微塵,0.007575757575757576
ビルド,動,0.007575757575757576
ビルド,径,0.007575757575757576
ハンズオン,料金,0.007575757575757576
ハンズオン,ログイン,0.007462686567164179
分析,書籍,0.007364660621049739
ハンズオン,企画,0.007326007326007326
分析,数学,0.00725544158118589
学生,青色,0.007168458781362007
ビルド,一切,0.007142857142857143
哲学,難解,0.007042253521126761
ビルド,純粋,0.006993006993006993
引数,引数,0.006993006993006993
哲学,得,0.006920415224913495
ハンズオン,無事,0.006896551724137931
分析,議論,0.006804610470767949
分析,社会,0.006782215523737754
ビルド,交点,0.006756756756756757
引数,関数,0.006734006734006734
大学生,極端,0.006711409395973154
哲学,肩書,0.006666666666666667
哲学,教養,0.006644518272425249
未経験,落選,0.006622516556291391
分析,因果,0.00660906955448501
研修,駆使,0.006514657980456026
学生,想い,0.006493506493506494
用語,車屋,0.006493506493506494
ハンズオン,リジョン,0.006493506493506494
ハンズオン,請求,0.006493506493506494
未経験,落ち,0.006493506493506494
用語,証拠,0.006369426751592357
lambda,メル,0.006369426751592357
プルリクエスト,レビュ,0.006342494714587738
用語,矩,0.006329113924050633
用語,篇,0.006329113924050633
ハンズオン,各自,0.006329113924050633
用語,確信,0.006289308176100629
学生,青,0.00625
分析,系列,0.006204880377065808
分析,理論,0.0060110268505802035
ビルド,補正,0.005952380952380952
infrastructure,感謝,0.005917159763313609
用語,難解,0.005917159763313609
ハンズオン,安心,0.005747126436781609
研修,課題,0.00574300071787509
ハンズオン,ハンズオン,0.005714285714285714
分析,結果,0.005649492739208275
ビルド,多項式,0.005494505494505495
分析,空間,0.005482411445807687
分析,状態,0.005412064056220844
哲学,実践,0.005361930294906166
学生,段階,0.005333333333333333
未経験,職,0.0053285968028419185
研修,集合,0.005235602094240838
分析,業務,0.005079685137073946
学生,職種,0.005
学生,検討,0.004975124378109453
未経験,社,0.004966887417218543
学生,学生,0.0049261083743842365
哲学,期待,0.00487012987012987
ssd,起動,0.0048543689320388345
ビルド,半径,0.004830917874396135
学生,筋,0.004830917874396135
用語,発見,0.004784688995215311
ビルド,幾何,0.004761904761904762
未経験,魔法,0.004761904761904762
分析,説明,0.004752386391449784
文系,統計,0.004740880138969311
ハンズオン,人数,0.0047169811320754715
分析,考え方,0.0046884076010289604
プログラミング,言語,0.004678502879078695
哲学,影響,0.004672897196261682
ハンズオン,配慮,0.004672897196261682
分析,学,0.004660098924907002
学生,歌,0.004608294930875576
分析,理解,0.004606725819696757
用語,続,0.0045871559633027525
学生,専攻,0.0045871559633027525
バイナリ,秘密,0.0045351473922902496
学生,爆速,0.004524886877828055
学生,海老,0.004524886877828055
学生,猛者,0.004524886877828055
分析,実験,0.004517341101471302
未経験,盛ん,0.0045045045045045045
未経験,語尾,0.0045045045045045045
学生,田舎,0.0044444444444444444
ビルド,円周,0.004424778761061947
分析,確率,0.0044190904708340025
学生,締め切り,0.004405286343612335
未経験,結構,0.0043859649122807015
学生,意欲,0.004347826086956522
ビルド,平方,0.004310344827586207
分析,参考,0.00427962978130887
oracle,画面,0.0042796005706134095
テスト,科学,0.0042787682333873586
学生,視野,0.004273504273504274
資格,身分,0.004271222637479978
ハンズオン,教材,0.00425531914893617
資格,顔,0.004244031830238726
oracle,バッチ,0.004219409282700422
哲学,運転,0.004123711340206186
分析,概要,0.004113639285255174
分析,効果,0.00409208234528781
ポエム,ライフスタイル,0.00408997955010225
ポエム,視角,0.00408997955010225
文系,確率,0.004084633608365329
ポエム,脚注,0.004081632653061225
ポエム,是正,0.004081632653061225
分析,検証,0.004044278596593633
引数,該当,0.00398406374501992
文系,解析,0.003982582837723025
学生,社長,0.0039603960396039604
文系,書籍,0.003952109729164245
研修,社員,0.00392156862745098
学生,筋肉,0.00392156862745098
ポエム,自浄,0.003913894324853229
ポエム,読み手,0.0038910505836575876
テスト,モデル,0.003880691304544019
ポエム,無視,0.003875968992248062
テスト,分析,0.0038636267142189954
マネジメント,早め,0.003861003861003861
分析,程度,0.003848290906097586
分析,章,0.0038443254862245003
テスト,議論,0.00381707955991318
用語,間違い,0.003816793893129771
引数,複数,0.003816793893129771
テスト,社会,0.0038119440914866584
初心者,症候群,0.0038022813688212928
初心者,勿体,0.0038022813688212928
ビルド,歩,0.0038022813688212928
ポエム,媒体,0.0037735849056603774
ポエム,世間,0.0037593984962406013
哲学,障害,0.0037546933667083854
資格,難易,0.00375234521575985
哲学,哲学,0.003745318352059925
ssd,メモリ,0.003740648379052369
プログラム,複雑,0.0037393162393162395
初心者,箱,0.0037128712871287127
学生,正解,0.003703703703703704
分析,自身,0.0036777138992221846
哲学,鮮明,0.003676470588235294
分析,実務,0.003669724770642202
ポエム,作用,0.003669724770642202
哲学,本筋,0.003663003663003663
steam,用意,0.003663003663003663
テスト,本,0.0036619011788312015
分析,最初,0.0036578146143437075
哲学,篇,0.0036496350364963502
ssd,マシン,0.0036496350364963502
学生,競技,0.0036363636363636364
哲学,礎,0.0036363636363636364
マネジメント,職,0.003633720930232558
備忘録,書き,0.0036231884057971015
プログラム,メモリ,0.0036003600360036
未経験,紐,0.0035971223021582736
テスト,デタ,0.003579006570033489
哲学,手助け,0.0035714285714285713
研修,退屈,0.0035714285714285713
資格,項,0.0035698348951361
テスト,因果,0.003565738563083226
哲学,流れ,0.003552397868561279
哲学,地続き,0.0035460992907801418
学生,時代,0.003538115149565777
ポエム,有益,0.0035335689045936395
ビルド,距離,0.0035087719298245615
哲学,岸見,0.0035087719298245615
