word1,word2,jaccard_coef
kubernetes,コンテナオケストレション,0.2
kubernetes,決定的,0.2
steam,コマンドラインツル,0.125
steam,steamcmd,0.08
mount,損傷,0.05263157894736842
crud,scaffold,0.05042016806722689
nosql,ultradisk,0.04
nosql,上位,0.04
nosql,位置付け,0.04
アイコン,歯車,0.034482758620689655
アイコン,帽子,0.03125
crud,クラッド,0.030927835051546393
crud,コンピュタソフトウェア,0.030927835051546393
crud,イニシャル,0.030927835051546393
mount,postgresql,0.030303030303030304
steam,steam,0.02857142857142857
steam,各種,0.0273972602739726
バイナリ,難易,0.024390243902439025
バイナリ,価値,0.024390243902439025
引数,質問,0.023668639053254437
テスト,バジョンアップ,0.02356902356902357
crud,永続,0.022222222222222223
バイナリ,有志,0.022222222222222223
gcp,像,0.021739130434782608
syslog,winsyslog,0.02127659574468085
crud,用語,0.02127659574468085
crud,crud,0.02040816326530612
gcp,歩,0.0196078431372549
mount,救出,0.017543859649122806
httpd,ダウンロドデタ,0.017543859649122806
httpd,mysqlversion,0.017543859649122806
物理,論理,0.01580826109127996
gcp,おかげ,0.015151515151515152
syslog,ログソス,0.014388489208633094
備忘録,記載,0.014028056112224449
oracle,oracledeveloperstudio,0.013888888888888888
webserver,擬似,0.0136986301369863
email,mail,0.013333333333333334
テスト,諸々,0.013157894736842105
歴史,進歩,0.012987012987012988
gcp,把握,0.012987012987012988
バイナリ,パッチ,0.0125
アイコン,スタトメニュ,0.0125
ハンズオン,今日,0.012345679012345678
kubernetes,登場,0.012195121951219513
httpd,orgreater,0.011627906976744186
引数,番目,0.011494252873563218
引数,残り,0.011450381679389313
gcp,兄貴,0.011363636363636364
nosql,シリズ,0.010869565217391304
crud,httplocalhost,0.010752688172043012
oracle,社,0.010526315789473684
gcp,昔,0.00980392156862745
分析,機械,0.009615384615384616
プログラミング,知識,0.009512485136741973
syslog,ログ,0.00909090909090909
oracle,かす,0.00909090909090909
email,インストルテスト,0.008968609865470852
gcp,ちょ,0.008849557522123894
oracle,varisossol,0.008547008547008548
oracle,アンインストル,0.008547008547008548
ライブラリ,群,0.008356545961002786
バイナリ,回避,0.008333333333333333
用語,笑,0.008264462809917356
ライブラリ,段階,0.00819672131147541
email,modrewirte,0.00819672131147541
初心者,抵抗,0.008130081300813009
初心者,払拭,0.008130081300813009
初心者,評判,0.008032128514056224
oracle,windowsos,0.008
oracle,vmwareplayer,0.007874015748031496
webserver,軽量,0.007751937984496124
プログラミング,言語,0.00765076507650765
テスト,プロジェクト,0.007556675062972292
テスト,仕様,0.007532956685499058
プログラミング,メタ,0.007518796992481203
テキストエディタ,書き,0.007518796992481203
テスト,ベス,0.007434944237918215
syslog,収集,0.007407407407407408
oracle,相性,0.007352941176470588
email,必須,0.0072992700729927005
wireguard,手軽,0.0072992700729927005
oracle,経緯,0.007246376811594203
テスト,ディストリビュション,0.007220216606498195
備忘録,概要,0.0070921985815602835
物理,物理,0.006975269499048827
oracle,採用,0.006896551724137931
テスト,テスト,0.006756756756756757
syslog,形式,0.006756756756756757
syslog,経緯,0.006756756756756757
引数,流れ,0.006688963210702341
email,ボタン,0.0066555740432612314
oracle,都合,0.006578947368421052
テキストエディタ,プロジェクト,0.006493506493506494
プログラミング,応用,0.006430868167202572
プログラミング,ロボット,0.006430868167202572
プログラミング,関心,0.006430868167202572
バイナリ,リポジトリ,0.00641025641025641
プログラム,開発,0.006343906510851419
プログラミング,応募,0.006309148264984227
webserver,パソコン,0.006309148264984227
email,htaccess,0.006309148264984227
プログラミング,会社,0.006299212598425197
テスト,流用,0.006289308176100629
テスト,程,0.006211180124223602
テスト,マイクロサビスアキテクチャ,0.006134969325153374
crud,具体,0.006122448979591836
email,omeka,0.006097560975609756
email,vi,0.006042296072507553
テスト,テストランナ,0.006024096385542169
プログラミング,経験,0.005997001499250375
syslog,各種,0.005988023952095809
分析,学習,0.005952380952380952
gcp,保持,0.005917159763313609
プログラミング,自然,0.0058997050147492625
プログラミング,興味,0.00583941605839416
oracle,おまけ,0.005813953488372093
email,登録,0.005780346820809248
email,sudo,0.005714285714285714
プログラム,プログラム,0.0056782334384858045
プログラミング,向け,0.005641748942172073
email,httplocalhost,0.005633802816901409
gcp,活用,0.005555555555555556
nosql,premiumssd,0.0055248618784530384
テスト,ポタビリティ,0.005405405405405406
gcp,エンジニア,0.005405405405405406
テスト,急,0.0053475935828877
nat,欄,0.0053285968028419185
email,サイト,0.005284015852047556
nat,エリア,0.005208333333333333
syslog,業務,0.005208333333333333
プログラミング,対話,0.005199306759098787
テスト,容易,0.005141388174807198
引数,末尾,0.005076142131979695
備忘録,旬,0.005025125628140704
email,編集,0.0049813200498132005
syslog,イベント,0.0049261083743842365
oracle,残り,0.0049261083743842365
oracle,solaris,0.0049079754601227
ライブラリ,保管,0.004901960784313725
nat,ブリッジ,0.004830917874396135
gcp,全体,0.004807692307692308
プログラミング,活用,0.0047694753577106515
ライブラリ,内包,0.004761904761904762
テスト,安価,0.004761904761904762
ライブラリ,一貫,0.004739336492890996
備忘録,感想,0.004739336492890996
プログラミング,開発,0.004734350341925302
ライブラリ,前者,0.0047169811320754715
ライブラリ,後者,0.0047169811320754715
引数,文章,0.004629629629629629
oracle,製品,0.0045871559633027525
nat,ネットワクアダプタ,0.004524886877828055
備忘録,選定,0.004424778761061947
備忘録,辺,0.004424778761061947
oracle,搭載,0.004424778761061947
初心者,向け,0.004347826086956522
email,エディタ,0.004347826086956522
テスト,面倒,0.004347826086956522
ライブラリ,連携,0.004310344827586207
oracle,手軽,0.004310344827586207
ssd,パツ,0.004210526315789474
テキストエディタ,編集,0.004207573632538569
プログラミング,技術,0.0041936713686618375
物理,理想,0.004189108318372232
プログラム,処理,0.004166666666666667
物理,部品,0.004166666666666667
初心者,欠点,0.004149377593360996
物理,理解,0.004121283485428319
ssd,棚,0.004106776180698152
nat,空,0.0041025641025641026
初心者,直感,0.004098360655737705
物理,複数,0.004093198992443325
コンパイル,バイナリコド,0.004081632653061225
コンパイル,解放,0.004081632653061225
syslog,一番,0.004048582995951417
プログラミング,境目,0.00404040404040404
プログラミング,ロストテクノロジ,0.004016064257028112
物理,自身,0.003959276018099547
プログラミング,近年,0.003929273084479371
物理,現実,0.0038997214484679664
プログラミング,作り方,0.0038910505836575876
プログラミング,発信,0.003883495145631068
プログラミング,声,0.003883495145631068
備忘録,続き,0.003875968992248062
プログラム,実行,0.003868759764898445
テスト,開発,0.003838771593090211
初心者,超,0.003816793893129771
歴史,障害,0.003816793893129771
テスト,マイクロソフト,0.0038022813688212928
コンパイル,中間,0.003787878787878788
ライブラリ,都度,0.003787878787878788
プログラミング,単語,0.0037593984962406013
crud,全て,0.0037546933667083854
コンパイル,メモリ,0.0037458579455409884
nat,上部,0.0037359900373599006
nat,タブ,0.0037313432835820895
プログラミング,機会,0.0037105751391465678
コンパイル,メソッド,0.00370919881305638
コンパイル,デタ,0.0037079953650057938
プログラミング,初学,0.003656307129798903
備忘録,業務,0.0036496350364963502
コンパイル,デタバス,0.0036253776435045317
syslog,機器,0.0036188178528347406
プログラミング,本来,0.0035650623885918
ライブラリ,比較,0.0035460992907801418
備忘録,補足,0.0035460992907801418
物理,特徴,0.0034653465346534654
テスト,複雑,0.0034602076124567475
コンパイル,語,0.003444316877152698
ssd,事項,0.0034071550255536627
nat,セカンダリマスタ,0.003401360544217687
nat,クリックディスクファイル,0.003401360544217687
nat,クリックダウンロドフォルダ,0.003401360544217687
nat,相違,0.003401360544217687
テスト,移行,0.003401360544217687
引数,改行,0.003389830508474576
nat,アダプタ,0.0033482142857142855
email,email,0.0033444816053511705
nat,ディスプレイ,0.00333889816360601
テスト,途中,0.003289473684210526
nat,ディスクアイコン,0.003284072249589491
コンパイル,指向,0.003264417845484222
プログラミング,中置,0.0032397408207343412
プログラミング,否,0.003236245954692557
syslog,転送,0.0032258064516129032
nat,配下,0.00322061191626409
ライブラリ,リポジトリ,0.0031847133757961785
プログラミング,重要,0.003179650238473768
引数,文字,0.003158559696778269
ライブラリ,同士,0.0031446540880503146
テスト,役割,0.003125
テスト,本番,0.003115264797507788
プログラミング,学習,0.0031007751937984496
プログラム,メソッド,0.0030994646379261764
引数,引数,0.0030959752321981426
プログラミング,プログラミング,0.0030706243602865915
ssd,事前,0.003067484662576687
oracle,アップデト,0.0030581039755351682
ssd,最終,0.0030303030303030303
nat,執筆,0.0030075187969924814
テスト,非常,0.003003003003003003
プログラミング,最近,0.0029985007496251873
crud,基本,0.0029850746268656717
バイナリ,稼働,0.0029850746268656717
備忘録,大変,0.0029850746268656717
コンパイル,一体化,0.002962962962962963
コンパイル,電気,0.002962962962962963
コンパイル,番地,0.002962962962962963
nat,vitualbox,0.0029585798816568047
コンパイル,規格,0.0029455081001472753
備忘録,同意,0.0029455081001472753
nat,virbr,0.0029411764705882353
バイナリ,配布,0.0029411764705882353
バイナリ,不要,0.0029411764705882353
email,情報,0.0029239766081871343
コンパイル,中心,0.0029218407596785976
プログラム,更新,0.0029081039162466072
syslog,図,0.0029069767441860465
steam,用意,0.002898550724637681
ライブラリ,依存,0.002898550724637681
email,ログイン,0.0028922631959508315
プログラミング,紹介,0.002890173410404624
oracle,virtualbox,0.002888781896966779
nat,ホストオンリアダプタ,0.0028735632183908046
プログラミング,解説,0.0028694404591104736
プログラム,マシンプラットフォム,0.002858776443682104
