word1,word2,jaccard_coef
プルリクエスト,覗き,0.0625
プルリクエスト,現状,0.05
lightgbm,掛け算,0.04878048780487805
mecab,pip,0.03389830508474576
mecab,バインディング,0.03225806451612903
linebot,リマインダ,0.029411764705882353
linebot,引き落とし,0.029411764705882353
mecab,neologd,0.027522935779816515
mecab,インストル,0.024096385542168676
linebot,面倒,0.024096385542168676
研修,配属,0.02390998593530239
linebot,通知,0.023809523809523808
lightgbm,割り算,0.023255813953488372
mecab,インストルデフォルト,0.022727272727272728
mecab,卒論,0.022222222222222223
linebot,日付,0.020833333333333332
linebot,班,0.020833333333333332
linebot,分け,0.020833333333333332
linebot,クレジット,0.02040816326530612
linebot,カド,0.02040816326530612
mecab,新語,0.02
mecab,固有名詞,0.02
linebot,人数,0.018518518518518517
linebot,スクリプト,0.017543859649122806
linebot,発言,0.017543859649122806
分析,勉強,0.01590963423380349
mecab,済み,0.015625
分析,教科書,0.015438138725809958
用語,用語,0.014285714285714285
用語,障害,0.013761467889908258
用語,規模,0.013544018058690745
linebot,起動,0.013157894736842105
備忘録,半年,0.0125
mecab,形態素,0.012195121951219513
分析,実装,0.011504510936587265
分析,統計,0.011386275170870751
用語,発生,0.011278195488721804
研修,研修,0.011235955056179775
物理,理数,0.011111111111111112
ハンズオン,ボックス,0.011111111111111112
linebot,友人,0.011049723756906077
哲学,宗教,0.010714285714285714
linebot,日程,0.010309278350515464
物理,頻出,0.010101010101010102
大学生,茶色,0.00974025974025974
テキストエディタ,デフォルト,0.009708737864077669
物理,限り,0.009615384615384616
linebot,ランダム,0.009615384615384616
mecab,今日,0.009523809523809525
分析,本,0.009281231872594
備忘録,大学生,0.009259259259259259
ハンズオン,習得,0.008988764044943821
分析,分析,0.008921524073764023
大学生,都内,0.008403361344537815
分析,科学,0.008333491885309843
分析,解析,0.008333184950410428
分析,紹介,0.00821797019663169
大学生,理学部,0.008064516129032258
用語,辞典,0.007957559681697613
lightgbm,工程,0.0078125
用語,通信,0.007712082262210797
マネジメント,問,0.007598784194528876
大学生,大生,0.007462686567164179
大学生,生粋,0.007462686567164179
大学生,小学生,0.007462686567164179
lightgbm,反映,0.007462686567164179
初心者,黒本,0.0074487895716946
分析,書籍,0.007419135109261952
研修,精通,0.0073964497041420114
分析,数学,0.007357427412697843
ハンズオン,ハンズオン,0.0072992700729927005
資格,資格,0.007217321571772253
哲学,徳目,0.007168458781362007
マネジメント,情報,0.007102502017756255
大学生,暇,0.007042253521126761
用語,重要,0.007017543859649123
マネジメント,組織,0.007011393514460999
用語,要素,0.006979062811565304
分析,議論,0.006824376753347526
分析,社会,0.0067723174206643505
マネジメント,満点,0.006716417910447761
分析,因果,0.006656069938406517
mecab,前提,0.0064516129032258064
プログラミング,言語,0.006427915518824609
研修,突破,0.0064
分析,系列,0.006213282883600518
大学生,筆者,0.006097560975609756
プログラミング,開発,0.0060414269275028765
ハンズオン,改善,0.006024096385542169
大学生,心,0.005988023952095809
分析,理論,0.005985057175132286
引数,微分,0.005780346820809248
哲学,道徳,0.005763688760806916
哲学,魔術,0.005763688760806916
大学生,行動,0.005714285714285714
分析,結果,0.005685842050950001
linebot,サクル,0.005649717514124294
ライブラリ,豊富,0.0056179775280898875
未経験,魔法,0.0056179775280898875
哲学,進化,0.005555555555555556
分析,空間,0.005493154054275641
マネジメント,監査,0.005479452054794521
分析,状態,0.005454360435534752
マネジメント,戦略,0.005409582689335394
linebot,グルプ,0.005376344086021506
大学生,辺,0.005263157894736842
マネジメント,経営,0.005251312828207052
分析,業務,0.005233232996911212
引数,関数,0.005136986301369863
大学生,語,0.005128205128205128
大学生,普通,0.005128205128205128
マネジメント,確保,0.005050505050505051
初心者,過ち,0.004962779156327543
初心者,轍,0.004962779156327543
初心者,秘蔵,0.004962779156327543
大学生,競,0.0049261083743842365
未経験,考慮,0.004901960784313725
mecab,カバ,0.0048543689320388345
マネジメント,出題,0.004804804804804805
未経験,特,0.004784688995215311
大学生,為,0.004784688995215311
分析,説明,0.004718908318352672
分析,考え方,0.0046877268673124394
初心者,紫,0.004640371229698376
分析,学,0.004622683589473257
分析,理解,0.004606626300014081
初心者,苦,0.0045662100456621
備忘録,茶色,0.0045662100456621
分析,実験,0.0045252696130260095
文系,統計,0.00451867719908957
分析,確率,0.004448668432653226
研修,部署,0.004431314623338257
初心者,超,0.004395604395604396
学生,支援,0.00438240545366012
学生,就活,0.004363636363636364
ライブラリ,言語,0.004352557127312296
分析,参考,0.004282917278511992
プログラミング,学習,0.004241891262738606
研修,習得,0.004162330905306972
テスト,科学,0.004144427001569859
初心者,密度,0.004140786749482402
分析,検証,0.004102607481971789
分析,効果,0.004098100931578614
プログラミング,社,0.004095069857074032
分析,概要,0.004076086956521739
研修,課題,0.004048582995951417
プログラミング,経験,0.004026204449297121
未経験,紐,0.004016064257028112
ライブラリ,機能,0.003986048829098156
未経験,駆け出し,0.00398406374501992
学生,運営,0.003977174476915096
初心者,挫折,0.003898635477582846
未経験,結構,0.0038910505836575876
プログラミング,就活,0.0038800473497303694
未経験,語尾,0.003875968992248062
マネジメント,試験,0.0038678485092667205
テスト,分析,0.003857893844327624
テスト,モデル,0.0038573671226732453
哲学,形而上学,0.003816793893129771
文系,理系,0.0038124678001030398
分析,程度,0.003805860206253069
哲学,難,0.0038022813688212928
マネジメント,配点,0.003766478342749529
テスト,議論,0.0037646711449029306
分析,章,0.003739670667712166
マネジメント,総合,0.0037243947858473
学生,育,0.0037118504261754192
学生,技,0.003699643738010414
分析,実務,0.0036965022114912073
文系,書籍,0.003696362564954197
哲学,学問,0.0036900369003690036
テスト,本,0.003688040912667191
学生,求人,0.003683512597613084
マネジメント,改善,0.003669724770642202
文系,確率,0.003666495563540368
分析,機械,0.0036560427984219115
文系,解析,0.003646441073512252
分析,最初,0.0036174305787888927
哲学,幸福,0.0035842293906810036
linebot,指定,0.0035714285714285713
マネジメント,分野,0.0035580154180668115
テスト,デタ,0.0035559678416821274
学生,逆,0.003545615709804991
テスト,社会,0.0035104625550660793
用語,科目,0.0034904013961605585
分析,客観,0.003490096850187593
分析,学習,0.0034817594491082828
テスト,結果,0.0034777110338286435
分析,経済,0.0034690993190286522
分析,興味,0.0034580523218351302
テスト,因果,0.003452835733176609
マネジメント,評価,0.003433279926756695
哲学,思想,0.003424657534246575
マネジメント,脅威,0.003416856492027335
初心者,構築,0.0033370411568409346
文系,程度,0.0033003300330033004
大学生,某,0.0033003300330033004
プログラム,画面,0.0032948929159802307
哲学,段階,0.0032948929159802307
分析,調査,0.0032708242477104232
分析,論文,0.0032606130810648474
プログラミング,勉強,0.0032470012988005197
分析,通り,0.0032367972742759796
研修,駆使,0.00322061191626409
文系,紹介,0.0032201543779892977
テスト,教科書,0.0032186843295294336
分析,必要,0.0032150415106625427
プログラミング,僕,0.003211900938213169
大学生,拡張,0.003194888178913738
プログラミング,育,0.003188676310468191
プログラミング,技,0.0031827356000621023
マネジメント,選択,0.0031746031746031746
テスト,実装,0.003168191358758069
大学生,過程,0.0031645569620253164
研修,職,0.00315955766192733
ライブラリ,環境,0.0031318509238960224
プログラミング,技術,0.0031285551763367463
マネジメント,部門,0.0031007751937984496
分析,印象,0.003097736755594892
ハンズオン,形式,0.0030959752321981426
テスト,空間,0.00307999667027387
分析,推論,0.0030723639770771144
ハンズオン,研修,0.003067484662576687
分析,時代,0.0030455306837216386
学生,新卒,0.003040317250495704
プログラミング,参加,0.0030397633913900757
初心者,専門,0.0030349013657056147
分析,自身,0.003030368622697461
マネジメント,マネジメント,0.0030248033877797943
学生,無料,0.0030234315948601664
テスト,概要,0.0030217370114046203
研修,社員,0.0030211480362537764
大学生,授業,0.0030120481927710845
テスト,状態,0.002993527508090615
プログラミング,プログラミング,0.0029933938893476468
分析,非常,0.00297978925548454
マネジメント,認定,0.0029702970297029703
テスト,実験,0.00296168911818095
分析,知識,0.0029459632063616324
分析,文系,0.0029438593581557343
分析,色々,0.0029403961796957904
