word1,word2,jaccard_coef
ssd,ハドディスク,0.058823529411764705
steam,セッティング,0.058823529411764705
steam,ゲムプラットフォム,0.058823529411764705
steam,valve,0.058823529411764705
model,view,0.047619047619047616
mecab,パサ,0.02654867256637168
学生,生,0.024390243902439025
ssd,選択肢,0.024096385542168676
資格,賦与,0.023255813953488372
アイコン,メニュ,0.022222222222222223
資格,額,0.021739130434782608
ssd,ssd,0.02127659574468085
mecab,ngram,0.02040816326530612
mecab,フルテキストインデックス,0.02040816326530612
mecab,形態素,0.02040816326530612
ssd,台頭,0.020202020202020204
バイナリ,配下,0.02
mecab,辞書,0.019230769230769232
文系,進展,0.018867924528301886
学生,藤川,0.017857142857142856
哲学,自意識,0.017543859649122806
ingress,大賞,0.017241379310344827
model,rails,0.017241379310344827
バイナリ,雲泥の差,0.017241379310344827
mecab,切り替え,0.016129032258064516
ingress,ポケモン,0.015267175572519083
model,圧倒的,0.015151515151515152
アイコン,写真,0.015151515151515152
マネジメント,一丸,0.015151515151515152
マネジメント,統率,0.014925373134328358
引数,関数,0.014900032942249702
テスト,環境,0.01476403901924598
ingress,niantic,0.014388489208633094
ingress,発足,0.014388489208633094
ingress,オプンベタ,0.014388489208633094
テスト,継続,0.014380530973451327
学生,生誕,0.014285714285714285
ingress,ゲムデザイナズ,0.0136986301369863
ingress,遊び,0.013605442176870748
googleio,スト,0.013513513513513514
学生,敏雄,0.013513513513513514
oracle,サンマイクロシステムズ,0.013358778625954198
steam,会談,0.013333333333333334
ingress,pokémongo,0.013201320132013201
コンパイル,可変長,0.012903225806451613
バイナリ,本体,0.012658227848101266
研修,若手,0.0125
コンパイル,デバッガ,0.012422360248447204
ingress,夢中,0.012422360248447204
クラスタリング,飛躍,0.012345679012345678
バイナリ,救出,0.012195121951219513
ingress,石原,0.011904761904761904
ingress,恒和,0.011904761904761904
バイナリ,無償,0.011904761904761904
mecab,抽出,0.011764705882352941
アイコン,フロッピディスク,0.011764705882352941
ssd,格納,0.011695906432748537
