word1,word2,jaccard_coef
kubernetes,クベ,0.14285714285714285
kubernetes,我,0.1111111111111111
navigation,resourcemanager,0.08333333333333333
promise,response,0.06965174129353234
navigation,行き先,0.0625
ami,autoscaling,0.058823529411764705
物理,補習,0.058823529411764705
crud,けっこう,0.05263157894736842
promise,then,0.04285714285714286
文系,異,0.04
navigation,左側,0.03773584905660377
アイコン,ン,0.03496503496503497
promise,受信,0.034482758620689655
哲学,執筆,0.03414634146341464
プルリクエスト,マジ,0.03333333333333333
promise,応答,0.031746031746031744
expo,イメジプロジェクト,0.03125
プルリクエスト,若干,0.029850746268656716
crud,lamp,0.029411764705882353
文系,業種,0.029411764705882353
crud,チュトリアル,0.028985507246376812
navigation,navigation,0.02857142857142857
哲学,哲学,0.02834008097165992
哲学,本稿,0.027777777777777776
コンパイル,プリセット,0.02702702702702703
performance,計測,0.02666666666666667
コンパイル,敷居,0.024390243902439025
コンパイル,語,0.022222222222222223
expo,reactnative,0.022058823529411766
哲学,専攻,0.02127659574468085
哲学,素人,0.02127659574468085
哲学,無知,0.02097902097902098
expo,expo,0.02040816326530612
performance,ルプ,0.02
promise,text,0.019704433497536946
kubernetes,好き,0.0196078431372549
performance,リクエス,0.019417475728155338
ポエム,両方,0.019230769230769232
lambda,opensearch,0.018604651162790697
プルリクエスト,提出,0.01818181818181818
コンパイル,機械,0.017857142857142856
promise,インスタンス,0.017241379310344827
lambda,書き込み,0.017142857142857144
performance,測定,0.01694915254237288
issue,英語,0.01694915254237288
プルリクエスト,プルリクエスト,0.01694915254237288
ami,az,0.01639344262295082
コンパイル,コンピュタ,0.01639344262295082
分析,現状,0.016129032258064516
elb,枠,0.015748031496062992
用語,身近,0.015625
performance,開始,0.015503875968992248
crud,行間,0.015384615384615385
ポエム,哲学,0.014814814814814815
哲学,独学,0.014705882352941176
歴史,違反,0.014492753623188406
elb,局所,0.014492753623188406
issue,板,0.014285714285714285
issue,lints,0.014285714285714285
issue,templates,0.014285714285714285
issue,上書き,0.014285714285714285
issue,コミット,0.014285714285714285
issue,プッシュ,0.014285714285714285
promise,戻り,0.014084507042253521
crud,ボリュム,0.014084507042253521
コンパイル,翻訳,0.014084507042253521
issue,フル,0.013888888888888888
issue,配下,0.013513513513513514
哲学,業,0.013392857142857142
マネジメント,要員,0.013333333333333334
マネジメント,法務,0.013333333333333334
マネジメント,包括,0.013333333333333334
elb,終盤,0.013333333333333334
elb,get,0.013333333333333334
プルリクエスト,メンタ,0.013245033112582781
テスト,テスト,0.013223140495867768
issue,session,0.013157894736842105
ハンズオン,座,0.012971698113207548
ハンズオン,学,0.012971698113207548
elb,ルト,0.012903225806451613
アイコン,アイコン,0.012658227848101266
物理,逆,0.012658227848101266
issue,削減,0.0125
nosql,チャットメッセジ,0.0125
issue,翻訳,0.012345679012345678
lambda,メッセジデタ,0.012195121951219513
マネジメント,法律,0.012195121951219513
マネジメント,現,0.012195121951219513
