word1,word2,jaccard_coef
nosql,rdb,0.08333333333333333
大学生,小学生,0.06666666666666667
大学生,家内,0.06666666666666667
pandas,連結,0.06666666666666667
pandas,悪化,0.058823529411764705
バイナリ,各種,0.05714285714285714
pandas,大幅,0.05263157894736842
nosql,カラム,0.05
学生,虫,0.04
nosql,null,0.03333333333333333
バイナリ,生成,0.03305785123966942
nosql,nosql,0.03225806451612903
大学生,物語,0.03125
バイナリ,バイナリ,0.02702702702702703
nosql,空,0.022222222222222223
哲学,定理,0.017391304347826087
哲学,柄,0.017241379310344827
哲学,谷行,0.017241379310344827
テスト,自動,0.017222820236813777
学生,時代,0.016129032258064516
ビルド,高速,0.015873015873015872
nosql,大変,0.015503875968992248
哲学,様式,0.015503875968992248
コンパイル,誕生,0.015384615384615385
哲学,賞,0.014134275618374558
コンパイル,モニタ,0.0136986301369863
物理,理論,0.013245033112582781
テスト,テスト,0.012422360248447204
コンパイル,新鮮,0.012195121951219513
ライブラリ,不足,0.0121580547112462
哲学,是非,0.011627906976744186
引数,引数,0.011419249592169658
ライブラリ,旨,0.011299435028248588
ビルド,欠陥,0.0111731843575419
引数,概念的,0.011142061281337047
ビルド,権限,0.010752688172043012
哲学,身体,0.010582010582010581
ビルド,検出,0.010526315789473684
ビルド,密度,0.010309278350515464
ライブラリ,起動,0.010256410256410256
引数,重複,0.009950248756218905
哲学,哲学,0.009900990099009901
ビルド,マジ,0.009900990099009901
マネジメント,職,0.009468700683850605
crud,デタストア,0.009433962264150943
プログラミング,言語,0.009382716049382716
大学生,更紗,0.009345794392523364
引数,意味,0.009313154831199068
ビルド,真,0.009174311926605505
引数,標準,0.00904977375565611
物理,電磁,0.009009009009009009
物理,重力,0.009009009009009009
哲学,視座,0.008928571428571428
pandas,レスポンス,0.008771929824561403
プログラミング,実装,0.008518693800283956
分析,要求,0.008482563619227144
ビルド,完了,0.008368200836820083
バイナリ,パス,0.008333333333333333
ライブラリ,ライブラリインストル,0.008333333333333333
哲学,素養,0.008064516129032258
ライブラリ,ロド,0.008064516129032258
プログラミング,プログラミング,0.008034026465028356
物理,角,0.007936507936507936
物理,電圧,0.007936507936507936
コンパイル,試験,0.007936507936507936
crud,遷移,0.007751937984496124
テスト,対象,0.0077288941736028535
哲学,発表,0.007692307692307693
テスト,モック,0.007676203768318213
